,verse,geolocation_id,id,NormalizedName-sp,longitude,latitude,book
0,b.GEN.001.001,#pla41,0,tierra,0.0,-90.0,GEN
1,b.GEN.001.002,#pla41,1,tierra,0.0,-90.0,GEN
2,b.GEN.001.003,,2,,,,GEN
3,b.GEN.001.004,,3,,,,GEN
4,b.GEN.001.005,,4,,,,GEN
5,b.GEN.001.006,,5,,,,GEN
6,b.GEN.001.007,,6,,,,GEN
7,b.GEN.001.008,,7,,,,GEN
8,b.GEN.001.009,,8,,,,GEN
9,b.GEN.001.010,,9,,,,GEN
10,b.GEN.001.011,#pla41,10,tierra,0.0,-90.0,GEN
11,b.GEN.001.012,#pla41,11,tierra,0.0,-90.0,GEN
12,b.GEN.001.013,,12,,,,GEN
13,b.GEN.001.014,,13,,,,GEN
14,b.GEN.001.015,#pla41,14,tierra,0.0,-90.0,GEN
15,b.GEN.001.016,,15,,,,GEN
16,b.GEN.001.017,#pla41,16,tierra,0.0,-90.0,GEN
17,b.GEN.001.018,,17,,,,GEN
18,b.GEN.001.019,,18,,,,GEN
19,b.GEN.001.020,#pla41,19,tierra,0.0,-90.0,GEN
20,b.GEN.001.021,,20,,,,GEN
21,b.GEN.001.022,#pla41,21,tierra,0.0,-90.0,GEN
22,b.GEN.001.023,,22,,,,GEN
23,b.GEN.001.024,#pla41,23,tierra,0.0,-90.0,GEN
24,b.GEN.001.025,#pla41,24,tierra,0.0,-90.0,GEN
25,b.GEN.001.026,#pla41,25,tierra,0.0,-90.0,GEN
26,b.GEN.001.027,,26,,,,GEN
27,b.GEN.001.028,#pla41,27,tierra,0.0,-90.0,GEN
28,b.GEN.001.029,#pla41,28,tierra,0.0,-90.0,GEN
29,b.GEN.001.030,#pla41,29,tierra,0.0,-90.0,GEN
30,b.GEN.001.031,,30,,,,GEN
31,b.GEN.002.001,#pla41,31,tierra,0.0,-90.0,GEN
32,b.GEN.002.002,,32,,,,GEN
33,b.GEN.002.003,,33,,,,GEN
34,b.GEN.002.004,#pla41,34,tierra,0.0,-90.0,GEN
35,b.GEN.002.005,#pla41,35,tierra,0.0,-90.0,GEN
36,b.GEN.002.006,#pla41,36,tierra,0.0,-90.0,GEN
37,b.GEN.002.007,#pla41,37,tierra,0.0,-90.0,GEN
38,b.GEN.002.008,#pla77,38,,,,GEN
39,b.GEN.002.008,#pla39,39,,,,GEN
40,b.GEN.002.009,#pla41,40,tierra,0.0,-90.0,GEN
41,b.GEN.002.009,#pla77,41,,,,GEN
42,b.GEN.002.010,#pla77,42,,,,GEN
43,b.GEN.002.011,#pla85,43,,,,GEN
44,b.GEN.002.011,#pla86,44,,,,GEN
45,b.GEN.002.012,#pla86,45,,,,GEN
46,b.GEN.002.013,#pla87,46,,,,GEN
47,b.GEN.002.013,#pla88,47,,,,GEN
48,b.GEN.002.014,#pla39,48,,,,GEN
49,b.GEN.002.014,#pla89,49,,,,GEN
50,b.GEN.002.014,#pla90,50,Asiria,43.3275,36.099167,GEN
51,b.GEN.002.014,#pla64,51,Éufrates,42.6289045,35.276495700000005,GEN
52,b.GEN.002.015,#pla77,52,,,,GEN
53,b.GEN.002.016,,53,,,,GEN
54,b.GEN.002.017,,54,,,,GEN
55,b.GEN.002.018,,55,,,,GEN
56,b.GEN.002.019,#pla41,56,tierra,0.0,-90.0,GEN
57,b.GEN.002.020,,57,,,,GEN
58,b.GEN.002.021,,58,,,,GEN
59,b.GEN.002.022,,59,,,,GEN
60,b.GEN.002.023,,60,,,,GEN
61,b.GEN.002.024,,61,,,,GEN
62,b.GEN.002.025,,62,,,,GEN
63,b.GEN.003.001,,63,,,,GEN
64,b.GEN.003.002,,64,,,,GEN
65,b.GEN.003.003,,65,,,,GEN
66,b.GEN.003.004,,66,,,,GEN
67,b.GEN.003.005,,67,,,,GEN
68,b.GEN.003.006,,68,,,,GEN
69,b.GEN.003.007,,69,,,,GEN
70,b.GEN.003.008,#pla77,70,,,,GEN
71,b.GEN.003.009,,71,,,,GEN
72,b.GEN.003.010,#pla77,72,,,,GEN
73,b.GEN.003.011,,73,,,,GEN
74,b.GEN.003.012,,74,,,,GEN
75,b.GEN.003.013,,75,,,,GEN
76,b.GEN.003.014,,76,,,,GEN
77,b.GEN.003.015,,77,,,,GEN
78,b.GEN.003.016,,78,,,,GEN
79,b.GEN.003.017,#pla41,79,tierra,0.0,-90.0,GEN
80,b.GEN.003.018,,80,,,,GEN
81,b.GEN.003.019,,81,,,,GEN
82,b.GEN.003.020,,82,,,,GEN
83,b.GEN.003.021,,83,,,,GEN
84,b.GEN.003.022,,84,,,,GEN
85,b.GEN.003.023,#pla77,85,,,,GEN
86,b.GEN.003.024,#pla77,86,,,,GEN
