,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
0,tierra,tierra,b.GEN.001.001,0.0,-90.0,0,,,
1,tierra,tierra,b.GEN.001.002,0.0,-90.0,1,,,
2,,,b.GEN.001.003,,,2,,,
3,,,b.GEN.001.004,,,3,,,
4,,,b.GEN.001.005,,,4,,,
5,,,b.GEN.001.006,,,5,,,
6,,,b.GEN.001.007,,,6,,,
7,,,b.GEN.001.008,,,7,,,
8,,,b.GEN.001.009,,,8,,,
9,,,b.GEN.001.010,,,9,,,
10,tierra,tierra,b.GEN.001.011,0.0,-90.0,10,,,
11,tierra,tierra,b.GEN.001.012,0.0,-90.0,11,,,
12,,,b.GEN.001.013,,,12,,,
13,,,b.GEN.001.014,,,13,,,
14,tierra,tierra,b.GEN.001.015,0.0,-90.0,14,,,
15,,,b.GEN.001.016,,,15,,,
16,tierra,tierra,b.GEN.001.017,0.0,-90.0,16,,,
17,,,b.GEN.001.018,,,17,,,
18,,,b.GEN.001.019,,,18,,,
19,tierra,tierra,b.GEN.001.020,0.0,-90.0,19,,,
20,,,b.GEN.001.021,,,20,,,
21,tierra,tierra,b.GEN.001.022,0.0,-90.0,21,,,
22,,,b.GEN.001.023,,,22,,,
23,tierra,tierra,b.GEN.001.024,0.0,-90.0,23,,,
24,tierra,tierra,b.GEN.001.025,0.0,-90.0,24,,,
25,tierra,tierra,b.GEN.001.026,0.0,-90.0,25,,,
26,,,b.GEN.001.027,,,26,,,
27,tierra,tierra,b.GEN.001.028,0.0,-90.0,27,,,
28,tierra,tierra,b.GEN.001.029,0.0,-90.0,28,,,
29,tierra,tierra,b.GEN.001.030,0.0,-90.0,29,,,
30,,,b.GEN.001.031,,,30,,,
31,tierra,tierra,b.GEN.002.001,0.0,-90.0,31,,,
32,,,b.GEN.002.002,,,32,,,
33,,,b.GEN.002.003,,,33,,,
34,tierra,tierra,b.GEN.002.004,0.0,-90.0,34,,,
35,tierra,tierra,b.GEN.002.005,0.0,-90.0,35,,,
36,tierra,tierra,b.GEN.002.006,0.0,-90.0,36,,,
37,tierra,tierra,b.GEN.002.007,0.0,-90.0,37,,,
38,,,b.GEN.002.008,,,38,,,
39,,,b.GEN.002.008,,,39,,,
40,tierra,tierra,b.GEN.002.009,0.0,-90.0,40,,,
41,,,b.GEN.002.009,,,41,,,
42,,,b.GEN.002.010,,,42,,,
43,,,b.GEN.002.011,,,43,,,
44,,,b.GEN.002.011,,,44,,,
45,,,b.GEN.002.012,,,45,,,
46,,,b.GEN.002.013,,,46,,,
47,,,b.GEN.002.013,,,47,,,
48,,,b.GEN.002.014,,,48,,,
49,,,b.GEN.002.014,,,49,,,
50,Asiria,Asiria,b.GEN.002.014,43.3275,36.099167,50,,,
51,Éufrates,Éufrates,b.GEN.002.014,42.6289045,35.276495700000005,51,,,
52,,,b.GEN.002.015,,,52,,,
53,,,b.GEN.002.016,,,53,,,
54,,,b.GEN.002.017,,,54,,,
55,,,b.GEN.002.018,,,55,,,
56,tierra,tierra,b.GEN.002.019,0.0,-90.0,56,,,
57,,,b.GEN.002.020,,,57,,,
58,,,b.GEN.002.021,,,58,,,
59,,,b.GEN.002.022,,,59,,,
60,,,b.GEN.002.023,,,60,,,
61,,,b.GEN.002.024,,,61,,,
62,,,b.GEN.002.025,,,62,,,
63,,,b.GEN.003.001,,,63,,,
64,,,b.GEN.003.002,,,64,,,
65,,,b.GEN.003.003,,,65,,,
66,,,b.GEN.003.004,,,66,,,
67,,,b.GEN.003.005,,,67,,,
68,,,b.GEN.003.006,,,68,,,
