,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID,id
20953,Jerusalén,Jerusalén,b.ISA.001.001,35.21371,31.768319,20953,,,,20953
20954,Judea,Judea,b.ISA.001.001,35.2035394,31.903215399999997,20954,,,,20954
20960,Israel,Israel,b.ISA.001.007,34.851612,31.046051000000002,20960,,,,20960
20961,Sión,Sión,b.ISA.001.008,35.228611111111,31.771666666667,20961,,,,20961
20962,Jerusalén,Jerusalén,b.ISA.001.008,35.21371,31.768319,20962,,,,20962
20977,Jerusalén,Jerusalén,b.ISA.001.021,35.21371,31.768319,20977,,,,20977
20982,Jerusalén,Jerusalén,b.ISA.001.026,35.21371,31.768319,20982,,,,20982
20983,Jerusalén,Jerusalén,b.ISA.001.027,35.21371,31.768319,20983,,,,20983
20988,Jerusalén,Jerusalén,b.ISA.002.001,35.21371,31.768319,20988,,,,20988
20989,Judea,Judea,b.ISA.002.001,35.2035394,31.903215399999997,20989,,,,20989
20990,Sión,Sión,b.ISA.002.002,35.228611111111,31.771666666667,20990,,,,20990
20991,templo,templo,b.ISA.002.002,35.619167,33.186667,20991,,,,20991
20992,Sión,Sión,b.ISA.002.003,35.228611111111,31.771666666667,20992,,,,20992
20993,templo,templo,b.ISA.002.003,35.619167,33.186667,20993,,,,20993
20994,Jerusalén,Jerusalén,b.ISA.002.003,35.21371,31.768319,20994,,,,20994
21004,Basán,Basán,b.ISA.002.013,35.909388,32.928033,21004,,,,21004
21005,Líbano,Líbano,b.ISA.002.013,35.862285,33.854721000000005,21005,,,,21005
21008,Tarsis,Tarsis,b.ISA.002.016,27.7017358,42.6819735,21008,,,,21008
21015,Jerusalén,Jerusalén,b.ISA.003.001,35.21371,31.768319,21015,,,,21015
21016,Judea,Judea,b.ISA.003.001,35.2035394,31.903215399999997,21016,,,,21016
21023,Jerusalén,Jerusalén,b.ISA.003.008,35.21371,31.768319,21023,,,,21023
21024,Judea,Judea,b.ISA.003.008,35.2035394,31.903215399999997,21024,,,,21024
21032,Sión,Sión,b.ISA.003.016,35.228611111111,31.771666666667,21032,,,,21032
21033,Sión,Sión,b.ISA.003.017,35.228611111111,31.771666666667,21033,,,,21033
21044,Israel,Israel,b.ISA.004.002,34.851612,31.046051000000002,21044,,,,21044
21045,Sión,Sión,b.ISA.004.003,35.228611111111,31.771666666667,21045,,,,21045
21046,Jerusalén,Jerusalén,b.ISA.004.003,35.21371,31.768319,21046,,,,21046
21047,Sión,Sión,b.ISA.004.004,35.228611111111,31.771666666667,21047,,,,21047
21048,Jerusalén,Jerusalén,b.ISA.004.004,35.21371,31.768319,21048,,,,21048
21049,Sión,Sión,b.ISA.004.005,35.228611111111,31.771666666667,21049,,,,21049
21053,Jerusalén,Jerusalén,b.ISA.005.003,35.21371,31.768319,21053,,,,21053
21054,Judea,Judea,b.ISA.005.003,35.2035394,31.903215399999997,21054,,,,21054
