,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID,id
0,tierra,tierra,b.GEN.001.001,0.0,-90.0,0,,,,0
1,tierra,tierra,b.GEN.001.002,0.0,-90.0,1,,,,1
10,tierra,tierra,b.GEN.001.011,0.0,-90.0,10,,,,10
11,tierra,tierra,b.GEN.001.012,0.0,-90.0,11,,,,11
14,tierra,tierra,b.GEN.001.015,0.0,-90.0,14,,,,14
16,tierra,tierra,b.GEN.001.017,0.0,-90.0,16,,,,16
19,tierra,tierra,b.GEN.001.020,0.0,-90.0,19,,,,19
21,tierra,tierra,b.GEN.001.022,0.0,-90.0,21,,,,21
23,tierra,tierra,b.GEN.001.024,0.0,-90.0,23,,,,23
24,tierra,tierra,b.GEN.001.025,0.0,-90.0,24,,,,24
25,tierra,tierra,b.GEN.001.026,0.0,-90.0,25,,,,25
27,tierra,tierra,b.GEN.001.028,0.0,-90.0,27,,,,27
28,tierra,tierra,b.GEN.001.029,0.0,-90.0,28,,,,28
29,tierra,tierra,b.GEN.001.030,0.0,-90.0,29,,,,29
31,tierra,tierra,b.GEN.002.001,0.0,-90.0,31,,,,31
34,tierra,tierra,b.GEN.002.004,0.0,-90.0,34,,,,34
35,tierra,tierra,b.GEN.002.005,0.0,-90.0,35,,,,35
36,tierra,tierra,b.GEN.002.006,0.0,-90.0,36,,,,36
37,tierra,tierra,b.GEN.002.007,0.0,-90.0,37,,,,37
40,tierra,tierra,b.GEN.002.009,0.0,-90.0,40,,,,40
50,Asiria,Asiria,b.GEN.002.014,43.3275,36.099167,50,,,,50
51,Éufrates,Éufrates,b.GEN.002.014,42.6289045,35.276495700000005,51,,,,51
56,tierra,tierra,b.GEN.002.019,0.0,-90.0,56,,,,56
79,tierra,tierra,b.GEN.003.017,0.0,-90.0,79,,,,79
142,tierra,tierra,b.GEN.005.029,0.0,-90.0,142,,,,142
146,tierra,tierra,b.GEN.006.001,0.0,-90.0,146,,,,146
149,tierra,tierra,b.GEN.006.004,0.0,-90.0,149,,,,149
150,tierra,tierra,b.GEN.006.005,0.0,-90.0,150,,,,150
151,tierra,tierra,b.GEN.006.006,0.0,-90.0,151,,,,151
152,tierra,tierra,b.GEN.006.007,0.0,-90.0,152,,,,152
156,tierra,tierra,b.GEN.006.011,0.0,-90.0,156,,,,156
157,tierra,tierra,b.GEN.006.012,0.0,-90.0,157,,,,157
