,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID,id
17136,tierra,tierra,b.PSA.002.002,0.0,-90.0,17136,,,,17136
17140,Sión,Sión,b.PSA.002.006,35.228611111111,31.771666666667,17140,,,,17140
17142,tierra,tierra,b.PSA.002.008,0.0,-90.0,17142,,,,17142
17144,tierra,tierra,b.PSA.002.010,0.0,-90.0,17144,,,,17144
17150,Sión,Sión,b.PSA.003.004,35.228611111111,31.771666666667,17150,,,,17150
17169,templo,templo,b.PSA.005.007,35.619167,33.186667,17169,,,,17169
17202,tierra,tierra,b.PSA.008.001,0.0,-90.0,17202,,,,17202
17211,tierra,tierra,b.PSA.008.009,0.0,-90.0,17211,,,,17211
17219,tierra,tierra,b.PSA.009.008,0.0,-90.0,17219,,,,17219
17222,Sión,Sión,b.PSA.009.011,35.228611111111,31.771666666667,17222,,,,17222
17225,Sión,Sión,b.PSA.009.014,35.228611111111,31.771666666667,17225,,,,17225
17247,Israel,Israel,b.PSA.010.016,34.851612,31.046051000000002,17247,,,,17247
17249,tierra,tierra,b.PSA.010.018,0.0,-90.0,17249,,,,17249
17254,templo,templo,b.PSA.011.004,35.619167,33.186667,17254,,,,17254
17278,Israel,Israel,b.PSA.014.007,34.851612,31.046051000000002,17278,,,,17278
17279,Sión,Sión,b.PSA.014.007,35.228611111111,31.771666666667,17279,,,,17279
17280,Sión,Sión,b.PSA.015.001,35.228611111111,31.771666666667,17280,,,,17280
17288,tierra,tierra,b.PSA.016.003,0.0,-90.0,17288,,,,17288
17310,tierra,tierra,b.PSA.017.014,0.0,-90.0,17310,,,,17310
17317,templo,templo,b.PSA.018.006,35.619167,33.186667,17317,,,,17317
17318,tierra,tierra,b.PSA.018.007,0.0,-90.0,17318,,,,17318
17326,tierra,tierra,b.PSA.018.015,0.0,-90.0,17326,,,,17326
17365,tierra,tierra,b.PSA.019.004,0.0,-90.0,17365,,,,17365
17377,Sión,Sión,b.PSA.020.002,35.228611111111,31.771666666667,17377,,,,17377
17394,tierra,tierra,b.PSA.021.010,0.0,-90.0,17394,,,,17394
17409,Basán,Basán,b.PSA.022.012,35.909388,32.928033,17409,,,,17409
17420,Israel,Israel,b.PSA.022.023,34.851612,31.046051000000002,17420,,,,17420
17424,tierra,tierra,b.PSA.022.027,0.0,-90.0,17424,,,,17424
17425,Israel,Israel,b.PSA.022.028,34.851612,31.046051000000002,17425,,,,17425
17426,tierra,tierra,b.PSA.022.029,0.0,-90.0,17426,,,,17426
17435,tierra,tierra,b.PSA.024.001,0.0,-90.0,17435,,,,17435
17437,Sión,Sión,b.PSA.024.003,35.228611111111,31.771666666667,17437,,,,17437
17475,templo,templo,b.PSA.026.008,35.619167,33.186667,17475,,,,17475
17483,templo,templo,b.PSA.027.004,35.619167,33.186667,17483,,,,17483
17484,templo,templo,b.PSA.027.005,35.619167,33.186667,17484,,,,17484
17485,templo,templo,b.PSA.027.006,35.619167,33.186667,17485,,,,17485
17492,tierra,tierra,b.PSA.027.013,0.0,-90.0,17492,,,,17492
17495,templo,templo,b.PSA.028.002,35.619167,33.186667,17495,,,,17495
17507,Líbano,Líbano,b.PSA.029.005,35.862285,33.854721000000005,17507,,,,17507
17509,Líbano,Líbano,b.PSA.029.006,35.862285,33.854721000000005,17509,,,,17509
17511,Cades,Cades,b.PSA.029.008,34.43751,34.43751,17511,,,,17511
17512,templo,templo,b.PSA.029.009,35.619167,33.186667,17512,,,,17512
17547,Jerusalén,Jerusalén,b.PSA.031.021,35.21371,31.768319,17547,,,,17547
17566,tierra,tierra,b.PSA.033.005,0.0,-90.0,17566,,,,17566
17569,tierra,tierra,b.PSA.033.008,0.0,-90.0,17569,,,,17569
17575,tierra,tierra,b.PSA.033.014,0.0,-90.0,17575,,,,17575
17600,tierra,tierra,b.PSA.034.016,0.0,-90.0,17600,,,,17600
17626,tierra,tierra,b.PSA.035.020,0.0,-90.0,17626,,,,17626
17649,tierra,tierra,b.PSA.037.003,0.0,-90.0,17649,,,,17649
17655,tierra,tierra,b.PSA.037.009,0.0,-90.0,17655,,,,17655
17657,tierra,tierra,b.PSA.037.011,0.0,-90.0,17657,,,,17657
17668,tierra,tierra,b.PSA.037.022,0.0,-90.0,17668,,,,17668
17675,tierra,tierra,b.PSA.037.029,0.0,-90.0,17675,,,,17675
17680,tierra,tierra,b.PSA.037.034,0.0,-90.0,17680,,,,17680
17740,tierra,tierra,b.PSA.041.002,0.0,-90.0,17740,,,,17740
17751,Israel,Israel,b.PSA.041.013,34.851612,31.046051000000002,17751,,,,17751
17755,templo,templo,b.PSA.042.004,35.619167,33.186667,17755,,,,17755
17757,Jordán,Jordán,b.PSA.042.006,36.238414,30.585164000000002,17757,,,,17757
17767,Sión,Sión,b.PSA.043.003,35.228611111111,31.771666666667,17767,,,,17767
17768,templo,templo,b.PSA.043.004,35.619167,33.186667,17768,,,,17768
17772,tierra,tierra,b.PSA.044.003,0.0,-90.0,17772,,,,17772
17807,Tiro,Tiro,b.PSA.045.012,35.2037641,33.2704888,17807,,,,17807
17811,tierra,tierra,b.PSA.045.016,0.0,-90.0,17811,,,,17811
17814,tierra,tierra,b.PSA.046.002,0.0,-90.0,17814,,,,17814
17817,Jerusalén,Jerusalén,b.PSA.046.004,35.21371,31.768319,17817,,,,17817
17819,tierra,tierra,b.PSA.046.006,0.0,-90.0,17819,,,,17819
17821,tierra,tierra,b.PSA.046.008,0.0,-90.0,17821,,,,17821
17822,tierra,tierra,b.PSA.046.009,0.0,-90.0,17822,,,,17822
17823,tierra,tierra,b.PSA.046.010,0.0,-90.0,17823,,,,17823
17826,tierra,tierra,b.PSA.047.002,0.0,-90.0,17826,,,,17826
17831,tierra,tierra,b.PSA.047.007,0.0,-90.0,17831,,,,17831
17834,tierra,tierra,b.PSA.047.010,0.0,-90.0,17834,,,,17834
17835,Sión,Sión,b.PSA.048.001,35.228611111111,31.771666666667,17835,,,,17835
17836,tierra,tierra,b.PSA.048.002,0.0,-90.0,17836,,,,17836
17837,Sión,Sión,b.PSA.048.002,35.228611111111,31.771666666667,17837,,,,17837
17838,Jerusalén,Jerusalén,b.PSA.048.002,35.21371,31.768319,17838,,,,17838
17839,templo,templo,b.PSA.048.003,35.619167,33.186667,17839,,,,17839
17840,tierra,tierra,b.PSA.048.004,0.0,-90.0,17840,,,,17840
17843,Tarsis,Tarsis,b.PSA.048.007,27.7017358,42.6819735,17843,,,,17843
17844,Jerusalén,Jerusalén,b.PSA.048.008,35.21371,31.768319,17844,,,,17844
17845,templo,templo,b.PSA.048.009,35.619167,33.186667,17845,,,,17845
17846,tierra,tierra,b.PSA.048.010,0.0,-90.0,17846,,,,17846
17847,Sión,Sión,b.PSA.048.011,35.228611111111,31.771666666667,17847,,,,17847
17848,Sión,Sión,b.PSA.048.012,35.228611111111,31.771666666667,17848,,,,17848
17851,tierra,tierra,b.PSA.049.001,0.0,-90.0,17851,,,,17851
17871,tierra,tierra,b.PSA.050.001,0.0,-90.0,17871,,,,17871
17872,Sión,Sión,b.PSA.050.002,35.228611111111,31.771666666667,17872,,,,17872
17874,tierra,tierra,b.PSA.050.004,0.0,-90.0,17874,,,,17874
17882,tierra,tierra,b.PSA.050.012,0.0,-90.0,17882,,,,17882
17911,Sión,Sión,b.PSA.051.018,35.228611111111,31.771666666667,17911,,,,17911
17912,Jerusalén,Jerusalén,b.PSA.051.018,35.21371,31.768319,17912,,,,17912
17918,tierra,tierra,b.PSA.052.005,0.0,-90.0,17918,,,,17918
17921,templo,templo,b.PSA.052.008,35.619167,33.186667,17921,,,,17921
17928,Israel,Israel,b.PSA.053.006,34.851612,31.046051000000002,17928,,,,17928
17929,Sión,Sión,b.PSA.053.006,35.228611111111,31.771666666667,17929,,,,17929
17945,Jerusalén,Jerusalén,b.PSA.055.009,35.21371,31.768319,17945,,,,17945
17950,templo,templo,b.PSA.055.014,35.619167,33.186667,17950,,,,17950
17977,tierra,tierra,b.PSA.057.005,0.0,-90.0,17977,,,,17977
17984,tierra,tierra,b.PSA.057.011,0.0,-90.0,17984,,,,17984
17987,tierra,tierra,b.PSA.058.002,0.0,-90.0,17987,,,,17987
17996,tierra,tierra,b.PSA.058.011,0.0,-90.0,17996,,,,17996
18001,Israel,Israel,b.PSA.059.005,34.851612,31.046051000000002,18001,,,,18001
18002,Jerusalén,Jerusalén,b.PSA.059.006,35.21371,31.768319,18002,,,,18002
18009,tierra,tierra,b.PSA.059.013,0.0,-90.0,18009,,,,18009
18010,Israel,Israel,b.PSA.059.013,34.851612,31.046051000000002,18010,,,,18010
18011,Jerusalén,Jerusalén,b.PSA.059.014,35.21371,31.768319,18011,,,,18011
18016,tierra,tierra,b.PSA.060.002,0.0,-90.0,18016,,,,18016
18020,Sucot,Sucot,b.PSA.060.006,35.603056,32.188889,18020,,,,18020
18021,Siquem,Siquem,b.PSA.060.006,35.266111,32.216111,18021,,,,18021
18022,templo,templo,b.PSA.060.006,35.619167,33.186667,18022,,,,18022
18023,Galaad,Galaad,b.PSA.060.007,35.868589,32.107445,18023,,,,18023
18024,Judea,Judea,b.PSA.060.007,35.2035394,31.903215399999997,18024,,,,18024
18026,Jerusalén,Jerusalén,b.PSA.060.009,35.21371,31.768319,18026,,,,18026
18031,tierra,tierra,b.PSA.061.002,0.0,-90.0,18031,,,,18031
18033,templo,templo,b.PSA.061.004,35.619167,33.186667,18033,,,,18033
18051,templo,templo,b.PSA.063.002,35.619167,33.186667,18051,,,,18051
18058,tierra,tierra,b.PSA.063.009,0.0,-90.0,18058,,,,18058
18071,Sión,Sión,b.PSA.065.001,35.228611111111,31.771666666667,18071,,,,18071
