,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID,id
16061,tierra,tierra,b.JOB.001.007,0.0,-90.0,16061,,,,16061
16062,tierra,tierra,b.JOB.001.008,0.0,-90.0,16062,,,,16062
16064,tierra,tierra,b.JOB.001.010,0.0,-90.0,16064,,,,16064
16078,tierra,tierra,b.JOB.002.002,0.0,-90.0,16078,,,,16078
16079,tierra,tierra,b.JOB.002.003,0.0,-90.0,16079,,,,16079
16103,tierra,tierra,b.JOB.003.014,0.0,-90.0,16103,,,,16103
16146,tierra,tierra,b.JOB.005.010,0.0,-90.0,16146,,,,16146
16161,tierra,tierra,b.JOB.005.025,0.0,-90.0,16161,,,,16161
16195,tierra,tierra,b.JOB.007.001,0.0,-90.0,16195,,,,16195
16224,tierra,tierra,b.JOB.008.009,0.0,-90.0,16224,,,,16224
16243,tierra,tierra,b.JOB.009.006,0.0,-90.0,16243,,,,16243
16261,tierra,tierra,b.JOB.009.024,0.0,-90.0,16261,,,,16261
16303,tierra,tierra,b.JOB.011.009,0.0,-90.0,16303,,,,16303
16322,tierra,tierra,b.JOB.012.008,0.0,-90.0,16322,,,,16322
16338,tierra,tierra,b.JOB.012.024,0.0,-90.0,16338,,,,16338
16466,tierra,tierra,b.JOB.018.004,0.0,-90.0,16466,,,,16466
16479,tierra,tierra,b.JOB.018.017,0.0,-90.0,16479,,,,16479
16480,tierra,tierra,b.JOB.018.018,0.0,-90.0,16480,,,,16480
16518,tierra,tierra,b.JOB.020.004,0.0,-90.0,16518,,,,16518
16541,tierra,tierra,b.JOB.020.027,0.0,-90.0,16541,,,,16541
16629,tierra,tierra,b.JOB.024.004,0.0,-90.0,16629,,,,16629
16643,tierra,tierra,b.JOB.024.018,0.0,-90.0,16643,,,,16643
16663,tierra,tierra,b.JOB.026.007,0.0,-90.0,16663,,,,16663
16712,Etiopía,Etiopía,b.JOB.028.019,40.489672999999996,9.145,16712,,,,16712
16717,tierra,tierra,b.JOB.028.024,0.0,-90.0,16717,,,,16717
16885,tierra,tierra,b.JOB.034.013,0.0,-90.0,16885,,,,16885
16920,tierra,tierra,b.JOB.035.011,0.0,-90.0,16920,,,,16920
16961,tierra,tierra,b.JOB.037.003,0.0,-90.0,16961,,,,16961
16964,tierra,tierra,b.JOB.037.006,0.0,-90.0,16964,,,,16964
16970,tierra,tierra,b.JOB.037.012,0.0,-90.0,16970,,,,16970
16971,tierra,tierra,b.JOB.037.013,0.0,-90.0,16971,,,,16971
16975,tierra,tierra,b.JOB.037.017,0.0,-90.0,16975,,,,16975
16986,tierra,tierra,b.JOB.038.004,0.0,-90.0,16986,,,,16986
16995,tierra,tierra,b.JOB.038.013,0.0,-90.0,16995,,,,16995
17000,tierra,tierra,b.JOB.038.018,0.0,-90.0,17000,,,,17000
17006,tierra,tierra,b.JOB.038.024,0.0,-90.0,17006,,,,17006
17015,tierra,tierra,b.JOB.038.033,0.0,-90.0,17015,,,,17015
17076,Jordán,Jordán,b.JOB.040.023,36.238414,30.585164000000002,17076,,,,17076
17110,tierra,tierra,b.JOB.041.033,0.0,-90.0,17110,,,,17110
17126,tierra,tierra,b.JOB.042.015,0.0,-90.0,17126,,,,17126
19688,Israel,Israel,b.PRO.001.001,34.851612,31.046051000000002,19688,,,,19688
19878,Egipto,Egipto,b.PRO.007.016,30.802497999999996,26.820553000000004,19878,,,,19878
19912,tierra,tierra,b.PRO.008.023,0.0,-90.0,19912,,,,19912
19915,tierra,tierra,b.PRO.008.026,0.0,-90.0,19915,,,,19915
20006,tierra,tierra,b.PRO.011.031,0.0,-90.0,20006,,,,20006
20184,tierra,tierra,b.PRO.017.024,0.0,-90.0,20184,,,,20184
20401,Judea,Judea,b.PRO.025.001,35.2035394,31.903215399999997,20401,,,,20401
20542,tierra,tierra,b.PRO.030.004,0.0,-90.0,20542,,,,20542
20594,Israel,Israel,b.PRO.031.023,34.851612,31.046051000000002,20594,,,,20594
20603,Jerusalén,Jerusalén,b.ECC.001.001,35.21371,31.768319,20603,,,,20603
20606,tierra,tierra,b.ECC.001.004,0.0,-90.0,20606,,,,20606
20614,Israel,Israel,b.ECC.001.012,34.851612,31.046051000000002,20614,,,,20614
20615,Jerusalén,Jerusalén,b.ECC.001.012,35.21371,31.768319,20615,,,,20615
20619,Jerusalén,Jerusalén,b.ECC.001.016,35.21371,31.768319,20619,,,,20619
20628,Jerusalén,Jerusalén,b.ECC.002.007,35.21371,31.768319,20628,,,,20628
20630,Jerusalén,Jerusalén,b.ECC.002.009,35.21371,31.768319,20630,,,,20630
20686,templo,templo,b.ECC.005.001,35.619167,33.186667,20686,,,,20686
20687,tierra,tierra,b.ECC.005.002,0.0,-90.0,20687,,,,20687
20695,tierra,tierra,b.ECC.005.009,0.0,-90.0,20695,,,,20695
20738,tierra,tierra,b.ECC.007.020,0.0,-90.0,20738,,,,20738
20757,templo,templo,b.ECC.008.010,35.619167,33.186667,20757,,,,20757
20763,tierra,tierra,b.ECC.008.016,0.0,-90.0,20763,,,,20763
