	Source	Target	Weight	Type
1	#org4	#per12	1	directed
2	#org4	#per12	1	directed
3	#org4	#per12	1	directed
4	#org4	#per12	1	directed
5	#org4	general	1	directed
6	#org4	#per58	1	directed
7	#org4	#per59	1	directed
8	#org4	#per58	1	directed
9	#org4	#per59	1	directed
10	#org4	#per58	1	directed
11	#org4	#per59	1	directed
12	#org8	#pla1	1	directed
13	#org10	#per10	1	directed
14	#org5	#per10	1	directed
15	#org5	#per10	1	directed
16	#org5	#per1	1	directed
17	#org5	#org5	1	directed
18	#org5	#per1	1	directed
19	#org5	#per1	1	directed
20	#org5	#per1	1	directed
21	#org5	general	1	directed
22	#org5	general	1	directed
23	#org5	general	1	directed
24	#org5	general	1	directed
25	#org5	general	1	directed
26	#per10	#org10	1	directed
27	#per10	#org26	1	directed
28	#per18	general	1	directed
29	#per18	#org2	1	directed
30	#per18	#org7	1	directed
31	#per18	#org2	1	directed
32	#per18	#org7	1	directed
33	#per18	#org2	1	directed
34	#per18	#org7	1	directed
35	#per18	#org2	1	directed
36	#per18	#org7	1	directed
37	#per18	#org2	1	directed
38	#per18	#org7	1	directed
39	#per18	#org2	1	directed
40	#per18	#org7	1	directed
41	#per18	#per1	1	directed
42	#org2	#org3	1	directed
43	#org2	general	1	directed
44	#org2	#per1	1	directed
45	#org2	#per1	1	directed
46	#org2	general	1	directed
47	#org2	#per1	1	directed
48	#org2	#per1	1	directed
49	#org2	general	1	directed
50	#org2	general	1	directed
51	#org2	#per1	1	directed
52	#org2	#per1	1	directed
53	#org2	#per1	1	directed
54	#org2	#per1	1	directed
55	#org2	#per1	1	directed
56	#org2	#per1	1	directed
57	#org2	#per1	1	directed
58	#org2	general	1	directed
59	#org2	general	1	directed
60	#org2	general	1	directed
61	#org2	#per50	1	directed
62	#org2	#per50	1	directed
63	#org7	general	1	directed
64	#org7	general	1	directed
65	#org7	#per1	1	directed
66	#org7	#per1	1	directed
67	#org7	#per1	1	directed
68	#org7	#per1	1	directed
69	#org7	#per1	1	directed
70	#per1	#per18	1	directed
71	#per1	#per20	1	directed
72	#per1	#per20	1	directed
73	#per1	#per20	1	directed
74	#per1	general	1	directed
75	#per1	#per21	1	directed
76	#per1	#per22	1	directed
77	#per1	#org3	1	directed
78	#per1	#org3	1	directed
79	#per1	#org3	1	directed
80	#per1	#org3	1	directed
81	#per1	#org3	1	directed
82	#per1	#org3	1	directed
83	#per1	#org3	1	directed
84	#per1	#org3	1	directed
85	#per1	#org3	1	directed
86	#per1	#org3	1	directed
87	#per1	#org3	1	directed
88	#per1	#org3	1	directed
89	#per1	#org3	1	directed
90	#per1	#org3	1	directed
91	#per1	#org3	1	directed
92	#per1	#org3	1	directed
93	#per1	#org3	1	directed
94	#per1	#org3	1	directed
95	#per1	#org3	1	directed
96	#per1	#org3	1	directed
97	#per1	#org3	1	directed
98	#per1	#org3	1	directed
99	#per1	#org3	1	directed
100	#per1	#org3	1	directed
101	#per1	#org3	1	directed
102	#per1	#org3	1	directed
103	#per1	#org3	1	directed
104	#per1	#org3	1	directed
105	#per1	#org3	1	directed
106	#per1	#org3	1	directed
107	#per1	#org3	1	directed
108	#per1	#org3	1	directed
109	#per1	#org3	1	directed
110	#per1	#org3	1	directed
111	#per1	#org3	1	directed
112	#per1	#org3	1	directed
113	#per1	#org3	1	directed
114	#per1	#org3	1	directed
115	#per1	#org3	1	directed
116	#per1	#org3	1	directed
117	#per1	#org3	1	directed
118	#per1	#org3	1	directed
119	#per1	#org3	1	directed
120	#per1	#org3	1	directed
121	#per1	#org3	1	directed
122	#per1	#org3	1	directed
123	#per1	#org3	1	directed
124	#per1	#org3	1	directed
125	#per1	#org3	1	directed
126	#per1	#org3	1	directed
127	#per1	#org3	1	directed
128	#per1	#org3	1	directed
129	#per1	#org3	1	directed
130	#per1	#org3	1	directed
131	#per1	#org3	1	directed
132	#per1	#per14	1	directed
133	#per1	#org3	1	directed
134	#per1	#per14	1	directed
135	#per1	#org3	1	directed
136	#per1	#per14	1	directed
137	#per1	#org3	1	directed
138	#per1	#per14	1	directed
139	#per1	#org3	1	directed
140	#per1	#per14	1	directed
141	#per1	#org3	1	directed
142	#per1	#org3	1	directed
143	#per1	#org3	1	directed
144	#per1	#org3	1	directed
145	#per1	#org3	1	directed
146	#per1	#org3	1	directed
147	#per1	#org3	1	directed
148	#per1	#org3	1	directed
149	#per1	#org3	1	directed
150	#per1	#org3	1	directed
151	#per1	#org3	1	directed
152	#per1	#org3	1	directed
153	#per1	#org3	1	directed
154	#per1	#org3	1	directed
155	#per1	#org3	1	directed
156	#per1	#org3	1	directed
157	#per1	#org3	1	directed
158	#per1	#org3	1	directed
159	#per1	#org3	1	directed
160	#per1	#org3	1	directed
161	#per1	#org3	1	directed
162	#per1	#org3	1	directed
163	#per1	#org3	1	directed
164	#per1	#org3	1	directed
165	#per1	#org3	1	directed
166	#per1	#org3	1	directed
167	#per1	#org3	1	directed
168	#per1	#org3	1	directed
169	#per1	#org3	1	directed
170	#per1	#org3	1	directed
171	#per1	#org3	1	directed
172	#per1	#org3	1	directed
173	#per1	#org3	1	directed
174	#per1	#org3	1	directed
175	#per1	#org3	1	directed
176	#per1	#org3	1	directed
177	#per1	#org3	1	directed
178	#per1	#org3	1	directed
179	#per1	#org3	1	directed
180	#per1	#org3	1	directed
181	#per1	#org3	1	directed
182	#per1	#org3	1	directed
183	#per1	#org3	1	directed
184	#per1	#org3	1	directed
185	#per1	#org3	1	directed
186	#per1	#org3	1	directed
187	#per1	#org3	1	directed
188	#per1	#org3	1	directed
189	#per1	#per57	1	directed
190	#per1	general	1	directed
191	#per1	#per57	1	directed
192	#per1	general	1	directed
193	#per1	#per57	1	directed
194	#per1	general	1	directed
195	#per1	#per57	1	directed
196	#per1	#per57	1	directed
197	#per1	#org5	1	directed
198	#per1	#org3	1	directed
199	#per1	#org3	1	directed
200	#per1	#org6	1	directed
201	#per1	#org15	1	directed
202	#per1	#org5	1	directed
203	#per1	#org5	1	directed
204	#per1	#org5	1	directed
205	#per1	#org15	1	directed
206	#per1	#per27	1	directed
207	#per1	#org2	1	directed
208	#per1	#org2	1	directed
209	#per1	#org27	1	directed
210	#per1	#org27	1	directed
211	#per1	#org27	1	directed
212	#per1	#org15	1	directed
213	#per1	#org15	1	directed
214	#per1	#org15	1	directed
215	#per1	#org3	1	directed
