id	NormalizedName-sp	aclaration	variants	comments	book	cert	Gender	NormalizedName-ge	NormalizedName-po	tipo
#per0	persona no definida				NT			nicht identifizierte Person	pessoa não identificada	person
#per1	Jesús				NT			Jesus	Jesus	person
#per2	Abraham				AT			Abraham	Abraão	person
#per3	Isaac				AT			Isaak	Isaque	person
#per4	Jacob		Israel		AT			Jakob	Jacó	person
#per5	Judá				AT			Juda	Judá	person
#per6	Tamar				NT		female	Tamar	Tamar	person
#per7	Fares				AT			Perez	Perez	person
#per8	Zéraj				AT			Serach	Zerá	person
#per9	Hesrón				NT			Hezron	Esrom	person
#per10	Herodes				NT			Herodes	Herodes	person
#per11	María	m. Jesús			NT		female	Maria	Maria	person
#per12	José	p. Jesús			NT			Josef	José	person
#per13	Elías				NT			Elija	Elias	person
#per14	Dios				AT			Gott	Deus	person
#per15	Jeremías				AT			Jeremiah	Jeremias	person
#per16	Raquel				AT		female	Rahel	Raquel	person
#per17	Espíritu Santo			Tb debería integrar en este id cuando se hace referencia al Espíritu de Dios?	AT			Heiliger Geist	Espírito Santo	person
#per18	Juan el Bautista				NT			Johannes der Täufer	João Batista	person
#per19	Isaías				AT			Jesaja	Isaías	person
#per20	diablo				AT			Teufel	Diabo	person
#per21	Simón Pedro	h. Zebedeo	Pedro		NT			Simon Petrus	Simão Pedro	person
#per22	Andrés	h. Zebedeo			NT			Andreas	André	person
#per23	Jacobo	h. Zebedeo			NT			Jakobus	Tiago	person
#per24	Zebedeo				NT			Zebedäus	Zebedeu	person
#per25	Juan		discípulo  amado		NT			Johannes	João	person
#per26	Moisés				AT			Mose	Moisés	person
#per27	Mateo				NT			Matthäus	Mateus	person
#per28	Felipe				NT			Philippus	Filipe	person
#per29	Bartolomé				NT			Batholomäus	Bartolomeu	person
#per30	Tomás				NT			Thomas	Tomé	person
#per31	Jacobo	h. Alfeo  h. María			NT			Jakobus	Tiago	person
#per32	Alfeo				NT			Alphäus	Alfeu	person
#per33	Tadeo				NT			Thaddäus	Tadeu	person
#per34	Judas Iscariote				NT			Judas Iskariot	Judas Iscariotes	person
#per35	David				AT			David	Davi	person
#per36	Jonás				AT			Jona	Jonas	person
#per37	Herodía				NT			Herodias	Herodias	person
#per38	hija de Herodias	Salomé	Salomé		NT		female	Tochter der Herodias	Filha de Herodias	person
#per39	Salomón				NT			Salomo	Salomão	person
#per40	Jonás	p. Simón Pedro			NT			Jona	Jonas	person
#per41	madre de hijos de Zebedeo			En Mat.27: 56 aparece una María madre de Jacobo ¿?	NT		female	Mutter der Söhne des Zebedäus	Mãe dos filhos de Zebedeu	person
#per42	César				NT			Kaiser	César	person
#per43	Abel				AT			Abel	Abel	person
#per44	Zacarías				NT			Zacharias 	Zacarias	person
#per45	Berequías				NT			Berechjas	Baraquias	person
#per46	Daniel				AT			Daniel	Daniel	person
#per47	Noé				AT			Noah	Noé	person
#per48	Caifás	sumo sacerdote			NT			Kaiphas	Caifás	person
#per49	Simón	Simón el leproso			NT			Simon	Simão	person
#per50	Pilato	procurador Pilato			NT			Pilatus	Pilatos	person
#per51	Barrabás				NT			Barabbas	Barrabás	person
#per52	esposa	esposa de Pilato			NT		female	Ehefrau	Esposa	person
#per53	Natanael				NT			Nathanael	Natanael	person
#per54	Simón	Hombre de Cirene que lleva la cruz de Jesús			NT			Simon	Simão	person
#per55	ladrón	ladrón de la derecha			NT			Räuber	Ladrão	person
#per56	ladrón	ladrón de la izquierda			NT			Räuber	Ladrão	person
#per57	Centurión				NT			Zenturio	Centurião	person
#per58	María Magdalena				NT		female	Maria Magdalena	Maria Madalena	person
#per59	María	ma. Jacobo  mu. Alfeo			NT		female	Maria	Maria	person
#per60	José	he. Jacobo  hi. María y Alfeo			NT			Josef	José	person
#per61	José	hombre rico de Arimatea			NT			Josef	José	person
#per62	Arquelao				AT			Archelaus	Arquelau	person
#per63	Roboam				AT			Rehabeam	Roboão	person
#per64	Abías				AT			Abija	Abias	person
#per65	Asa				AT			Asa	Asa	person
#per66	Josafat				AT			Joschafat	Josafá	person
#per67	Joram				AT			Joram	Jorão	person
#per68	Uzías				AT			Usija	Uzias	person
#per69	Jotam				AT			Jotam	Jotão	person
#per70	Acaz				AT			Ahas	Acaz	person
#per71	Ezequías				AT			Hiskia	Ezequias	person
#per72	Manasés	hijo de José			AT			Manasse	Manassés	person
#per73	Amón				AT			Amon	Amom	person
#per74	Josías				AT			Josia	Josias	person
#per75	Jeconías				AT			Jojachin	Jeconias	person
#per76	Salatiel				AT			Schealtiël	Salatiel	person
#per77	Zorobabel				AT			Serubbabel	Zorobabel	person
#per78	Abiud				AT			Abihud	Abiúde	person
#per79	Eliaquim				AT			Eljakim	Eliaquim	person
#per80	Azor				AT			Asor	Azor	person
#per81	Sadoc				AT			Zadok	Sadoque	person
#per82	Aquim				AT			Achim	Aquim	person
#per83	Eliud				AT			Eliud	Eliúde	person
#per84	Eleazar				AT			Eleasar	Eleazar	person
#per85	Matán				AT			Mattan	Matã	person
#per86	Jacob	p. José  a. Jesús			NT			Jakob	Jacó	person
#per87	Aram				AT			Ram	Arão	person
#per88	Aminadab				AT			Amminadab	Aminadabe	person
#per89	Najsón				AT			Nachschon	Naassom	person
#per90	Salmón	hi. Najson  p. Rajab			AT			Salmon	Salmom	person
#per91	Rajab	mu. Salomón  ma. Boaz			AT			Rahab	Raabe	person
#per92	Boaz				AT			Boas	Boaz	person
#per93	Rut	mu. Boaz  ma. Obed			AT		female	Rut	Rute	person
#per94	Obed				AT			Obed	Obede	person
#per95	Isaí				AT			Isai	Jessé	person
#per96	Urías				AT			Uria	Urias	person
#per97	suegra de Pedro				NT		female	Petrus´ Schwiegermutter	Sogra de Pedro	person
#per98	Jacobo	he. Jesús			NT			Jakobus	Tiago	person
#per99	José	he. Jesús			NT			Joses	José	person
#per100	Simón	he. Jesús			NT			Simon	Simão	person
#per101	Judas	he. Jesús			NT			Judas	Judas	person
#per102	Felipe	he. de Herodes			NT			Philippus	Filipe	person
#per103	Nicodemo				NT			Nikodemus	Nicodemos	person
#per104	José	jefe de tribu			AT			Josef	José	person
#per105	Simón	pa. Judas Iscariota			NT			Simon	Simão	person
#per106	Lázaro				NT			Lazarus	Lazaro	person
#per107	María	he. Lázaro y Marta			NT		female	Maria	Maria	person
#per108	Marta	he. Lázaro y María			NT		female	Martha	Marta	person
#per109	Rubén	jefe de tribu			NT			Ruben	Ruben	person
#per110	Judas	no Iscariote			NT			Judas	Judas	person
#per111	Malco				NT					person
#per112	Anás	suegro Caifas			NT					person
#per113	tía de Jesús				NT		female	Tante von Jesus	Tia de Jesus	person
#per114	Cleofas				NT			Kleopas	Cleofas	person
#per115	María	Mujer de Cleofas			NT		female	Maria	Maria	person
#per116	Antipas				NT			Antipas	Antipas	person
#per117	Balaam				NT			Bileam	Balaão	person
#per118	Balac				NT			Balack	Balaque	person
#per119	Jezabel				NT					person
#per120	Gad	jefe de tribu			AT			Gad		person
#per121	Aser	jefe de tribu			AT			Aser		person
#per122	Neftalí	jefe de tribu			AT			Naftali		person
#per123	Manases	jefe de tribu			AT			Manasse		person
#per124	Simeón	jefe de tribu			AT			Simeon		person
#per125	Leví	jefe de tribu			AT			Levi		person
#per126	Isacar	jefe de tribu			AT			Isachar		person
#per127	Zabulón	jefe de tribu			AT			Sebulon		person
#per128	Benjamín	jefe de tribu			AT			Benjamin		person
#per129	Abadón	ángel			NT					person
#per130	Miguel				NT			Michael	Miguel	person
#per131	Esaú		Edom	Es correcto la variación de Edom??	AT			Esau	Esaú	person
#per132	Labán				AT			Laban		person
#per133	faraón	en tiempos de José			AT					person
#per134	Sara				AT		female	Sarah	Sara	person
#per135	Lea				AT		female	Leah	Leia	person
#per136	Rebeca				AT		female			person
