item	itemLabel	genreLabel	languageLabel	date
http://www.wikidata.org/entity/Q9813916	1 Chronicles		Hebrew	
http://www.wikidata.org/entity/Q131066	1 Kings		Biblical Hebrew	
http://www.wikidata.org/entity/Q1975029	1 Samuel		Biblical Hebrew	
http://www.wikidata.org/entity/Q209720	2 Chronicles			
http://www.wikidata.org/entity/Q209746	2 Kings		Hebrew	
http://www.wikidata.org/entity/Q209719	2 Samuel		Biblical Hebrew	
http://www.wikidata.org/entity/Q40309	Acts of the Apostles		Ancient Greek	
http://www.wikidata.org/entity/Q174677	Amos	religious text		
http://www.wikidata.org/entity/Q174677	Amos	prophetic books		
http://www.wikidata.org/entity/Q80115	Book of Daniel	prophetic books		
http://www.wikidata.org/entity/Q131068	Book of Esther		Hebrew	
http://www.wikidata.org/entity/Q131635	Book of Ezra			
http://www.wikidata.org/entity/Q9184	Book of Genesis	religious text	Biblical Hebrew	
http://www.wikidata.org/entity/Q178338	Book of Haggai	prophetic books	Hebrew	
http://www.wikidata.org/entity/Q184030	Book of Hosea	prophetic books		
http://www.wikidata.org/entity/Q131643	Book of Joel	prophetic books		
http://www.wikidata.org/entity/Q178819	Book of Jonah	prophetic books		
http://www.wikidata.org/entity/Q51675	Book of Malachi	prophetic books		
http://www.wikidata.org/entity/Q178076	Book of Micah	prophetic books		
http://www.wikidata.org/entity/Q131640	Book of Nehemiah			
http://www.wikidata.org/entity/Q179769	Book of Zechariah	prophetic books		
http://www.wikidata.org/entity/Q188563	Book of Zephaniah	prophetic books		
http://www.wikidata.org/entity/Q42614	Deuteronomy	religious text	Biblical Hebrew	
http://www.wikidata.org/entity/Q131072	Ecclesiastes	wisdom literature	Hebrew	
http://www.wikidata.org/entity/Q131097	Epistle of James	epistle		
http://www.wikidata.org/entity/Q131466	Epistle of Jude	epistle		
http://www.wikidata.org/entity/Q131104	Epistle to Philemon	epistle		
http://www.wikidata.org/entity/Q131493	Epistle to Titus	epistle		
http://www.wikidata.org/entity/Q131095	Epistle to the Colossians	epistle		
http://www.wikidata.org/entity/Q408673	Epistle to the Ephesians	epistle		
http://www.wikidata.org/entity/Q128620	Epistle to the Galatians	epistle	Greek	
http://www.wikidata.org/entity/Q128608	Epistle to the Hebrews	epistle	Ancient Greek	
http://www.wikidata.org/entity/Q51613	Epistle to the Philippians	epistle		
http://www.wikidata.org/entity/Q48203	Epistle to the Romans	epistle		
http://www.wikidata.org/entity/Q9190	Exodus	history	Biblical Hebrew	
http://www.wikidata.org/entity/Q178390	Ezekiel	prophetic books	Hebrew	
http://www.wikidata.org/entity/Q131101	First Epistle of John	epistle		
http://www.wikidata.org/entity/Q131119	First Epistle of Peter	epistle		
http://www.wikidata.org/entity/Q131180	First Epistle to Timothy	epistle	Hebrew	
http://www.wikidata.org/entity/Q80355	First Epistle to the Corinthians	epistle		
http://www.wikidata.org/entity/Q131115	First Epistle to the Thessalonians	epistle		
http://www.wikidata.org/entity/Q36766	Gospel of John	gospel		
http://www.wikidata.org/entity/Q39939	Gospel of Luke	gospel		
http://www.wikidata.org/entity/Q107388	Gospel of Mark	gospel		
http://www.wikidata.org/entity/Q392302	Gospel of Matthew	gospel		
http://www.wikidata.org/entity/Q179760	Habakkuk	prophetic books		
http://www.wikidata.org/entity/Q131458	Isaiah	prophetic books	Hebrew	
http://www.wikidata.org/entity/Q131590	Jeremiah	prophetic books	Hebrew	
http://www.wikidata.org/entity/Q4577	Job	wisdom literature	Hebrew	
http://www.wikidata.org/entity/Q47680	Joshua			
http://www.wikidata.org/entity/Q81240	Judges			
http://www.wikidata.org/entity/Q179058	Lamentations	prophetic books	Hebrew	
http://www.wikidata.org/entity/Q41490	Leviticus		Biblical Hebrew	
http://www.wikidata.org/entity/Q179755	Nahum	prophetic books		
http://www.wikidata.org/entity/Q43099	Numbers	Scripture	Biblical Hebrew	
http://www.wikidata.org/entity/Q174753	Obadiah	prophetic books	Hebrew	
http://www.wikidata.org/entity/Q4579	Proverbs	wisdom literature	Biblical Hebrew	
http://www.wikidata.org/entity/Q41064	Psalms	wisdom literature	Biblical Hebrew	
http://www.wikidata.org/entity/Q42040	Revelation of John	apocalyptic literature	Ancient Greek	
http://www.wikidata.org/entity/Q42040	Revelation of John	apocalyptic literature	Koine Greek	
http://www.wikidata.org/entity/Q80038	Ruth		Hebrew	
http://www.wikidata.org/entity/Q131453	Second Epistle of John	epistle		
http://www.wikidata.org/entity/Q131178	Second Epistle of Peter	epistle		
http://www.wikidata.org/entity/Q131489	Second Epistle to Timothy	epistle		
http://www.wikidata.org/entity/Q123808	Second Epistle to the Corinthians	epistle		
http://www.wikidata.org/entity/Q131107	Second Epistle to the Thessalonians	epistle		
http://www.wikidata.org/entity/Q51670	Song of Songs	wisdom literature	Hebrew	
http://www.wikidata.org/entity/Q131462	Third Epistle of John	epistle		
