	0
0	Age
1	Sira
2	Meteg
3	Tecoa
4	Ahíam
5	Betsabé
6	Gabaón
7	Cabseel
8	Abigail
9	Nacón
10	Sobab
11	Amnón
12	Hanún
13	Saúl
14	Altísimo
15	Sadoc
16	Ahinoam
17	Gabaa
18	Ahasbai
19	Abital
20	Jerobaal
21	Gía
22	Siba
23	Gareb
24	Simea
25	Adriel
26	Mefi
27	Natán
28	Itra
29	Quileab
30	Abiatar
31	Maaca
32	Sefatías
33	Carmel
34	Gitaim
35	Ahitofel
36	Eliam
37	Jonatán
38	Ahimelec
39	Sarvia
40	Urías
41	Seraías
42	Gesur
43	Gob
44	Naharai
45	Hadad
46	Tamar
47	Joiada
48	Olivos
49	Ahío
50	Elifelet
51	Dodo
52	Refaim
53	Danjaán
54	Cis
55	Amón
56	Saf
57	Mical
58	Siclag
59	Nabal
60	Jezreel
61	Paarai
62	Baana
63	Elica
64	Helam
65	Gesuri
66	Isbi
67	Berotai
68	Abner
69	Rogelim
70	Mebunai
71	Sama
72	Soba
73	Gaas
74	Sarar
75	Lais
76	Amiud
77	Barim
78	Josafat
79	Jonadab
80	Ahimaas
81	Ira
82	Gilo
83	Asael
84	Beta
85	Maharai
86	Benaía
87	Jaser
88	Hodsi
89	Barzilai
90	Aroer
91	Jedidías
92	Arca
93	Obed
94	Sobac
95	Itai
96	Goliat
97	Rehob
98	Iques
99	Gilboa
100	Maquir
101	Simei
102	Azmavet
103	Abisai
104	Amiel
105	Jazer
106	Gera
107	Joab
108	Elisúa
109	Bicri
110	Ahilud
111	Aja
112	Milo
113	Haguit
114	Beerot
115	Abimelec
116	Sibecai
117	Jasén
118	Jafía
119	Amma
120	Eliada
121	Zela
122	Eleazar
123	Amasa
124	Husai
125	Uza
126	Absalón
127	Arabá
128	Is
129	Lehi
130	Lo
131	Recab
132	Toi
133	Casa
134	Ner
135	Arauna
136	Hidai
137	Elhanán
138	Talmai
139	Adonías
140	Rizpa
141	Tabernáculo
142	Quimam
143	Salomón
144	Rogel
145	Egla
146	Adino
147	Itream
148	Bet
149	Ribai
150	Bitrón
151	Sal
152	Gezer
153	Ahitob
154	Rabá
155	Tebes
156	Abinadab
157	Jaare
158	Hiram
159	Micaía
160	Nahas
161	Bahurim
