	weight	source	target
151	86	#org88	#per4
1589	82	#per14	#per2
1937	72	#org88	#per104
1514	54	#per132	#per4
923	52	#per104	#per4
1176	45	#per104	#per133
1653	42	#per14	#per47
372	33	#per16	#per4
856	29	#per3	#per4
576	29	#per135	#per16
6	29	#per131	#per4
1723	28	#per134	#per2
1276	28	#per135	#per4
94	28	#per144	#per162
1366	27	#per158	#per162
350	27	#per144	#per158
579	27	#org83	#per132
202	27	#per132	#per159
1367	25	#per158	#per47
1154	25	#per144	#per47
1285	25	#per162	#per47
941	23	#per14	#per4
1048	23	#org83	#per159
65	23	#per14	#per145
1546	22	#per104	#per5
422	22	#per131	#per3
1462	21	#per2	#per3
689	20	#org83	#per2
1331	19	#per104	#pla5
1415	18	#per136	#per4
669	18	#per138	#per2
387	17	#per4	#per5
1760	16	#org88	#per5
1652	16	#per14	#per162
195	16	#per139	#per150
194	16	#per14	#per144
1861	16	#per14	#pla41
1202	16	#per14	#per158
1767	15	#per132	#per16
292	14	#per145	#per241
1620	13	#org0	#per14
1301	13	#per14	#per3
1464	12	#org88	#pla5
1823	12	#per137	#per2
76	12	#org83	#per136
220	12	#per4	#pla5
1240	12	#org4	#per137
981	12	#per136	#per3
778	11	#per14	#per241
585	11	#org84	#per2
655	11	#per152	#per72
773	11	#org65	#per104
1677	11	#per14	#per142
327	10	#org88	#per109
1975	10	#org88	#per189
827	10	#org4	#per2
1573	10	#per104	#per195
821	9	#per109	#per4
341	9	#per124	#per125
1107	9	#per133	#per195
658	9	#per104	#per152
721	9	#per104	#per128
1846	9	#per157	#per4
626	9	#per104	#per72
681	8	#pla16	#pla17
897	8	#per104	#per14
461	8	#per152	#per4
88	8	#per4	#per72
556	8	#per5	#per6
944	8	#org88	#per150
919	8	#per132	#per136
1980	8	#org4	#per4
486	8	#org83	#per14
338	8	#per138	#per3
32	8	#per2	#pla84
1009	8	#org88	#per139
1660	8	#per138	#per227
430	8	#org4	#per14
256	7	#org0	#per4
106	7	#per173	#per4
1761	7	#per104	#per196
1461	7	#per133	#pla5
120	7	#per4	#pla84
966	7	#per143	#per2
1979	7	#per140	#per143
1433	7	#org88	#per16
161	7	#per149	#per2
1313	7	#per104	#per189
908	7	#org88	#per135
1718	7	#per138	#per14
1866	7	#per135	#per173
1070	7	#per140	#per2
1894	7	#per157	#per16
460	7	#per157	#per173
635	7	#org4	#per143
439	6	#per125	#per4
751	6	#per245	#per5
1472	6	#per47	#pla41
176	6	#per136	#per159
101	6	#org88	#per133
364	6	#per104	#per201
191	6	#per14	#pla77
1907	6	#per134	#per14
1809	6	#org65	#pla5
38	6	#per104	#per16
1665	6	#per4	#pla136
1243	6	#per132	#per135
146	6	#per2	#pla115
15	6	#per14	#pla16
1011	6	#per132	#per3
846	6	#per124	#per4
1658	6	#per133	#per4
704	5	#per134	#per138
1265	5	#org88	#per173
279	5	#per20	#per241
631	5	#org0	#per2
1117	5	#per4	#pla137
405	5	#per180	#per197
1655	5	#per205	#per214
1291	5	#per104	#per267
1779	5	#per211	#per214
1062	5	#pla5	#pla84
647	5	#per134	#per143
1333	5	#per137	#pla16
1649	5	#per181	#per4
1746	5	#per131	#per197
1063	5	#per131	#per136
915	5	#per132	#pla137
325	5	#per14	#per143
1500	5	#per135	#per157
1215	5	#org80	#per137
8	5	#org85	#pla5
896	5	#per195	#per196
1499	5	#org88	#per128
1810	5	#per180	#per205
797	5	#org94	#per104
741	5	#per205	#per211
1319	5	#per16	#per173
465	5	#per134	#pla84
1568	5	#org88	#per157
299	4	#per120	#per4
54	4	#per227	#per385
56	4	#per134	#per3
46	4	#org79	#per137
549	4	#per144	#per177
1042	4	#per104	#per178
1206	4	#org4	#pla18
511	4	#org88	#per124
969	4	#org0	#per5
1594	4	#org88	#per161
774	4	#per150	#per4
1528	4	#per172	#per211
492	4	#per233	#per87
212	4	#org94	#per133
1920	4	#per161	#per4
374	4	#per4	#pla108
1697	4	#per137	#per14
793	4	#per141	#per156
696	4	#per138	#per385
1942	4	#per135	#per14
748	4	#per182	#per197
1849	4	#per128	#per4
867	4	#per172	#per214
955	4	#per177	#per87
1843	4	#per2	#pla134
27	4	#per131	#per182
1086	4	#per137	#pla113
198	4	#per153	#per2
675	4	#per145	#pla77
268	4	#per360	#per395
1143	4	#per177	#per233
1238	4	#per177	#per330
767	4	#per2	#pla5
521	4	#per109	#per125
1018	4	#per207	#per47
910	4	#per3	#pla101
1133	4	#per262	#per285
539	4	#per126	#per4
1422	4	#per14	#per16
727	4	#per2	#per395
1710	4	#per260	#per262
411	4	#per158	#per207
1426	4	#per191	#per285
1617	4	#per330	#per87
1440	4	#org65	#per133
1484	4	#per172	#per205
946	4	#per109	#per124
717	4	#per2	#pla16
608	4	#per2	#pla83
1743	4	#per3	#pla136
820	4	#per14	#tim3
1796	4	#org78	#per2
654	4	#per166	#per180
435	4	#per233	#per330
764	4	#per131	#per180
66	4	#per139	#per161
623	4	#per121	#per4
413	4	#per157	#per181
1636	4	#per144	#per207
604	4	#per191	#per260
680	4	#per141	#per2
1099	4	#per131	#pla125
1123	4	#per162	#per207
1413	4	#org4	#pla16
438	4	#per260	#per285
403	4	#per191	#per262
1618	3	#per168	#per184
1297	3	#per131	#per205
1180	3	#per321	#per334
504	3	#per2	#pla116
61	3	#per197	#per211
728	3	#per334	#per387
1778	3	#per2	#pla133
419	3	#org88	#per121
1035	3	#per122	#per181
1306	3	#per104	#per230
580	3	#per109	#per135
1852	3	#org0	#per135
672	3	#per141	#per171
90	3	#per136	#per14
520	3	#per14	#per20
1856	3	#per156	#per2
496	3	#per2	#per227
760	3	#per277	#per380
313	3	#per144	#pla41
472	3	#per154	#per166
1494	3	#org88	#per120
1764	3	#per366	#per395
1626	3	#per132	#per157
469	3	#per169	#per179
924	3	#per150	#per161
1539	3	#per329	#per360
1886	3	#per121	#per173
311	3	#per137	#pla107
1269	3	#per133	#per196
1579	3	#org0	#per109
600	3	#per2	#pla112
1780	3	#per321	#per380
1490	3	#per227	#per3
513	3	#per160	#per174
278	3	#per131	#per214
664	3	#per180	#per214
444	3	#per145	#per169
733	3	#per14	#per140
1523	3	#per180	#per211
1924	3	#per158	#pla41
1039	3	#per329	#per395
912	3	#per2	#pla107
150	3	#per109	#per16
1575	3	#org92	#per133
1485	3	#per178	#per267
1525	3	#per168	#per176
1030	3	#per120	#per121
497	3	#per277	#per321
1470	3	#per138	#pla101
43	3	#per148	#per2
1093	3	#per141	#per148
1218	3	#per122	#per4
1411	3	#per4	#pla133
376	3	#per277	#per387
1199	3	#per4	#pla110
1968	3	#per2	#per251
377	3	#per137	#pla84
959	3	#per131	#per172
978	3	#per131	#per166
175	3	#per277	#per334
1081	3	#per197	#per205
819	3	#per109	#per5
1073	3	#per127	#per4
1641	3	#per217	#per230
1657	3	#per380	#per387
192	3	#per14	#pla17
711	3	#per137	#pla17
1065	3	#org88	#per125
951	3	#per134	#pla5
1984	3	#per4	#pla147
1077	3	#per3	#per385
750	3	#per154	#per209
1428	3	#per122	#per157
170	3	#per14	#per267
745	3	#per180	#per182
724	3	#per139	#per4
329	3	#per104	#per217
1279	3	#per197	#per214
246	3	#org63	#per139
116	3	#per134	#per137
1237	3	#per329	#per366
122	3	#per176	#per177
742	3	#per131	#per211
1012	3	#org63	#per150
1844	3	#per162	#pla41
589	3	#per202	#per232
894	3	#org88	#per181
616	3	#per180	#per279
1545	3	#per148	#per156
568	3	#per360	#per366
235	3	#per120	#per173
1446	3	#per334	#per380
1098	3	#per321	#per387
719	3	#per166	#per209
1674	3	#per2	#pla101
540	3	#org0	#per134
870	2	#per203	#per229
1855	2	#per172	#per180
1870	2	#per208	#per222
98	2	#per104	#per157
1838	2	#424	#per293
753	2	#per2	#pla18
752	2	#per182	#per354
749	2	#per166	#per197
911	2	#per124	#per127
762	2	#per113	#per366
892	2	#per315	#per324
1826	2	#429	#per321
763	2	#per104	#per135
904	2	#per174	#per203
1825	2	#per137	#pla5
1788	2	#per208	#per219
744	2	#pla148	#pla9
861	2	#per166	#per172
864	2	#389	#per380
1884	2	#per182	#per244
1770	2	#per	#per277
123	2	#org0	#per145
1874	2	#per254	#per259
140	2	#pla110	#pla116
82	2	#per333	#per351
734	2	#per166	#per182
1789	2	#per	#per321
766	2	#per166	#per205
1787	2	#per245	#per6
1786	2	#per109	#per14
916	2	#per134	#pla107
1782	2	#pla18	#pla41
1781	2	#389	#per218
1882	2	#per132	#per14
1776	2	#per182	#per248
1774	2	#per147	#per5
1819	2	#per244	#per248
55	2	#429	#per380
91	2	#per14	#per206
207	2	#per212	#per333
907	2	#442	#per387
1706	2	#per14	#per153
1700	2	#per159	#per171
53	2	#org53	#per2
1925	2	#per180	#pla84
1686	2	#389	#per293
1685	2	#per333	#per428
961	2	#per146	#per236
1725	2	#per166	#per279
705	2	#per242	#per320
189	2	#org71	#per208
1763	2	#pla136	#pla84
1726	2	#per324	#per420
178	2	#org0	#per6
858	2	#per153	#per3
1757	2	#per244	#per258
1910	2	#per175	#per321
1909	2	#per125	#per126
765	2	#per142	#per43
156	2	#per202	#per259
900	2	#per150	#pla108
1806	2	#per232	#per259
1868	2	#per184	#per199
871	2	#per175	#per277
1822	2	#429	#per
963	2	#per264	#per351
859	2	#per14	#pla133
942	2	#442	#per
1712	2	#org84	#pla115
1904	2	#per202	#per254
1721	2	#429	#per277
1720	2	#424	#per380
1715	2	#per152	#per217
776	2	#per320	#per428
1906	2	#per14	#pla116
1714	2	#org88	#pla84
736	2	#per134	#pla134
684	2	#per180	#per259
868	2	#per186	#per6
1578	2	#per314	#per87
1644	2	#org94	#per251
701	2	#per218	#per277
1845	2	#per351	#per428
1956	2	#per122	#per16
826	2	#org88	#per131
1583	2	#pla107	#pla84
1582	2	#per285	#pla124
1576	2	#per212	#per264
234	2	#per293	#per387
804	2	#per172	#pla84
9	2	#per242	#per351
1016	2	#per259	#per279
1972	2	#per360	#pla121
283	2	#per360	#pla113
7	2	#per277	#per293
5	2	#per126	#per14
972	2	#org71	#per222
1663	2	#442	#per175
132	2	#per183	#per194
1633	2	#per395	#pla113
726	2	#per320	#per351
790	2	#per14	#pla79
242	2	#per131	#per216
973	2	#per109	#per128
1672	2	#per264	#per320
226	2	#per140	#per3
42	2	#per144	#per233
798	2	#org65	#org94
1650	2	#442	#per321
39	2	#per127	#per135
703	2	#per139	#pla108
988	2	#per174	#per229
786	2	#per152	#per230
237	2	#442	#per380
1940	2	#org53	#per3
970	2	#per211	#pla84
287	2	#per212	#per320
1977	2	#per202	#per252
1023	2	#per153	#pla115
1004	2	#per329	#pla113
24	2	#per218	#per334
1610	2	#per252	#per254
16	2	#per253	#per315
1607	2	#per141	#per200
263	2	#org88	#pla108
264	2	#per113	#per395
1602	2	#424	#442
1599	2	#per191	#pla124
293	2	#per242	#per428
674	2	#per2	#pla17
1596	2	#per199	#per200
671	2	#per	#per293
679	2	#per293	#per334
1678	2	#per212	#per242
1696	2	#per14	#pla110
210	2	#per314	#per330
823	2	#per233	#per314
995	2	#pla41	#tim3
965	2	#per131	#per16
252	2	#per14	#per201
1558	2	#org0	#per178
806	2	#per293	#per321
295	2	#389	#442
2	2	#per262	#per395
1554	2	#per248	#per258
1028	2	#per137	#per156
1967	2	#org49	#per4
1586	2	#389	#per277
273	2	#org63	#per131
1590	2	#per197	#pla84
825	2	#per156	#pla107
991	2	#per242	#per333
1954	2	#per253	#per420
799	2	#per131	#pla
251	2	#per293	#per380
70	2	#per219	#per222
1867	2	#per104	#per173
725	2	#per126	#per135
1153	2	#429	#per334
1173	2	#per205	#per279
474	2	#389	#per387
1149	2	#per218	#per387
584	2	#per230	#pla5
583	2	#org64	#pla78
582	2	#org0	#per47
1308	2	#pla20	#pla99
481	2	#per134	#per251
1261	2	#per172	#per197
1303	2	#per113	#per329
482	2	#org85	#per267
1300	2	#per212	#per351
1158	2	#442	#per277
578	2	#pla110	#pla111
1161	2	#per128	#per189
1162	2	#per	#per218
510	2	#per205	#pla
1186	2	#per131	#per157
498	2	#per131	#per173
1187	2	#per137	#pla9
1242	2	#per104	#pla84
1241	2	#org0	#per241
1239	2	#per179	#per198
1236	2	#per	#per175
563	2	#per264	#per428
1257	2	#per175	#per387
1232	2	#per260	#per395
1229	2	#424	#per387
1208	2	#389	#per321
559	2	#per232	#per254
1190	2	#per109	#per126
537	2	#per191	#per395
1217	2	#per159	#per3
1216	2	#per87	#pere314
1214	2	#per315	#per420
552	2	#424	#429
1163	2	#per121	#per135
500	2	#per132	#per173
1246	2	#per72	#pla5
1518	2	#per2	#per4
353	2	#per286	#per7
1476	2	#per154	#per47
345	2	#429	#per218
352	2	#per160	#per229
1037	2	#per194	#per206
1479	2	#org87	#per3
1517	2	#per166	#pla
646	2	#per	#per380
1040	2	#389	#per175
649	2	#per227	#pla101
1524	2	#per260	#pla124
1529	2	#per180	#pla
360	2	#per217	#pla5
1522	2	#per226	#per258
1044	2	#per4	#pla115
1752	2	#per183	#per198
1067	2	#per253	#per324
337	2	#per104	#pla147
1275	2	#per182	#per258
314	2	#per131	#pla84
505	2	#per156	#pla78
1270	2	#442	#per293
1170	2	#per125	#per5
1145	2	#org88	#per2
1457	2	#per226	#per244
993	2	#org64	#per156
342	2	#per175	#per380
1532	2	#424	#per218
1057	2	#org71	#pla125
1049	2	#per330	#pere314
1050	2	#429	#per387
1069	2	#per285	#per395
326	2	#per175	#per334
1052	2	#per120	#per135
334	2	#per	#per334
1543	2	#per182	#per226
1181	2	#per264	#per333
1171	2	#org78	#org83
518	2	#per131	#per135
1355	2	#per4	#pla107
1118	2	#per217	#per72
427	2	#per3	#pla84
1122	2	#per205	#pla84
433	2	#org49	#per104
437	2	#per124	#per126
1358	2	#424	#per321
443	2	#424	#per277
1129	2	#per144	#per87
1338	2	#per218	#per321
1130	2	#per218	#per380
1350	2	#org88	#per122
1116	2	#per154	#per190
448	2	#per16	#per204
593	2	#org0	#per16
1136	2	#per16	#per181
1138	2	#per195	#per234
547	2	#per267	#pla5
933	2	#per262	#pla124
1730	2	#429	#per293
1731	2	#389	#429
164	2	#per109	#per127
1252	2	#per160	#per172
1893	2	#per177	#per314
1899	2	#per230	#per72
722	2	#429	#442
940	2	#per190	#per206
167	2	#pla115	#pla84
1744	2	#per205	#per259
1900	2	#per186	#per193
853	2	#pla134	#pla84
936	2	#424	#per
1738	2	#per212	#per428
937	2	#per226	#per248
938	2	#per175	#per218
1732	2	#424	#per175
1139	2	#per242	#per264
922	2	#424	#per334
1334	2	#per232	#per252
382	2	#per152	#pla5
1090	2	#per233	#pere314
391	2	#per126	#per127
1419	2	#org71	#per219
1410	2	#per134	#pla115
1096	2	#389	#per334
1097	2	#org83	#per3
615	2	#per395	#pla121
1402	2	#442	#per334
1103	2	#389	#per
408	2	#389	#424
1392	2	#per214	#pla84
1144	2	#per366	#pla113
1455	2	#per	#per387
467	2	#per252	#per259
1328	2	#per136	#pla136
586	2	#per160	#per203
1256	2	#per124	#per5
383	2	#429	#per175
1407	2	#per141	#per159
1112	2	#per14	#per431
369	2	#per145	#pla41
464	2	#org85	#per104
1347	2	#per3	#pla83
1327	2	#org84	#per149
1385	2	#per144	#per330
607	2	#org88	#per126
1326	2	#442	#per218
1454	2	#per320	#per333
373	2	#per113	#per360
1444	2	#per218	#per293
1443	2	#per131	#per14
375	2	#per177	#pere314
1082	2	#pla111	#pla116
379	2	#per125	#per127
1436	2	#per175	#per293
214	1	#per193	#per266
215	1	#per134	#per171
216	1	#per	#per358
260	1	#org	#per205
262	1	#per172	#per4
217	1	#per158	#per333
219	1	#per155	#per342
231	1	#per328	#per78
211	1	#per239	#per288
221	1	#per162	#per314
213	1	#org39	#per185
233	1	#per321	#per358
209	1	#per401	#per403
208	1	#per285	#per366
206	1	#org94	#pla84
218	1	#per210	#per367
232	1	#org83	#pla83
236	1	#per308	#per375
265	1	#per260	#pla122
261	1	#per120	#per122
223	1	#per3	#pla115
222	1	#per377	#per417
45	1	#pla106	#pla41
224	1	#per158	#per253
225	1	#per218	#per358
51	1	#per5	#perper6
50	1	#per162	#per320
258	1	#per260	#pla123
49	1	#per177	#per420
48	1	#per187	#per377
47	1	#per158	#per242
44	1	#per313	#per412
41	1	#per155	#per213
40	1	#org43	#per122
37	1	#pla102	#pla81
36	1	#per242	#per253
71	1	#org60	#org61
134	1	#per158	#per233
135	1	#org78	#per143
136	1	#org47	#per376
230	1	#per137	#per141
229	1	#per210	#per388
228	1	#org67	#pla122
227	1	#per215	#per331
259	1	#per213	#per231
139	1	#per14	#pla5
257	1	#per330	#per47
142	1	#per143	#pla18
154	1	#per264	#per330
153	1	#per113	#pla113
152	1	#	#per428
149	1	#per162	#pla18
148	1	#org65	#per4
147	1	#per369	#per416
145	1	#org63	#pla9
144	1	#per216	#per354
143	1	#per269	#per292
141	1	#per320	#per47
157	1	#per124	#per189
138	1	#per320	#per330
137	1	#per104	#per122
165	1	#pla103	#pla81
546	1	#per133	#per384
166	1	#per253	#per351
169	1	#per104	#per132
200	1	#org79	#pla17
57	1	#per158	#per314
199	1	#per271	#per276
155	1	#per187	#per325
158	1	#per109	#pla5
255	1	#per234	#per393
241	1	#per158	#per264
254	1	#per	#per424
253	1	#per392	#per428
250	1	#per166	#per259
249	1	#per292	#per393
248	1	#per269	#per388
247	1	#per280	#per383
245	1	#org63	#pla81
244	1	#per168	#pla41
243	1	#per419	#per7
240	1	#per127	#per5
159	1	#per215	#per426
239	1	#per306	#per357
238	1	#per4	#pla
205	1	#per165	#per167
204	1	#per293	#per358
203	1	#org4	#org80
201	1	#org83	#per141
163	1	#per266	#per419
162	1	#per14	#pla127
160	1	#per205	#per4
52	1	#per288	#per316
95	1	#per166	#per4
58	1	#org67	#pla124
103	1	#org78	#per297
83	1	#per292	#per388
81	1	#per5	#pla147
80	1	#org43	#per132
79	1	#per254	#per279
78	1	#per14	#pla101
77	1	#per185	#per193
75	1	#org78	#per309
74	1	#per253	#per47
85	1	#per158	#per212
104	1	#org49	#per128
86	1	#org88	#per132
105	1	#org43	#per415
131	1	#per249	#per309
130	1	#per351	#per87
129	1	#per177	#per264
128	1	#per315	#per333
127	1	#org80	#per14
126	1	#org50	#per4
125	1	#org63	#per172
124	1	#per374	#per391
84	1	#per220	#per368
102	1	#per17	#pla41
59	1	#org50	#per128
269	1	#per158	#pla18
456	1	#pla16	#pla23
455	1	#per158	#per320
454	1	#org91	#per224
453	1	#per162	#per351
452	1	#per308	#per372
451	1	#org57	#org59
450	1	#per191	#per329
449	1	#org91	#per157
479	1	#per332	#per343
267	1	#per185	#pla145
87	1	#per330	#per333
266	1	#org41	#per355
100	1	#per300	#per313
