	entity	frequency
140	Dios	73
124	Jerusalén	37
83	Judá	27
114	Israel	21
169	Jehová	18
145	Entonces	15
130	Ley	13
20	Los	12
35	Después	12
88	Pero	11
177	Templo	11
116	David	8
110	Desc	8
36	También	8
178	En	8
60	Zacarías	7
137	Cuando	7
127	Junto	7
95	Moisés	7
4	El	7
197	Porque	6
77	Benjamín	6
6	Salomón	5
75	Sadoc	5
9	Estos	5
188	Jonatán	5
184	Stmt	4
204	Jeremías	4
5	Señor	4
7	Elam	4
8	Luego	4
132	Ellos	4
62	Mizpa	3
58	De	3
161	José	3
53	Cos	3
173	Les	3
175	Tras	3
44	Urías	3
70	Desde	3
61	Geba	3
187	Zorobabel	3
12	Asdod	3
18	Anatot	3
179	Header	2
71	Asimismo	2
157	Jericó	2
155	Sucedió	2
79	Quiriat	2
180	Keila	2
22	Aquel	2
86	Jesúa	2
21	Todos	2
90	Bet-el	2
143	Zanoa	2
67	Micmas	2
17	Hodías	2
101	No	2
15	Efraín	2
135	Mas	2
105	Egipto	2
133	La	2
112	Ramá	2
120	Babilonia	2
193	Aarón	2
122	Leví	2
181	Matanías	2
51	Gabaón	2
171	Beerseba	2
167	Seraías	2
192	Amón	1
198	Hallaste	1
141	Mijamín	1
139	Basán	1
138	Reina	1
172	Edificamos	1
136	Uno	1
185	Oseas	1
174	Dividiste	1
134	Salió	1
183	Leyó	1
131	Puestos	1
170	Quisleu	1
199	Hice	1
176	Maluc	1
182	Reedificó	1
129	Text	1
200	Llegaron	1
128	Mesezabeel	1
201	Adulam	1
202	Maazías	1
126	Ahora	1
125	Fui	1
203	Azarías	1
142	First	1
186	Hazor	1
162	Abraham	1
190	Sema	1
160	Siloé	1
159	Multiplicaste	1
163	Esto	1
164	Sacudí	1
158	Nabucodonosor	1
191	Bet-pelet	1
156	Os	1
194	Pasé	1
123	Ur	1
195	Siclag	1
154	Buni	1
153	Cuatro	1
144	Te	1
152	Palal	1
165	Josué	1
189	Samaria	1
150	Secanías	1
149	Magpías	1
166	Cada	1
148	Pues	1
147	Al	1
168	Hazar	1
146	Ya	1
196	Amarías	1
151	Darío	1
0	Fue	1
121	Azeca	1
59	Así	1
37	Joel	1
38	Antes	1
39	Encontré	1
40	Quotations	1
41	Llegué	1
42	Harim	1
43	Salum	1
45	Otros	1
46	Halohes	1
47	Iddo	1
48	Daniel	1
49	Asiria	1
50	Con	1
52	Semaías	1
54	Hadid	1
55	Level	1
56	Malquías	1
34	Subí	1
33	Ater	1
32	Gilgal	1
19	Bendijo	1
2	Génesis	1
3	Sanbalat	1
10	Rehob	1
11	Gitaim	1
13	Nos	1
14	Hur	1
16	Además	1
23	Adonías	1
31	Vi	1
24	Le	1
25	Detrás	1
26	Harif	1
27	Una	1
28	Acuérdate	1
29	Reconocí	1
30	Rehum	1
57	Toda	1
63	Sinaí	1
119	Jarmut	1
64	Nun	1
96	Dibón	1
97	Zora	1
98	Zacur	1
99	Entre	1
100	Pelatías	1
1	Hatús	1
103	Abrió	1
104	Reñí	1
106	Laquis	1
107	Mesulam	1
108	Ahías	1
109	Lod	1
111	Para	1
113	Algunos	1
115	Hai	1
117	Nob	1
118	Sehón	1
94	Joiada	1
93	Balaam	1
92	Echamos	1
76	Conspiraron	1
65	Rojo	1
66	Hiciste	1
68	Salú	1
69	Micaía	1
72	Tenían	1
73	Belén	1
74	Había	1
78	Susa	1
91	Beerot	1
80	The	1
81	Hesbón	1
82	Sabetai	1
84	Hinom	1
85	Aquella	1
87	Pasur	1
89	Palabras	1
102	Bet-sur	1
