	entity	frequency
13	Jah	17
19	Rey	16
46	Casa	8
31	Tabernáculo	7
18	Selah	5
14	Cam	4
3	Filistea	3
44	Meriba	3
21	Leviatán	2
30	Rahab	2
8	Og	2
7	Calvo	2
36	Lámed	1
33	Tet	1
32	Guímel	1
35	Alef	1
38	Chet	1
39	Quotation	1
34	Abadón	1
37	Pe	1
0	Higaión	1
40	Sámec	1
41	Zeba	1
42	Abiram	1
45	Dálet	1
47	Tsade	1
48	Sirión	1
49	Datán	1
50	Melquisedec	1
51	Cof	1
43	He	1
26	Genesis	1
29	Arca	1
15	Finees	1
2	Horeb	1
4	No	1
5	Ayin	1
6	Yod	1
9	Zain	1
10	Bet	1
11	Vau	1
12	Valera	1
16	Inclina	1
28	Caf	1
17	Zalmuna	1
20	Mem	1
22	Tau	1
23	Temible	1
24	Resh	1
25	Oreb	1
1	References	1
27	Zeeb	1
52	Sísara	1
