;whoid;correspid;whoid_name;correspid_name
0;#org4;#per12;Engel;Josef
1;#org4;#per12;Engel;Josef
2;#org4;#per12;Engel;Josef
3;#org4;#per12;Engel;Josef
4;#org4;#org0;Engel;Leute
5;#org4;#per58;Engel;Maria Magdalena
6;#org4;#per59;Engel;Maria
7;#org4;#per58;Engel;Maria Magdalena
8;#org4;#per59;Engel;Maria
9;#org4;#per58;Engel;Maria Magdalena
10;#org4;#per59;Engel;Maria
11;#org8;#pla1;Propheten;Bethlehem
12;#org10;#per10;Weisen aus dem Morgenland;Herodes
13;#org5;#per10;Schriftgelehrte;Herodes
14;#org5;#per10;Schriftgelehrte;Herodes
15;#org5;#per1;Schriftgelehrte;Jesus
16;#org5;#org5;Schriftgelehrte;Schriftgelehrte
17;#org5;#per1;Schriftgelehrte;Jesus
18;#org5;#per1;Schriftgelehrte;Jesus
19;#org5;#per1;Schriftgelehrte;Jesus
20;#org5;#org0;Schriftgelehrte;Leute
21;#org5;#org0;Schriftgelehrte;Leute
22;#org5;#org0;Schriftgelehrte;Leute
23;#org5;#org0;Schriftgelehrte;Leute
24;#org5;#org0;Schriftgelehrte;Leute
25;#per10;#org10;Herodes;Weisen aus dem Morgenland
26;#per10;#org26;Herodes;Diener des Herodes
27;#per18;#org0;Johannes der Täufer;Leute
28;#per18;#org2;Johannes der Täufer;Pharisäer
29;#per18;#org7;Johannes der Täufer;Saduzäer
30;#per18;#org2;Johannes der Täufer;Pharisäer
31;#per18;#org7;Johannes der Täufer;Saduzäer
32;#per18;#org2;Johannes der Täufer;Pharisäer
33;#per18;#org7;Johannes der Täufer;Saduzäer
34;#per18;#org2;Johannes der Täufer;Pharisäer
35;#per18;#org7;Johannes der Täufer;Saduzäer
36;#per18;#org2;Johannes der Täufer;Pharisäer
37;#per18;#org7;Johannes der Täufer;Saduzäer
38;#per18;#org2;Johannes der Täufer;Pharisäer
39;#per18;#org7;Johannes der Täufer;Saduzäer
40;#per18;#per1;Johannes der Täufer;Jesus
41;#org2;#org3;Pharisäer;Jünger
42;#org2;#org0;Pharisäer;Leute
43;#org2;#per1;Pharisäer;Jesus
44;#org2;#per1;Pharisäer;Jesus
45;#org2;#org0;Pharisäer;Leute
46;#org2;#per1;Pharisäer;Jesus
47;#org2;#per1;Pharisäer;Jesus
48;#org2;#org0;Pharisäer;Leute
49;#org2;#org0;Pharisäer;Leute
50;#org2;#per1;Pharisäer;Jesus
51;#org2;#per1;Pharisäer;Jesus
52;#org2;#per1;Pharisäer;Jesus
53;#org2;#per1;Pharisäer;Jesus
54;#org2;#per1;Pharisäer;Jesus
55;#org2;#per1;Pharisäer;Jesus
56;#org2;#per1;Pharisäer;Jesus
57;#org2;#org0;Pharisäer;Leute
58;#org2;#org0;Pharisäer;Leute
59;#org2;#org0;Pharisäer;Leute
60;#org2;#per50;Pharisäer;Pilatus
61;#org2;#per50;Pharisäer;Pilatus
62;#org7;#org0;Saduzäer;Leute
63;#org7;#org0;Saduzäer;Leute
64;#org7;#per1;Saduzäer;Jesus
65;#org7;#per1;Saduzäer;Jesus
66;#org7;#per1;Saduzäer;Jesus
67;#org7;#per1;Saduzäer;Jesus
68;#org7;#per1;Saduzäer;Jesus
69;#per1;#per18;Jesus;Johannes der Täufer
70;#per1;#per20;Jesus;Teufel
71;#per1;#per20;Jesus;Teufel
72;#per1;#per20;Jesus;Teufel
73;#per1;#org0;Jesus;Leute
74;#per1;#per21;Jesus;Simon Petrus
75;#per1;#per22;Jesus;Andreas
76;#per1;#org3;Jesus;Jünger
77;#per1;#org0;Jesus;Leute
78;#per1;#org3;Jesus;Jünger
79;#per1;#org0;Jesus;Leute
80;#per1;#org3;Jesus;Jünger
81;#per1;#org0;Jesus;Leute
82;#per1;#org3;Jesus;Jünger
83;#per1;#org0;Jesus;Leute
84;#per1;#org3;Jesus;Jünger
85;#per1;#org0;Jesus;Leute
86;#per1;#org3;Jesus;Jünger
87;#per1;#org0;Jesus;Leute
88;#per1;#org3;Jesus;Jünger
89;#per1;#org0;Jesus;Leute
