;id;id_name
0;#per14;Dios
1;#per14;Dios
2;#per14;Dios
3;#per14;Dios
4;#per14;Dios
5;#per14;Dios
6;#per14;Dios
7;#per14;Dios
8;#per14;Dios
9;#per14;Dios
10;#per14;Dios
11;#per14;Dios
12;#per14;Dios
13;#per14;Dios
14;#per14;Dios
15;#per14;Dios
16;#per14;Dios
17;#per14;Dios
18;#per14;Dios
19;#per14;Dios
20;#per14;Dios
21;#per145;Adán
22;#per20;diablo
23;#per14;Dios
24;#per241;Eva
25;#per241;Eva
26;#per14;Dios
27;#per20;diablo
28;#per20;diablo
29;#per14;Dios
30;#per145;Adán
31;#per14;Dios
32;#per145;Adán
33;#per14;Dios
34;#per241;Eva
35;#per14;Dios
36;#per14;Dios
37;#per14;Dios
38;#per14;Dios
39;#per14;Dios
40;#per14;Dios
41;#per14;Dios
42;#per14;Dios
43;#per241;Eva
44;#per14;Dios
45;#per14;Dios
46;#per142;Caín
47;#per14;Dios
48;#per141;Nacor
49;#per14;Dios
50;#per14;Dios
51;#per14;Dios
52;#per142;Caín
53;#per142;Caín
54;#per14;Dios
55;#per154;Lamec
56;#per154;Lamec
57;#per241;Eva
58;#per154;Lamec
59;#per14;Dios
60;#per14;Dios
61;#per14;Dios
62;#per14;Dios
63;#per14;Dios
64;#per14;Dios
65;#per14;Dios
66;#per14;Dios
67;#per14;Dios
68;#per14;Dios
69;#per14;Dios
70;#per14;Dios
71;#per14;Dios
72;#per14;Dios
73;#per14;Dios
74;#per14;Dios
75;#per14;Dios
76;#per14;Dios
77;#per14;Dios
78;#per14;Dios
79;#per14;Dios
80;#per14;Dios
81;#per14;Dios
82;#per14;Dios
83;#per14;Dios
84;#per14;Dios
85;#per14;Dios
86;#per14;Dios
87;#per14;Dios
88;#per14;Dios
89;#per14;Dios
90;#per14;Dios
91;#per14;Dios
92;#per14;Dios
93;#per14;Dios
94;#per47;Noé
95;#per47;Noé
96;#per47;Noé
97;#org0;gente
98;#org0;gente
99;#org0;gente
100;#per14;Dios
101;#per14;Dios
102;#per14;Dios
103;#per14;Dios
104;#per14;Dios
105;#per14;Dios
106;#per2;Abraham
107;#per2;Abraham
108;#org65;egipcios
109;#per2;Abraham
110;#per251;faraón
111;#per251;faraón
112;#per2;Abraham
113;#per2;Abraham
114;#per2;Abraham
115;#per14;Dios
116;#per14;Dios
117;#per14;Dios
118;#per14;Dios
119;#per431;Melquisedec
120;#per431;Melquisedec
121;#per395;Bera
122;#per2;Abraham
123;#per2;Abraham
124;#per395;Bera
125;#per2;Abraham
126;#per14;Dios
127;#per2;Abraham
128;#per2;Abraham
129;#per14;Dios
130;#per14;Dios
131;#per14;Dios
132;#per14;Dios
133;#per2;Abraham
134;#per14;Dios
135;#per14;Dios
136;#per14;Dios
137;#per14;Dios
138;#per14;Dios
139;#per14;Dios
140;#per14;Dios
141;#per14;Dios
142;#per134;Sara
143;#per134;Sara
144;#per2;Abraham
145;#org4;ángel
146;#org4;ángel
147;#org4;ángel
148;#org4;ángel
149;#org4;ángel
150;#org4;ángel
151;#per143;Agar
152;#per14;Dios
153;#per14;Dios
154;#per14;Dios
155;#per14;Dios
156;#per14;Dios
157;#per14;Dios
158;#per14;Dios
159;#per14;Dios
160;#per14;Dios
161;#per14;Dios
162;#per14;Dios
163;#per14;Dios
164;#per14;Dios
165;#per14;Dios
166;#per14;Dios
167;#per2;Abraham
168;#per2;Abraham
169;#per14;Dios
170;#per14;Dios
171;#per14;Dios
172;#per2;Abraham
173;#per2;Abraham
174;#per2;Abraham
