;id;id_name
0;#pla41;tierra
1;#pla41;tierra
2;#pla41;tierra
3;#pla41;tierra
4;#pla41;tierra
5;#pla41;tierra
6;#pla41;tierra
7;#pla41;tierra
8;#pla41;tierra
9;#pla41;tierra
10;#pla41;tierra
11;#pla41;tierra
12;#pla41;tierra
13;#pla41;tierra
14;#per241;Eva
15;#per145;Adán
16;#per14;Dios
17;#per14;Dios
18;#per14;Dios
19;#per14;Dios
20;#pla77;Edén
21;#per241;Eva
22;#per20;diablo
23;#per145;Adán
24;#per241;Eva
25;#pla41;tierra
26;#per145;Adán
27;#per145;Adán
28;#per14;Dios
29;#per142;Caín
30;#per43;Abel
31;#per43;Abel
32;#per43;Abel
33;#per43;Abel
34;#per43;Abel
35;#per142;Caín
36;#per166;Ada
37;#per209;Zila
38;#per166;Ada
39;#per209;Zila
40;#per154;Lamec
41;#per142;Caín
42;#per154;Lamec
43;#per14;Dios
44;#per169;Set
45;#per43;Abel
46;#per142;Caín
47;#pla41;tierra
48;#per14;Dios
49;#pla41;tierra
50;#pla41;tierra
51;#pla41;tierra
52;#pla41;tierra
53;#pla41;tierra
54;#per144;Sem
55;#per158;Cam
56;#per162;Jafet
57;#per207;mujer de Noé
58;#per144;Sem
59;#per158;Cam
60;#per162;Jafet
61;#pla41;tierra
62;#pla41;tierra
63;#pla41;tierra
64;#pla41;tierra
65;#per207;mujer de Noé
66;#per144;Sem
67;#per158;Cam
68;#per162;Jafet
69;#per144;Sem
70;#per158;Cam
71;#per162;Jafet
72;#pla41;tierra
73;#pla41;tierra
74;#pla41;tierra
75;#pla41;tierra
76;#pla41;tierra
77;#per14;Dios
78;#pla41;tierra
79;#pla41;tierra
80;#pla41;tierra
81;#pla41;tierra
82;#per14;Dios
83;#pla41;tierra
84;#pla41;tierra
85;#per158;Cam
86;#per158;Cam
87;#per144;Sem
88;#per162;Jafet
89;#per14;Dios
90;#per14;Dios
91;#per144;Sem
92;#per158;Cam
93;#per158;Cam
94;#per14;Dios
95;#per162;Jafet
96;#per144;Sem
97;#per158;Cam
98;#per158;Cam
99;#per257;Nimrod
100;#per257;Nimrod
101;#per14;Dios
102;#pla79;Babel
103;#pla41;tierra
104;#pla107;Haran
105;#per156;Taré
106;#pla84;Canaán
107;#per2;Abraham
108;#per2;Abraham
109;#pla41;tierra
110;#pla84;Canaán
111;#per134;Sara
112;#org65;egipcios
113;#per134;Sara
114;#per134;Sara
115;#per134;Sara
116;#per134;Sara
117;#per134;Sara
118;#per134;Sara
119;#per2;Abraham
120;#per137;Lot
121;#pla41;tierra
122;#pla116;lugar del altar
123;#pla84;Canaán
124;#pla41;tierra
125;#pla84;Canaán
126;#per2;Abraham
127;#per14;Dios
128;#per14;Dios
129;#pla41;tierra
130;#per14;Dios
131;#per14;Dios
132;#per14;Dios
133;#per14;Dios
134;#pla41;tierra
135;#per2;Abraham
136;#per250;Aner
137;#per263;Escol
138;#per153;Mamre
139;#per2;Abraham
140;#per14;Dios
141;#per14;Dios
142;#per14;Dios
143;#per345;Eliezer
144;#per345;Eliezer
145;#per345;Eliezer
146;#per345;Eliezer
147;#per345;Eliezer
148;#per3;Isaac
149;#per14;Dios
150;#pla78;Ur
151;#org64;caldeos
152;#per420;Canaán
153;#per14;Dios
154;#per14;Dios
155;#pla41;tierra
156;#pla420;
157;#pla131;Nilo
158;#pla5;Egipto
159;#pla64;Éufrates
160;#pla64;Éufrates
161;#pla420;
162;#org72;ceneos
163;#org72;ceneos
164;#org73;cadmoneos
165;#pla420;
166;#org74;heteos
167;#org74;heteos
168;#org67;refaítas
169;#pla420;
170;#org75;amorreos
171;#org63;cananeo
172;#org76;gergeseos
173;#org77;jebuseos
174;#per14;Dios
175;#per143;Agar
176;#org78;descendientes de Abraham
177;#per143;Agar
178;#per143;Agar
179;#per14;Dios
180;#per143;Agar
181;#per143;Agar
182;#per143;Agar
183;#per134;Sara
184;#per134;Sara
185;#per134;Sara
186;#per134;Sara
187;#per140;Ismael
188;#per140;Ismael
189;#per14;Dios
190;#per140;Ismael
191;#org78;descendientes de Abraham
192;#per14;Dios
193;#per14;Dios
194;#per2;Abraham
195;#org78;descendientes de Abraham
196;#per2;Abraham
197;#per2;Abraham
198;#per2;Abraham
199;#org78;descendientes de Abraham
200;#org78;descendientes de Abraham
201;#org78;descendientes de Abraham
202;#org78;descendientes de Abraham
203;#per14;Dios
204;#org78;descendientes de Abraham
205;#org78;descendientes de Abraham
206;#pla84;Canaán
207;#pla84;Canaán
208;#pla84;Canaán
209;#per14;Dios
210;#org78;descendientes de Abraham
211;#org78;descendientes de Abraham
212;#org78;descendientes de Abraham
213;#org78;descendientes de Abraham
214;#org78;descendientes de Abraham
215;#org78;descendientes de Abraham
216;#per134;Sara
217;#per134;Sara
218;#per134;Sara
219;#per134;Sara
220;#per3;Isaac
221;#per134;Sara
222;#org78;descendientes de Abraham
223;#org78;descendientes de Abraham
224;#per2;Abraham
225;#per3;Isaac
226;#per134;Sara
227;#per140;Ismael
228;#per134;Sara
229;#org134;
230;#per3;Isaac
231;#per3;Isaac
232;#org78;descendientes de Abraham
233;#per140;Ismael
234;#per3;Isaac
235;#per134;Sara
236;#per14;Dios
237;#per2;Abraham
238;#per134;Sara
239;#per134;Sara
240;#per134;Sara
241;#per134;Sara
242;#per3;Isaac
243;#per2;Abraham
244;#per134;Sara
245;#per14;Dios
246;#per134;Sara
247;#per3;Isaac
248;#per2;Abraham
249;#per2;Abraham
250;#per2;Abraham
251;#pla41;tierra
252;#org78;descendientes de Abraham
253;#per14;Dios
254;#per14;Dios
255;#per2;Abraham
256;#pla16;Sodoma
257;#pla17;Gomorra
258;#pla16;Sodoma
259;#pre14;
260;#pla41;tierra
261;#pla16;Sodoma
262;#pla16;Sodoma
263;#per14;Dios
264;#per2;Abraham
265;#per2;Abraham
266;#pla16;Sodoma
267;#per14;Dios
268;#per14;Dios
269;#per14;Dios
270;#per14;Dios
271;#org4;ángel
272;#per137;Lot
273;#org4;ángel
274;#org79;personas de Sodoma
275;#org80;familia de Lot
276;#org4;ángel
277;#per137;Lot
278;#per137;Lot
279;#org80;familia de Lot
280;#org80;familia de Lot
281;#org80;familia de Lot
282;#pla16;Sodoma
283;#pla16;Sodoma
284;#org79;personas de Sodoma
285;#pla16;Sodoma
286;#per14;Dios
287;#per14;Dios
288;#per14;Dios
289;#pla16;Sodoma
290;#per170;mujer de Lot
291;#org80;familia de Lot
292;#pla16;Sodoma
293;#org4;ángel
294;#per137;Lot
295;#pla113;Zoar
296;#pla113;Zoar
297;#per137;Lot
298;#pla41;tierra
299;#per137;Lot
300;#per137;Lot
301;#per137;Lot
302;#per137;Lot
303;#per134;Sara
304;#per134;Sara
305;#per2;Abraham
306;#per14;Dios
307;#per134;Sara
308;#per134;Sara
309;#per2;Abraham
310;#per2;Abraham
311;#pla101;Gerar
312;#per14;Dios
313;#pla101;Gerar
314;#per134;Sara
315;#per134;Sara
316;#per134;Sara
317;#per156;Taré
318;#per134;Sara
319;#per134;Sara
320;#per14;Dios
321;#per156;Taré
322;#per2;Abraham
323;#pla41;tierra
324;#per2;Abraham
325;#per14;Dios
326;#per2;Abraham
327;#per134;Sara
328;#per3;Isaac
329;#per3;Isaac
330;#per143;Agar
331;#per140;Ismael
332;#per140;Ismael
333;#per143;Agar
334;#per3;Isaac
335;#per3;Isaac
336;#per140;Ismael
337;#per140;Ismael
338;#per134;Sara
339;#per3;Isaac
340;#org78;descendientes de Abraham
341;#per140;Ismael
342;#per143;Agar
343;#per140;Ismael
344;#per140;Ismael
345;#per143;Agar
346;#per14;Dios
347;#per140;Ismael
348;#per140;Ismael
349;#per14;Dios
350;#per14;Dios
351;#pla101;Gerar
352;#per2;Abraham
353;#per3;Isaac
354;#per3;Isaac
355;#per3;Isaac
356;#pla83;Moriah
357;#pla83;Moriah
358;#per3;Isaac
359;#per2;Abraham
360;#per3;Isaac
361;#per14;Dios
362;#per3;Isaac
363;#per2;Abraham
364;#per2;Abraham
365;#per3;Isaac
366;#per14;Dios
367;#per3;Isaac
368;#per3;Isaac
369;#per14;Dios
370;#per14;Dios
371;#per3;Isaac
372;#per3;Isaac
373;#org78;descendientes de Abraham
374;#pla18;cielo
375;#org78;descendientes de Abraham
376;#org78;descendientes de Abraham
