;id;id_name
0;#per12;José
1;#per12;José
2;#per10;Herodes
3;#per10;Herodes
4;#per10;Herodes
5;#pla1;Belén
6;#org10;reyes magos
7;#per12;José
8;#per12;José
9;#org0;gente
10;#org2;fariseos
11;#org7;saduceos
12;#org2;fariseos
13;#org7;saduceos
14;#org2;fariseos
15;#org7;saduceos
16;#org2;fariseos
17;#org7;saduceos
18;#org2;fariseos
19;#org7;saduceos
20;#org2;fariseos
21;#org7;saduceos
22;#per1;Jesús
23;#per18;Juan el Bautista
24;#org0;gente
25;#per1;Jesús
26;#per20;diablo
27;#per20;diablo
28;#per1;Jesús
29;#per20;diablo
30;#per1;Jesús
31;#per20;diablo
32;#org0;gente
33;#per21;Simón Pedro
34;#per22;Andrés
35;#org3;discípulos
36;#org0;gente
37;#org3;discípulos
38;#org0;gente
39;#org3;discípulos
40;#org0;gente
41;#org3;discípulos
42;#org0;gente
43;#org3;discípulos
44;#org0;gente
45;#org3;discípulos
46;#org0;gente
47;#org3;discípulos
48;#org0;gente
49;#org3;discípulos
50;#org0;gente
51;#org3;discípulos
52;#org0;gente
53;#org3;discípulos
54;#org0;gente
55;#org3;discípulos
56;#org0;gente
57;#org3;discípulos
58;#org0;gente
59;#org3;discípulos
60;#org0;gente
61;#org3;discípulos
62;#org0;gente
63;#org3;discípulos
64;#org0;gente
65;#org3;discípulos
66;#org0;gente
67;#org3;discípulos
68;#org0;gente
69;#org3;discípulos
70;#org0;gente
71;#org3;discípulos
72;#org0;gente
73;#org3;discípulos
74;#org0;gente
75;#org3;discípulos
76;#org0;gente
77;#org3;discípulos
78;#org0;gente
79;#org3;discípulos
80;#org0;gente
81;#org3;discípulos
82;#org0;gente
83;#org3;discípulos
84;#org0;gente
85;#org3;discípulos
86;#org0;gente
87;#org3;discípulos
88;#org0;gente
89;#org3;discípulos
90;#org0;gente
91;#org3;discípulos
92;#org0;gente
93;#org3;discípulos
94;#org0;gente
95;#org3;discípulos
96;#org0;gente
97;#org3;discípulos
98;#org0;gente
99;#org3;discípulos
100;#org0;gente
101;#org3;discípulos
102;#org0;gente
103;#org3;discípulos
104;#org0;gente
105;#org3;discípulos
106;#org0;gente
107;#org3;discípulos
108;#org0;gente
109;#org3;discípulos
110;#org0;gente
111;#org3;discípulos
112;#org0;gente
113;#org3;discípulos
114;#org0;gente
115;#org3;discípulos
116;#org0;gente
117;#org3;discípulos
118;#org0;gente
119;#org3;discípulos
120;#org0;gente
121;#org3;discípulos
122;#org0;gente
123;#org3;discípulos
124;#org0;gente
125;#org3;discípulos
126;#org0;gente
127;#org3;discípulos
128;#org0;gente
129;#org3;discípulos
130;#org0;gente
131;#org3;discípulos
132;#org0;gente
133;#org3;discípulos
134;#org0;gente
135;#org3;discípulos
136;#org0;gente
137;#org3;discípulos
138;#org0;gente
139;#org3;discípulos
140;#org0;gente
141;#org3;discípulos
142;#org0;gente
143;#org3;discípulos
144;#org0;gente
145;#per14;Dios
146;#org3;discípulos
147;#org0;gente
148;#per14;Dios
149;#org3;discípulos
150;#org0;gente
151;#per14;Dios
152;#org3;discípulos
153;#org0;gente
154;#per14;Dios
155;#org3;discípulos
156;#org0;gente
157;#per14;Dios
158;#org3;discípulos
159;#org0;gente
160;#org3;discípulos
161;#org0;gente
162;#org3;discípulos
163;#org0;gente
164;#org3;discípulos
165;#org0;gente
166;#org3;discípulos
167;#org0;gente
168;#org3;discípulos
169;#org0;gente
170;#org3;discípulos
