	0
0	Sene
1	Bezec
2	Sual
3	Naiot
4	Zuf
5	Gabaa
6	Ahinoam
7	Penina
8	Zif
9	Jabes
10	Sela
11	Jerobaal
12	Azeca
13	Adriel
14	Ungido
15	Sísara
16	Barac
17	Tabor
18	Abiatar
19	Keila
20	Tohu
21	Atac
22	Sen
23	Jefté
24	Ahimelec
25	Haret
26	Sarvia
27	Besor
28	Ela
29	Ofra
30	Quiriat
31	Astarot
32	Eliab
33	Salisa
34	Hores
35	Caleb
36	Saalim
37	Cis
38	Amón
39	Maón
40	Nabal
41	Jezreel
42	Elcana
43	Boses
44	Sunem
45	Endor
46	Hazor
47	Sama
48	Soba
49	Lais
50	Merab
51	Ahimaas
52	Jerameel
53	Afía
54	Doeg
55	Sifmot
56	Arca
57	Palti
58	Gilboa
59	Saaraim
60	Selsa
61	Matri
62	Maoc
63	Afec
64	Joab
65	Eliú
66	Icabod
67	Zeror
68	En
69	Galim
70	Eben
71	Eleazar
72	Becorat
73	Efes
74	Arabá
75	Ramataim
76	Telaim
77	Rey
78	Ner
79	Haquila
80	Ezel
81	Migrón
82	Horma
83	Tabernáculo
84	Joel
85	Abiel
86	Soco
87	Malquisúa
88	Jeroham
89	Bet
90	Abías
91	Ajalón
92	Secú
93	Ahitob
94	Abinadab
95	Urim
96	Nahas
97	Ahías
