	entity	frequency	recheck	recheck-in
0	Giezi	12		
13	Amasías	12	#per1498	AMO
6	Joacaz	9		
3	Atalía	7		
62	Joaquín	7	#per1459	JER
58	Necao	4	#per1476	JER
41	Senaquerib	4	#per1600	ISA
16	Elat	4		
25	Tiglat-pileser	3		
20	Manahem	3		
19	Gadi	2		
29	Habor	2		
30	Cuta	2		
59	Hamutal	2	#per1478	JER
24	Peka	2	#per1605	ISA
22	Pekaía	2		
21	Pul	2		
28	Halah	2		
55	Asaías	2		
36	Adramelec	2	#per1606	ISA
47	Esar-hadón	1	#per1362	EZR
48	Baladán	1	#per1611	ISA
46	Sarezer	1	#per1617	ISA
49	Hepsiba	1		
45	Nisroc	1	#per1620	ISA
44	Tirhaca	1	#per1615	ISA
50	Mesulemet	1		
43	Joa	1	#per1621	ISA
60	Zebuda	1		
66	Jaazanías	1	#per870	EZE
51	Haruz	1		
52	Jotba	1		
53	Jedida	1		
65	Tanhumet	1	#per1472	JER
54	Adaía	1		
64	Elnatán	1	#per1336	EZR
56	Hulda	1		
57	Harhas	1		
63	Nehusta	1		
61	Ruma	1		
42	Lavador	1		
34	Nibhaz	1		
40	Salmanasar	1		
39	Nehustán	1		
2	Zair	1		
4	Bidcar	1		
5	Gur	1		
7	Josaba	1		
8	Testimonio	1		
9	Sibia	1		
10	Sila	1		
11	Simeat	1		
12	Somer	1		
14	Joadán	1		
15	Sal	1		
17	Amitai	1	#per470	JON
18	Jecolías	1		
23	Arie	1		
26	Jerusa	1		
27	So	1		
31	Ava	1		
32	Nergal	1		
33	Asima	1		
1	Farfar	1		
35	Tartac	1		
37	Anamelec	1		
38	Abi	1		
67	Evil-merodac	1	#per1480	JER
