;whoid;correspid;Source;Target;Weight;Type
0;#org4;#per12;ángel;José;1;directed
1;#org4;#per12;ángel;José;1;directed
2;#org4;#per12;ángel;José;1;directed
3;#org4;#per12;ángel;José;1;directed
4;#org4;#org0;ángel;gente;1;directed
5;#org4;#per58;ángel;María Magdalena;1;directed
6;#org4;#per59;ángel;María;1;directed
7;#org4;#per58;ángel;María Magdalena;1;directed
8;#org4;#per59;ángel;María;1;directed
9;#org4;#per58;ángel;María Magdalena;1;directed
10;#org4;#per59;ángel;María;1;directed
11;#org8;#pla1;profetas;Belén;1;directed
12;#org10;#per10;reyes magos;Herodes;1;directed
13;#org5;#per10;escribas;Herodes;1;directed
14;#org5;#per10;escribas;Herodes;1;directed
15;#org5;#per1;escribas;Jesús;1;directed
16;#org5;#org5;escribas;escribas;1;directed
17;#org5;#per1;escribas;Jesús;1;directed
18;#org5;#per1;escribas;Jesús;1;directed
19;#org5;#per1;escribas;Jesús;1;directed
20;#org5;#org0;escribas;gente;1;directed
21;#org5;#org0;escribas;gente;1;directed
22;#org5;#org0;escribas;gente;1;directed
23;#org5;#org0;escribas;gente;1;directed
24;#org5;#org0;escribas;gente;1;directed
25;#per10;#org10;Herodes;reyes magos;1;directed
26;#per10;#org26;Herodes;criados de Herodes;1;directed
27;#per18;#org0;Juan el Bautista;gente;1;directed
28;#per18;#org2;Juan el Bautista;fariseos;1;directed
29;#per18;#org7;Juan el Bautista;saduceos;1;directed
30;#per18;#org2;Juan el Bautista;fariseos;1;directed
31;#per18;#org7;Juan el Bautista;saduceos;1;directed
32;#per18;#org2;Juan el Bautista;fariseos;1;directed
33;#per18;#org7;Juan el Bautista;saduceos;1;directed
34;#per18;#org2;Juan el Bautista;fariseos;1;directed
35;#per18;#org7;Juan el Bautista;saduceos;1;directed
36;#per18;#org2;Juan el Bautista;fariseos;1;directed
37;#per18;#org7;Juan el Bautista;saduceos;1;directed
38;#per18;#org2;Juan el Bautista;fariseos;1;directed
39;#per18;#org7;Juan el Bautista;saduceos;1;directed
40;#per18;#per1;Juan el Bautista;Jesús;1;directed
41;#org2;#org3;fariseos;discípulos;1;directed
42;#org2;#org0;fariseos;gente;1;directed
43;#org2;#per1;fariseos;Jesús;1;directed
44;#org2;#per1;fariseos;Jesús;1;directed
45;#org2;#org0;fariseos;gente;1;directed
46;#org2;#per1;fariseos;Jesús;1;directed
47;#org2;#per1;fariseos;Jesús;1;directed
48;#org2;#org0;fariseos;gente;1;directed
49;#org2;#org0;fariseos;gente;1;directed
50;#org2;#per1;fariseos;Jesús;1;directed
51;#org2;#per1;fariseos;Jesús;1;directed
52;#org2;#per1;fariseos;Jesús;1;directed
53;#org2;#per1;fariseos;Jesús;1;directed
54;#org2;#per1;fariseos;Jesús;1;directed
55;#org2;#per1;fariseos;Jesús;1;directed
56;#org2;#per1;fariseos;Jesús;1;directed
57;#org2;#org0;fariseos;gente;1;directed
58;#org2;#org0;fariseos;gente;1;directed
59;#org2;#org0;fariseos;gente;1;directed
60;#org2;#per50;fariseos;Pilato;1;directed
61;#org2;#per50;fariseos;Pilato;1;directed
62;#org7;#org0;saduceos;gente;1;directed
63;#org7;#org0;saduceos;gente;1;directed
64;#org7;#per1;saduceos;Jesús;1;directed
65;#org7;#per1;saduceos;Jesús;1;directed
66;#org7;#per1;saduceos;Jesús;1;directed
67;#org7;#per1;saduceos;Jesús;1;directed
68;#org7;#per1;saduceos;Jesús;1;directed
69;#per1;#per18;Jesús;Juan el Bautista;1;directed
70;#per1;#per20;Jesús;diablo;1;directed
71;#per1;#per20;Jesús;diablo;1;directed
72;#per1;#per20;Jesús;diablo;1;directed
73;#per1;#org0;Jesús;gente;1;directed
74;#per1;#per21;Jesús;Simón Pedro;1;directed
75;#per1;#per22;Jesús;Andrés;1;directed
76;#per1;#org3;Jesús;discípulos;1;directed
77;#per1;#org0;Jesús;gente;1;directed
78;#per1;#org3;Jesús;discípulos;1;directed
79;#per1;#org0;Jesús;gente;1;directed
80;#per1;#org3;Jesús;discípulos;1;directed
81;#per1;#org0;Jesús;gente;1;directed
82;#per1;#org3;Jesús;discípulos;1;directed
83;#per1;#org0;Jesús;gente;1;directed
84;#per1;#org3;Jesús;discípulos;1;directed
85;#per1;#org0;Jesús;gente;1;directed
86;#per1;#org3;Jesús;discípulos;1;directed
87;#per1;#org0;Jesús;gente;1;directed
