	weight	source	target
1458	67	#org13	#per504
1332	64	#per14	#per21
1264	61	#per1	#per504
983	58	#org29	#per112
720	57	#per14	#per504
606	54	#org29	#per489
2127	54	#per112	#per489
532	47	#org22	#per21
503	42	#per1	#per14
762	39	#per504	#per564
615	37	#org37	#per504
152	37	#org70	#per504
1071	35	#org22	#per14
2183	35	#org24	#per504
1560	33	#org110	#per504
161	32	#org12	#per504
812	32	#per1	#per21
1256	31	#org0	#per14
231	31	#org29	#per14
519	31	#org18	#per504
1095	29	#per504	#pla3
133	27	#per483	#per504
74	27	#org12	#org18
1970	26	#org12	#org70
1831	26	#org18	#org70
2110	25	#org0	#per504
75	25	#per21	#per512
631	25	#per112	#per14
1470	24	#per14	#per489
1200	24	#org37	#per14
706	23	#org37	#per21
941	22	#org3	#per1
2153	22	#per563	#per564
335	22	#per504	#per563
574	22	#per504	#per558
1334	21	#per17	#per21
524	21	#org70	#per14
129	21	#org22	#per1
802	20	#org29	#org70
1101	20	#org70	#per489
2179	20	#org3	#per14
355	20	#org0	#per21
1251	19	#org110	#org37
1870	19	#org13	#per1
1241	19	#org70	#per112
1055	17	#org29	#per26
1555	17	#org18	#per14
1111	17	#per504	#per526
1239	17	#org118	#per504
1985	16	#per112	#per26
658	16	#per26	#per489
1651	16	#per504	#per566
233	15	#org37	#per1
102	15	#org16	#per14
753	14	#org4	#per14
577	14	#org16	#per504
1674	14	#org3	#per21
833	14	#org12	#per14
1027	13	#org29	#per48
1702	13	#org0	#org22
1998	13	#org25	#per504
1923	13	#per21	#per48
1158	13	#per14	#per17
883	12	#org18	#per21
202	12	#org13	#per14
489	12	#org8	#per14
1230	12	#per17	#per504
691	12	#per112	#pla5
1808	12	#per14	#per512
81	12	#per14	#per35
1297	12	#per504	#wor1
2190	12	#per21	#per25
2079	12	#per14	#per26
1404	12	#org12	#per112
1124	12	#per489	#pla5
246	12	#org13	#pla3
724	12	#org29	#pla5
470	12	#org18	#per1
804	12	#org24	#per566
699	12	#per1	#per17
1151	11	#org12	#per48
185	11	#org16	#org37
555	11	#org37	#per17
683	11	#org13	#org16
1172	11	#org4	#per21
296	11	#per504	#pla80
1663	11	#per112	#per48
481	11	#org70	#per26
333	11	#org4	#per512
1411	11	#org110	#per14
2041	10	#org0	#per35
968	10	#org100	#per504
1628	10	#per14	#pla3
217	10	#org8	#per504
986	10	#per14	#pla18
791	10	#org13	#per564
1823	10	#per1	#pla3
1731	10	#org37	#per23
1814	10	#per21	#per35
824	10	#org0	#per1
1563	10	#org0	#org13
2019	9	#org14	#per504
1437	9	#org13	#per563
1026	9	#per1	#per564
1863	9	#org22	#org3
1062	9	#org12	#per21
1798	9	#per1	#pla4
502	9	#org0	#org118
2117	9	#org70	#per1
2085	9	#org24	#per21
274	9	#org13	#org37
1988	9	#per14	#pla4
242	9	#per504	#pla30
484	9	#per112	#per21
218	9	#org13	#wor1
1597	9	#per1	#per507
2126	8	#org29	#org88
915	8	#per558	#per561
1583	8	#org88	#per489
1779	8	#org118	#per1
792	8	#org29	#org3
1099	8	#org3	#pla3
153	8	#org37	#pla171
1856	8	#org88	#per112
90	8	#org37	#per483
964	8	#org29	#per504
1739	8	#org3	#per17
428	8	#org16	#per1
1195	8	#per21	#pla18
1709	8	#per42	#per504
684	8	#org0	#org123
1130	8	#per42	#per563
1477	8	#org3	#per48
73	8	#org22	#per35
1891	8	#per14	#per2
465	7	#org70	#pla4
900	7	#per2	#per489
789	7	#org18	#per35
1637	7	#per14	#per483
378	7	#org12	#pla3
84	7	#org37	#pla3
1001	7	#org119	#per28
978	7	#org110	#per483
935	7	#per558	#per559
985	7	#per21	#pla152
1501	7	#org110	#per1
2048	7	#org22	#per48
394	7	#org24	#org4
1285	7	#per14	#pla41
998	7	#per1	#per489
943	7	#org29	#pla30
200	7	#org29	#per2
669	7	#per112	#per2
767	7	#per504	#pla41
1839	7	#org29	#per1
1849	7	#org0	#org37
582	7	#org29	#org4
332	7	#per14	#per48
642	7	#per14	#wor1
1854	7	#org118	#org13
1085	7	#org12	#per1
1153	7	#org0	#org70
1110	7	#org22	#per504
1972	7	#per14	#pla19
1088	7	#org0	#org8
1086	7	#org0	#org29
895	6	#per504	#per507
317	6	#org29	#per486
1109	6	#per504	#pla62
389	6	#per112	#per4
1339	6	#org37	#per526
154	6	#org13	#per558
1847	6	#per1	#per483
2032	6	#org22	#per17
1288	6	#per4	#per489
1840	6	#org0	#org18
1043	6	#per564	#pla3
766	6	#org0	#wor1
2177	6	#org24	#per556
605	6	#org2	#org37
1536	6	#org22	#per480
1000	6	#per21	#per505
158	6	#org29	#per4
796	6	#per1	#per35
7	6	#per14	#per564
1395	6	#org24	#per512
1143	6	#org3	#org37
1489	6	#org110	#org13
1875	6	#org120	#per504
1067	6	#per14	#per23
2002	6	#per1	#pla8
1883	6	#per21	#per480
1434	6	#per1	#per26
273	6	#org12	#per25
1950	6	#per21	#pla3
990	6	#per1	#per112
1327	6	#org22	#org29
988	6	#org70	#org8
1612	6	#org0	#pla18
1916	6	#org70	#per35
1180	6	#org13	#pla30
1092	6	#org100	#org13
2171	5	#org22	#org25
53	5	#per112	#per25
2076	5	#per48	#per486
1008	5	#per1	#per48
1657	5	#org70	#pla5
1973	5	#org0	#per17
779	5	#org22	#org8
508	5	#per504	#pla171
2176	5	#per483	#pla171
76	5	#org13	#pla80
120	5	#org8	#per21
430	5	#org25	#org70
1542	5	#pla18	#pla41
426	5	#org100	#per526
680	5	#org22	#per112
116	5	#org0	#per112
49	5	#org2	#per21
338	5	#per104	#per112
1091	5	#org0	#pla41
1635	5	#org12	#org22
264	5	#org22	#pla4
520	5	#org29	#per104
1703	5	#per104	#per489
103	5	#org22	#pla30
776	5	#org18	#pla3
2059	5	#org12	#org25
2106	5	#pla190	#pla191
1024	5	#per504	#pla4
1440	5	#per25	#per48
353	5	#org70	#per17
723	5	#org118	#per14
1491	5	#org13	#org25
54	5	#org0	#per543
123	5	#org120	#per483
191	5	#org29	#wor1
1209	5	#per14	#per505
2140	5	#org12	#pla4
46	5	#org110	#per17
369	5	#per1	#wor1
1287	5	#org0	#per480
1315	5	#org0	#org12
965	5	#per25	#per483
2120	5	#org37	#pla2
856	5	#org8	#per1
1791	5	#per1	#pla41
1723	5	#per112	#pla4
1270	5	#org110	#pla3
486	5	#per504	#per559
889	5	#per1	#per18
1145	5	#org4	#per112
714	5	#org29	#org5
578	5	#org88	#per4
1623	5	#org18	#org3
1500	5	#per563	#pla3
1725	5	#org4	#per489
1714	5	#per14	#pla5
205	5	#org24	#per526
2160	5	#per1	#pla80
565	5	#per21	#pla4
1842	5	#per14	#per480
381	5	#org29	#per21
2167	5	#org37	#org8
1775	5	#org3	#per504
1750	5	#org12	#per35
212	5	#org110	#org16
2163	5	#org18	#org22
1525	5	#org0	#per544
2131	5	#per504	#pla178
837	5	#per35	#per504
39	5	#org0	#org100
696	4	#org70	#pla176
1134	4	#org12	#org13
527	4	#per17	#pla3
770	4	#org123	#per544
1402	4	#per112	#pla18
456	4	#org0	#pla3
966	4	#org29	#pla4
1279	4	#per504	#pla24
702	4	#org12	#org29
534	4	#org13	#pla190
1384	4	#pla30	#wor1
725	4	#org3	#pla18
1967	4	#per112	#pla176
244	4	#org78	#per489
974	4	#org15	#per21
722	4	#per489	#pla18
1263	4	#per1	#per512
1116	4	#org29	#org8
1707	4	#org8	#per112
137	4	#org3	#per483
1273	4	#org2	#per14
2062	4	#per1	#per28
452	4	#per489	#pla176
1902	4	#per25	#pla3
1609	4	#org0	#per482
448	4	#org3	#pla41
1894	4	#org0	#per19
1735	4	#per504	#pla199
2129	4	#org8	#per489
36	4	#org25	#per17
1789	4	#org13	#per21
1820	4	#org78	#per112
2036	4	#org13	#per483
879	4	#org5	#per14
787	4	#org13	#per42
1342	4	#org12	#org8
2014	4	#per504	#pla214
579	4	#org8	#wor1
645	4	#org88	#pla5
2147	4	#org29	#org78
666	4	#per1	#pla18
2081	4	#org18	#per17
1755	4	#per112	#pla30
1673	4	#per483	#pla3
71	4	#per14	#per28
1072	4	#org29	#pla176
999	4	#org16	#org70
438	4	#per504	#per560
232	4	#org0	#per489
1258	4	#per18	#per504
847	4	#org0	#pla200
2026	4	#per504	#per556
1054	4	#org70	#per21
1225	4	#org25	#pla3
72	4	#org100	#per1
1851	4	#pla191	#pla192
23	4	#per504	#pla63
2072	4	#org13	#pla200
785	4	#per26	#per504
433	4	#org37	#pla24
1223	4	#org24	#per14
1533	4	#org0	#org3
1678	4	#org15	#org6
1677	4	#org13	#org24
1246	4	#per42	#per564
77	4	#pla2	#pla3
2178	3	#org4	#pla152
2054	3	#org24	#org29
83	3	#per1	#pla2
862	3	#org3	#per486
2191	3	#org37	#pla152
5	3	#per2	#per4
855	3	#pla2	#pla51
2144	3	#per512	#pla152
894	3	#org2	#per504
2168	3	#per112	#pla159
2158	3	#per504	#pla2
914	3	#per48	#pla3
916	3	#per525	#per526
2146	3	#org0	#org16
2139	3	#per511	#per512
1014	3	#org6	#per1
1009	3	#org13	#pla191
1922	3	#pla3	#pla80
168	3	#per17	#per19
703	3	#per21	#pla30
1282	3	#org22	#pla18
734	3	#org13	#per537
2134	3	#per18	#per21
1982	3	#org24	#pla
134	3	#per504	#per527
1977	3	#org4	#pla18
136	3	#pla3	#pla51
1971	3	#org14	#per1
1093	3	#pla3	#pla30
1100	3	#org16	#per483
145	3	#org29	#org65
1960	3	#per563	#pla24
1102	3	#org8	#per564
1938	3	#per21	#pla41
1932	3	#org22	#org24
813	3	#org37	#per525
413	3	#org65	#per112
952	3	#org13	#per529
962	3	#per104	#pla5
193	3	#org16	#per21
628	3	#org18	#org8
187	3	#org29	#pla84
1253	3	#org5	#per489
221	3	#per17	#per489
1268	3	#org29	#per495
659	3	#org37	#org4
198	3	#per1	#per20
1859	3	#org8	#per483
1281	3	#per21	#per484
207	3	#org25	#per19
611	3	#org6	#per504
1222	3	#org3	#pla51
1226	3	#org29	#pla159
1159	3	#org22	#pla3
229	3	#org4	#per504
1184	3	#per14	#per25
1254	3	#org29	#per3
992	3	#org13	#org70
44	3	#per489	#pla84
971	3	#per3	#per4
56	3	#org37	#pla191
2095	3	#per17	#per28
2090	3	#per543	#per544
2089	3	#per1	#per526
783	3	#org37	#per18
1908	3	#org13	#pla63
2075	3	#per112	#pla84
2070	3	#org8	#per23
781	3	#per504	#pla215
1142	3	#org37	#per512
1047	3	#per2	#per3
1861	3	#org0	#org5
1061	3	#org18	#per18
2063	3	#org22	#per564
2016	3	#org24	#pla24
427	3	#org16	#per23
1359	3	#org2	#org29
324	3	#per489	#per495
1507	3	#per558	#pla30
1416	3	#per112	#per495
1376	3	#per504	#pla212
372	3	#org37	#pla51
1617	3	#per504	#pla210
1380	3	#org70	#wor1
321	3	#org110	#org14
1671	3	#org88	#per104
1382	3	#per563	#per565
462	3	#per482	#per544
1620	3	#org100	#org14
1386	3	#per564	#per565
1719	3	#org16	#pla3
1413	3	#org25	#pla4
454	3	#per14	#per558
318	3	#per14	#per566
1549	3	#per1	#pla19
1039	3	#per17	#per505
415	3	#per1	#pla51
1544	3	#per25	#per504
346	3	#per504	#pla19
1649	3	#per532	#per533
1307	3	#per26	#wor1
499	3	#org37	#per26
1647	3	#org16	#per564
1646	3	#per21	#per23
408	3	#org0	#org25
416	3	#org25	#per112
1783	3	#org65	#per489
1301	3	#per489	#pla30
1553	3	#per25	#pla30
590	3	#org118	#pla41
1715	3	#per14	#per4
1641	3	#org29	#pla18
1708	3	#org78	#per14
1430	3	#per19	#per504
1352	3	#org0	#per48
287	3	#org115	#org13
1655	3	#org37	#pla18
1097	3	#per489	#pla159
2000	3	#org110	#pla171
1076	3	#per21	#per511
2046	3	#org4	#org70
1016	3	#per526	#per527
1019	3	#org3	#pla4
760	3	#org25	#per48
758	3	#org18	#wor1
2025	3	#org24	#org70
1038	3	#org12	#per564
294	3	#org3	#pla2
105	3	#per489	#wor1
1692	3	#org123	#per482
2024	3	#per3	#per489
