	weight	source	target	Type
127	778	#per14	#per26	Undirected
616	405	#org70	#per26	Undirected
628	376	#org70	#per14	Undirected
553	142	#per26	#per500	Undirected
299	122	#per14	#per500	Undirected
586	116	#per14	#per585	Undirected
605	114	#per26	#per585	Undirected
590	86	#per14	#pla5	Undirected
84	84	#per26	#pla5	Undirected
835	68	#org70	#per500	Undirected
632	67	#org70	#per585	Undirected
370	64	#org70	#pla5	Undirected
552	59	#per26	#pla263	Undirected
382	58	#per14	#pla263	Undirected
828	58	#org65	#per14	Undirected
817	57	#org65	#per26	Undirected
737	53	#org65	#per585	Undirected
148	50	#org65	#org70	Undirected
103	36	#per585	#pla5	Undirected
464	36	#per500	#per585	Undirected
133	31	#org0	#per14	Undirected
32	30	#per26	#pla159	Undirected
592	30	#org132	#per26	Undirected
423	29	#org132	#per14	Undirected
344	28	#org0	#per26	Undirected
42	28	#org132	#per500	Undirected
279	27	#per14	#pla159	Undirected
354	25	#per26	#per583	Undirected
588	23	#org65	#pla5	Undirected
413	22	#per26	#pla84	Undirected
451	22	#per14	#pla84	Undirected
115	22	#per500	#pla5	Undirected
218	20	#org14	#per26	Undirected
715	20	#org0	#org70	Undirected
276	19	#per14	#per4	Undirected
368	19	#org14	#org70	Undirected
92	18	#per26	#per4	Undirected
4	17	#org70	#pla159	Undirected
85	17	#org88	#per26	Undirected
34	17	#org103	#per26	Undirected
188	17	#org88	#per4	Undirected
327	17	#org88	#per14	Undirected
329	16	#per26	#pla176	Undirected
447	16	#org70	#pla84	Undirected
80	16	#org25	#per26	Undirected
644	15	#org103	#per14	Undirected
392	15	#per26	#tim9	Undirected
306	15	#org70	#pla176	Undirected
316	14	#org122	#org70	Undirected
394	14	#per14	#tim9	Undirected
635	14	#org25	#org70	Undirected
304	13	#org131	#per26	Undirected
403	13	#org131	#per14	Undirected
139	13	#org131	#org70	Undirected
506	13	#per14	#pla176	Undirected
797	12	#org70	#pla175	Undirected
151	12	#org103	#org70	Undirected
655	12	#org63	#per26	Undirected
267	12	#org122	#per26	Undirected
357	12	#org70	#tim9	Undirected
619	12	#per26	#pla41	Undirected
419	12	#per14	#per583	Undirected
650	12	#org70	#per583	Undirected
427	12	#per14	#pla41	Undirected
838	11	#org0	#per585	Undirected
521	11	#org70	#pla263	Undirected
233	11	#org14	#per14	Undirected
174	11	#org122	#per14	Undirected
259	11	#org25	#per14	Undirected
407	11	#org63	#per14	Undirected
526	10	#per26	#tim5	Undirected
