	weight	source	target
1474	146	#org88	#per4
2714	131	#org88	#per104
1216	129	#per14	#per2
2703	112	#per104	#per4
1376	75	#per14	#per4
980	72	#per104	#per133
2530	69	#per132	#per4
2229	64	#per2	#per3
1851	59	#per134	#per2
1295	57	#per3	#per4
895	57	#per14	#pla41
2155	54	#per131	#per4
2589	54	#per14	#per3
834	53	#per104	#pla5
298	51	#per16	#per4
2497	45	#per135	#per4
523	43	#per14	#per47
1424	38	#per104	#per14
2416	38	#org83	#per2
2663	38	#per104	#per128
2647	37	#per135	#per16
1768	36	#per136	#per3
914	33	#per144	#per162
1276	33	#per144	#per47
2134	33	#per158	#per47
1408	32	#per144	#per158
1688	32	#per162	#per47
1832	32	#per4	#per5
1461	31	#per158	#per162
375	31	#org88	#per5
151	31	#per4	#pla5
2223	31	#per132	#per16
2290	31	#org88	#per128
1600	31	#org88	#pla5
859	30	#per104	#per5
701	30	#org88	#per14
951	30	#org0	#per14
647	30	#org83	#per136
140	30	#per4	#pla84
1880	29	#per131	#per3
2318	29	#org83	#per132
1693	29	#per133	#pla5
1237	29	#per14	#per145
1412	28	#per132	#per159
2180	28	#per128	#per4
2036	27	#org83	#per159
963	26	#per136	#per4
1650	24	#per134	#per14
1994	24	#per132	#per136
2255	23	#org78	#per2
282	23	#org4	#per14
532	23	#per2	#pla84
1538	23	#per138	#per2
2222	22	#per132	#per14
2696	22	#per47	#pla41
2410	21	#per136	#per159
1106	21	#org88	#per133
2122	21	#per132	#per135
454	21	#org83	#per14
1189	20	#org78	#per14
1590	20	#per133	#per4
405	20	#per14	#per158
1772	20	#per14	#per144
2454	19	#per145	#per241
609	19	#per128	#per5
621	19	#per159	#per2
100	19	#per14	#per162
1352	18	#org88	#pla84
2053	18	#per132	#per3
494	18	#per139	#per150
2133	18	#org65	#per104
226	18	#per2	#per4
110	17	#per14	#per241
1979	17	#org83	#per3
575	17	#per14	#per16
1085	17	#per132	#per2
496	16	#per104	#pla84
1645	16	#per14	#pla84
2713	15	#per109	#per4
1591	15	#per135	#per14
1410	15	#per134	#per3
2574	15	#org88	#per16
225	14	#per140	#per2
1647	14	#per133	#per195
1530	14	#org88	#per189
1632	14	#per104	#per72
2237	14	#per152	#per72
2485	14	#org4	#per137
1077	14	#org88	#per135
2135	14	#per3	#pla84
2201	14	#per136	#per2
1531	13	#org65	#per133
1234	13	#per104	#per16
991	13	#org4	#per2
759	13	#per14	#per142
2372	13	#per14	#pla16
903	13	#org84	#per2
450	13	#per137	#per2
2010	13	#per138	#per14
1082	13	#per140	#per143
729	13	#per124	#per4
232	13	#per104	#per152
1340	13	#per4	#per72
424	12	#pla16	#pla17
2115	12	#per136	#per14
1185	12	#per131	#per136
2351	12	#per161	#per4
2441	12	#per143	#per2
142	12	#per135	#per173
2268	12	#per5	#per6
2527	12	#org4	#per4
2377	11	#per104	#per195
1127	11	#per134	#per138
648	11	#org0	#per4
711	11	#org80	#per137
715	11	#per2	#pla16
1470	11	#per152	#per4
2008	11	#org88	#per139
2340	11	#per2	#pla41
659	11	#per134	#per143
