	Source	Target	Via	Weight	Type
10	#per35	#org70	song	29	Directed
19	#per35	#per14	prayer	24	Directed
3	#per14	#per35	oral	23	Directed
34	#per35	#per39	oral	12	Directed
24	#per35	#org25	oral	12	Directed
16	#per725	#per35	oral	12	Directed
17	#per14	#per725	oral	11	Directed
6	#per35	#org0	oral	9	Directed
5	#per35	#org70	oral	8	Directed
7	#per39	#org0	oral	5	Directed
31	#per35	#per1878	oral	3	Directed
2	#org70	#per35	oral	3	Directed
23	#per714	#per664	oral	2	Directed
9	#per35	#per1893	oral	2	Directed
28	#per842	#per35	oral	2	Directed
33	#per39	#per39	thought	1	Directed
32	#per1878	#per35	oral	1	Directed
30	#per14	#org4	oral	1	Directed
29	#per35	#per842	oral	1	Directed
27	#per842	#per35	idea	1	Directed
26	#per14	#per842	oral	1	Directed
25	#per714	#per35	oral	1	Directed
21	#org409	#per776	oral	1	Directed
22	#org0	#org147	oral	1	Directed
8	#per35	#per14	oral	1	Directed
20	#org0	#org0	soCalled	1	Directed
4	#org77	#per35	oral	1	Directed
18	#per14	#org95	soCalled	1	Directed
1	#per522	#org24	oral	1	Directed
15	#per35	#per725	oral	1	Directed
14	#org70	#per14	prayer	1	Directed
13	#org0	#org70	oral	1	Directed
12	#per14	#org100	oral	1	Directed
11	#per14	#per4	oral	1	Directed
0	#per1717	#per14	prayer	1	Directed
