	id
0	#pla476
1	#org22
2	#pla472
3	#per527
4	#org3
5	#org8
6	#per539
7	#org187
8	#per504
9	#org4
10	#org186
11	#tim17
12	#per1
13	#pla212
14	#org21
15	#tim5
16	#per903
17	#pla41
18	#org6
19	#org13
20	#pla30
21	#org14
22	#per538
23	#per905
24	#per902
25	#org110
26	#per14
27	#org19
28	#pla176
29	#per536
30	#tim2
31	#org101
32	#per26
33	#per17
34	#per904
35	#wor1
36	#org37
37	#per20
38	#org100
39	#per145
40	#org103
41	#per532
42	#pla19
43	#per545
44	#org122
45	#per483
46	#org15
47	#org185
48	#tim1
49	#per533
50	#org118
51	#org183
52	#pla18
53	#pla175
54	#pla4
55	#pla198
56	#pla3
57	#org131
58	#org18
59	#pla62
60	#per23
61	#org16
62	#org102
63	#org0
64	#org70
65	#pla199
66	#org184
67	#pla63
