	Source	Target	Weight	Type
0	#per14	#per4	1	Undirected
1	#org18	#per14	2	Undirected
2	#org18	#per20	1	Undirected
3	#per1	#per20	3	Undirected
4	#per142	#per20	1	Undirected
5	#per1	#per14	22	Undirected
6	#per17	#pla18	1	Undirected
7	#org18	#per17	1	Undirected
8	#org0	#org18	1	Undirected
9	#org18	#org19	1	Undirected
10	#per17	#pla41	1	Undirected
11	#per4	#tim3	1	Undirected
12	#org19	#per14	7	Undirected
13	#org19	#per20	3	Undirected
14	#org164	#tim2	1	Undirected
15	#org0	#org164	4	Undirected
16	#org164	#per1	1	Undirected
17	#per14	#wor1	2	Undirected
18	#org14	#per20	1	Undirected
19	#org0	#org19	6	Undirected
20	#org164	#per14	9	Undirected
21	#org14	#per14	1	Undirected
22	#org164	#per20	2	Undirected
23	#per20	#tim2	1	Undirected
24	#per20	#tim3	2	Undirected
25	#org0	#per14	18	Undirected
26	#org14	#org164	2	Undirected
27	#per1	#pla18	1	Undirected
28	#org0	#per20	3	Undirected
29	#org0	#per1	7	Undirected
30	#org164	#wor1	2	Undirected
31	#org164	#org19	2	Undirected
32	#org103	#org164	1	Undirected
33	#per14	#pla18	1	Undirected
34	#org0	#tim2	1	Undirected
35	#per1	#tim3	3	Undirected
36	#org18	#per1	1	Undirected
37	#org14	#tim2	1	Undirected
38	#per14	#per17	3	Undirected
39	#org0	#org14	1	Undirected
40	#per20	#wor1	1	Undirected
41	#per20	#per43	1	Undirected
42	#org164	#per4	1	Undirected
43	#per14	#tim3	4	Undirected
44	#per14	#per20	7	Undirected
45	#org19	#per1	2	Undirected
46	#per1	#per17	3	Undirected
47	#org164	#tim3	3	Undirected
48	#per142	#per43	1	Undirected
49	#tim3	#wor1	2	Undirected
