	id	type
0	b.1JO.1.1	verse
1	b.1JO.1.2	verse
2	b.1JO.1.3	verse
3	b.1JO.1.4	verse
4	b.1JO.1.5	verse
5	b.1JO.1.6	verse
6	b.1JO.1.7	verse
7	b.1JO.1.8	verse
8	b.1JO.1.9	verse
9	b.1JO.1.10	verse
10	b.1JO.2.1	verse
11	b.1JO.2.2	verse
12	b.1JO.2.3	verse
13	b.1JO.2.4	verse
14	b.1JO.2.5	verse
15	b.1JO.2.6	verse
16	b.1JO.2.7	verse
17	b.1JO.2.8	verse
18	b.1JO.2.9	verse
19	b.1JO.2.10	verse
20	b.1JO.2.11	verse
21	b.1JO.2.12	verse
22	b.1JO.2.13	verse
23	b.1JO.2.14	verse
24	b.1JO.2.15	verse
25	b.1JO.2.16	verse
26	b.1JO.2.17	verse
27	b.1JO.2.18	verse
28	b.1JO.2.19	verse
29	b.1JO.2.20	verse
30	b.1JO.2.21	verse
31	b.1JO.2.22	verse
32	b.1JO.2.23	verse
33	b.1JO.2.24	verse
34	b.1JO.2.25	verse
35	b.1JO.2.26	verse
36	b.1JO.2.27	verse
37	b.1JO.2.28	verse
38	b.1JO.2.29	verse
39	b.1JO.3.1	verse
40	b.1JO.3.2	verse
41	b.1JO.3.3	verse
42	b.1JO.3.4	verse
43	b.1JO.3.5	verse
44	b.1JO.3.6	verse
45	b.1JO.3.7	verse
46	b.1JO.3.8	verse
47	b.1JO.3.9	verse
48	b.1JO.3.10	verse
49	b.1JO.3.11	verse
50	b.1JO.3.12	verse
51	b.1JO.3.13	verse
52	b.1JO.3.14	verse
53	b.1JO.3.15	verse
54	b.1JO.3.16	verse
55	b.1JO.3.17	verse
56	b.1JO.3.18	verse
57	b.1JO.3.19	verse
58	b.1JO.3.20	verse
59	b.1JO.3.21	verse
60	b.1JO.3.22	verse
61	b.1JO.3.23	verse
62	b.1JO.3.24	verse
63	b.1JO.4.1	verse
64	b.1JO.4.2	verse
65	b.1JO.4.3	verse
66	b.1JO.4.4	verse
67	b.1JO.4.5	verse
68	b.1JO.4.6	verse
69	b.1JO.4.7	verse
70	b.1JO.4.8	verse
71	b.1JO.4.9	verse
72	b.1JO.4.10	verse
73	b.1JO.4.11	verse
74	b.1JO.4.12	verse
75	b.1JO.4.13	verse
76	b.1JO.4.14	verse
77	b.1JO.4.15	verse
78	b.1JO.4.16	verse
79	b.1JO.4.17	verse
80	b.1JO.4.18	verse
81	b.1JO.4.19	verse
82	b.1JO.4.20	verse
83	b.1JO.4.21	verse
84	b.1JO.5.1	verse
85	b.1JO.5.2	verse
86	b.1JO.5.3	verse
87	b.1JO.5.4	verse
88	b.1JO.5.5	verse
89	b.1JO.5.6	verse
90	b.1JO.5.7	verse
91	b.1JO.5.8	verse
92	b.1JO.5.9	verse
93	b.1JO.5.10	verse
94	b.1JO.5.11	verse
95	b.1JO.5.12	verse
96	b.1JO.5.13	verse
97	b.1JO.5.14	verse
98	b.1JO.5.15	verse
99	b.1JO.5.16	verse
100	b.1JO.5.17	verse
101	b.1JO.5.18	verse
102	b.1JO.5.19	verse
103	b.1JO.5.20	verse
104	b.1JO.5.21	verse
