	Source	Target	Weight	Type
0	#per1545	#per501	1	Undirected
1	#pla159	#pla4	1	Undirected
2	#per1562	#pla3	2	Undirected
3	#org0	#org100	1	Undirected
4	#org0	#org25	1	Undirected
5	#per1511	#per1573	2	Undirected
6	#org70	#org75	2	Undirected
7	#org12	#org25	1	Undirected
8	#per1578	#pla138	1	Undirected
9	#per699	#pla2	1	Undirected
10	#per1545	#per1557	2	Undirected
11	#org16	#org70	5	Undirected
12	#per731	#pla58	1	Undirected
13	#per1594	#pla4	1	Undirected
14	#per1541	#per1561	1	Undirected
15	#org137	#per1069	2	Undirected
16	#org179	#per1527	2	Undirected
17	#org151	#pla2	4	Undirected
18	#org39	#pla6	1	Undirected
19	#per39	#pla72	2	Undirected
20	#org143	#pla4	9	Undirected
21	#org122	#org70	1	Undirected
22	#org157	#pla87	1	Undirected
23	#per1585	#pla137	1	Undirected
24	#per1545	#per642	2	Undirected
25	#per1545	#per626	1	Undirected
26	#org22	#per63	2	Undirected
27	#pla14	#pla51	1	Undirected
28	#per39	#pla9	2	Undirected
29	#per39	#pla5	13	Undirected
30	#per35	#per660	2	Undirected
31	#per1029	#per714	1	Undirected
32	#org12	#pla30	3	Undirected
33	#per1561	#pla110	1	Undirected
34	#per1554	#per650	1	Undirected
35	#per1557	#per65	1	Undirected
36	#per1513	#pla569	1	Undirected
37	#org70	#per125	1	Undirected
38	#org74	#pla14	1	Undirected
39	#per642	#pla14	3	Undirected
40	#per1510	#per1590	2	Undirected
41	#org24	#per699	2	Undirected
42	#per26	#per35	2	Undirected
43	#org8	#pla4	9	Undirected
44	#org284	#pla433	1	Undirected
45	#org8	#pla2	5	Undirected
46	#org8	#per1590	2	Undirected
47	#pla381	#pla72	1	Undirected
48	#per39	#pla175	2	Undirected
49	#org53	#per39	1	Undirected
50	#per714	#pla3	1	Undirected
51	#pla271	#pla712	1	Undirected
52	#org147	#per725	1	Undirected
53	#per619	#pla110	1	Undirected
54	#per1564	#pla539	1	Undirected
55	#per39	#per727	1	Undirected
56	#per731	#pla611	1	Undirected
57	#per1573	#pla64	1	Undirected
58	#org0	#per739	5	Undirected
59	#per14	#pla30	51	Undirected
60	#per14	#per26	4	Undirected
61	#pla30	#tim27	2	Undirected
62	#per1576	#per1577	1	Undirected
63	#per779	#pla4	2	Undirected
64	#per1005	#per65	1	Undirected
65	#per3	#per35	1	Undirected
66	#org146	#pla2	1	Undirected
67	#org133	#per39	1	Undirected
68	#org18	#per1552	1	Undirected
69	#per14	#pla385	1	Undirected
70	#org0	#per1566	1	Undirected
71	#per14	#per1587	8	Undirected
72	#org289	#per1508	2	Undirected
73	#per14	#per1523	1	Undirected
74	#per13	#pla763	1	Undirected
75	#per1029	#per699	2	Undirected
76	#pla314	#pla751	1	Undirected
77	#org144	#org291	1	Undirected
78	#org22	#per65	1	Undirected
79	#org19	#per14	4	Undirected
80	#org39	#pla3	3	Undirected
81	#org147	#per739	2	Undirected
82	#per14	#pla871	3	Undirected
83	#org103	#per1545	2	Undirected
84	#org18	#per14	1	Undirected
85	#per1536	#per675	1	Undirected
86	#per14	#pla382	1	Undirected
87	#org75	#pla4	2	Undirected
88	#per39	#per739	20	Undirected
89	#per725	#per779	5	Undirected
90	#org39	#org50	3	Undirected
91	#per1539	#per1570	2	Undirected
92	#per771	#pla263	2	Undirected
93	#org24	#per1069	2	Undirected
94	#per1540	#per1574	1	Undirected
95	#per14	#pla162	1	Undirected
96	#per699	#per771	1	Undirected
97	#per1512	#per1513	1	Undirected
98	#pla2	#pla311	1	Undirected
99	#per39	#pla133	1	Undirected
100	#per1579	#per790	1	Undirected
101	#per39	#pla87	3	Undirected
102	#per1542	#pla471	1	Undirected
103	#org63	#per39	1	Undirected
104	#org146	#per739	2	Undirected
105	#org104	#per14	4	Undirected
106	#pla3	#pla385	1	Undirected
107	#pla14	#pla30	1	Undirected
108	#org70	#per26	3	Undirected
109	#per35	#pla3	14	Undirected
110	#pla2	#pla3	3	Undirected
111	#org82	#per35	1	Undirected
112	#per1508	#per1511	2	Undirected
113	#per1586	#pla80	1	Undirected
114	#per13	#pla792	1	Undirected
115	#per1570	#pla126	1	Undirected
116	#per1516	#pla18	1	Undirected
117	#per1071	#per725	1	Undirected
118	#per65	#pla321	1	Undirected
119	#per1515	#per35	2	Undirected
120	#per1547	#per1568	1	Undirected
121	#org289	#per1583	3	Undirected
122	#per14	#per417	1	Undirected
123	#pla271	#pla857	1	Undirected
124	#org14	#per13	6	Undirected
125	#org22	#pla64	1	Undirected
126	#per14	#pla5	9	Undirected
127	#org16	#org74	1	Undirected
128	#per13	#pla159	1	Undirected
129	#org74	#org75	1	Undirected
130	#pla2	#pla321	1	Undirected
131	#org50	#per1555	2	Undirected
132	#org22	#per4	2	Undirected
133	#org70	#pla360	1	Undirected
134	#org4	#per1528	1	Undirected
135	#org57	#org74	1	Undirected
136	#org286	#pla249	1	Undirected
137	#per1559	#per1576	1	Undirected
138	#per723	#per771	1	Undirected
139	#per1522	#pla246	1	Undirected
140	#org122	#pla149	1	Undirected
141	#org25	#pla72	1	Undirected
142	#per39	#pla3	21	Undirected
143	#per35	#per39	68	Undirected
144	#per13	#per1509	2	Undirected
145	#per1546	#pla87	1	Undirected
146	#org74	#pla4	1	Undirected
147	#org75	#pla539	1	Undirected
148	#per1532	#pla751	1	Undirected
149	#pla360	#pla479	1	Undirected
150	#per39	#pla311	1	Undirected
151	#org70	#pla14	1	Undirected
152	#per1512	#per1525	2	Undirected
153	#per1508	#per65	8	Undirected
154	#org77	#pla4	1	Undirected
155	#per35	#pla80	1	Undirected
156	#org12	#pla302	1	Undirected
157	#org57	#org66	1	Undirected
158	#org104	#per626	1	Undirected
159	#pla311	#pla499	1	Undirected
160	#org70	#per1582	2	Undirected
161	#org0	#pla3	4	Undirected
162	#org283	#pla4	1	Undirected
163	#org50	#per39	3	Undirected
164	#org82	#per1573	1	Undirected
165	#per1564	#pla137	2	Undirected
166	#org133	#org65	1	Undirected
167	#per39	#pla263	4	Undirected
168	#org144	#per65	1	Undirected
169	#per4	#per66	1	Undirected
170	#pla3	#pla321	1	Undirected
171	#pla14	#pla857	1	Undirected
172	#per1571	#pla72	1	Undirected
173	#per1545	#per64	4	Undirected
174	#per39	#pla23	1	Undirected
175	#org70	#pla302	1	Undirected
176	#org104	#org39	1	Undirected
177	#per642	#pla26	1	Undirected
178	#org179	#per650	1	Undirected
179	#per35	#per95	1	Undirected
180	#org18	#org19	1	Undirected
181	#per1516	#per1593	1	Undirected
182	#per39	#per768	9	Undirected
183	#per1036	#per14	1	Undirected
184	#org16	#org79	1	Undirected
185	#per35	#per4	4	Undirected
186	#per1522	#pla14	1	Undirected
187	#per725	#pla87	3	Undirected
188	#org24	#pla246	1	Undirected
189	#per1029	#pla2	1	Undirected
190	#per1572	#per1573	1	Undirected
191	#per1005	#per1584	1	Undirected
192	#org288	#per1545	1	Undirected
193	#per26	#wor1	1	Undirected
194	#per1513	#pla521	3	Undirected
195	#per1571	#pla149	1	Undirected
196	#per768	#pla263	1	Undirected
197	#org284	#per39	1	Undirected
198	#org146	#pla856	1	Undirected
199	#org53	#pla5	1	Undirected
200	#org126	#org24	1	Undirected
201	#per39	#pla18	11	Undirected
202	#pla763	#pla860	1	Undirected
203	#per1567	#per758	1	Undirected
204	#per1584	#pla58	1	Undirected
205	#per1545	#pla521	1	Undirected
206	#per1585	#pla313	2	Undirected
207	#per1573	#pla569	1	Undirected
208	#per39	#pla64	1	Undirected
209	#org70	#per1510	3	Undirected
210	#pla13	#pla870	1	Undirected
211	#per1529	#per1563	1	Undirected
212	#per1580	#pla521	3	Undirected
213	#per35	#per739	14	Undirected
214	#per4	#per715	1	Undirected
215	#per1516	#pla137	2	Undirected
216	#pla281	#pla3	1	Undirected
217	#pla745	#pla860	1	Undirected
218	#per1541	#per1558	1	Undirected
219	#per1567	#per39	2	Undirected
220	#pla110	#pla2	2	Undirected
221	#org19	#per1510	1	Undirected
222	#per35	#per626	1	Undirected
223	#org179	#per651	1	Undirected
224	#per3	#per4	1	Undirected
225	#pla314	#pla858	1	Undirected
226	#org14	#per1005	1	Undirected
227	#org12	#per14	6	Undirected
228	#org22	#org70	9	Undirected
229	#per14	#pla23	1	Undirected
230	#per14	#pla857	5	Undirected
231	#per1508	#per1545	3	Undirected
232	#pla115	#pla4	1	Undirected
233	#per14	#per750	5	Undirected
234	#per1541	#pla110	1	Undirected
235	#pla137	#pla861	1	Undirected
236	#org103	#org13	1	Undirected
237	#org14	#per642	3	Undirected
238	#org290	#per1508	3	Undirected
239	#pla727	#pla864	1	Undirected
240	#pla13	#pla499	1	Undirected
