	Source	Target	Weight	Type
0	#org109	#per522	7	Undirected
1	#per14	#per671	8	Undirected
2	#org100	#org101	1	Undirected
3	#per654	#per659	1	Undirected
4	#org24	#per14	11	Undirected
5	#org143	#org25	3	Undirected
6	#per685	#pla137	1	Undirected
7	#org70	#per690	1	Undirected
8	#per14	#per673	1	Undirected
9	#per14	#pla316	3	Undirected
10	#per481	#pla133	1	Undirected
11	#per14	#per653	1	Undirected
12	#org70	#pla343	2	Undirected
13	#pla110	#pla304	1	Undirected
14	#per14	#per691	1	Undirected
15	#per522	#pla350	7	Undirected
16	#org4	#per654	10	Undirected
17	#org24	#pla321	1	Undirected
18	#org53	#per659	15	Undirected
19	#pla132	#pla5	2	Undirected
20	#pla340	#pla342	1	Undirected
21	#per14	#per26	2	Undirected
22	#per35	#per523	1	Undirected
23	#org122	#pla305	1	Undirected
24	#per35	#per654	1	Undirected
25	#per35	#pla361	3	Undirected
26	#per695	#pla9	1	Undirected
27	#per14	#pla312	2	Undirected
28	#per700	#per95	4	Undirected
29	#per16	#pla321	1	Undirected
30	#org153	#org69	1	Undirected
31	#pla5	#pla86	1	Undirected
32	#org22	#per128	1	Undirected
33	#org122	#pla292	1	Undirected
34	#org122	#pla281	1	Undirected
35	#org131	#org147	2	Undirected
36	#per656	#pla269	3	Undirected
37	#org53	#pla315	1	Undirected
38	#per481	#per685	1	Undirected
39	#org145	#per696	1	Undirected
40	#per674	#pla4	2	Undirected
41	#org70	#pla323	1	Undirected
42	#per659	#pla347	1	Undirected
43	#org145	#per35	4	Undirected
44	#per522	#per658	2	Undirected
45	#org144	#org24	4	Undirected
46	#per14	#per659	23	Undirected
47	#per655	#pla302	3	Undirected
48	#per481	#per500	2	Undirected
49	#per522	#per696	3	Undirected
50	#per14	#per570	1	Undirected
51	#org100	#pla337	1	Undirected
52	#org82	#per14	1	Undirected
53	#per654	#per673	1	Undirected
54	#pla330	#pla331	1	Undirected
55	#per654	#per84	3	Undirected
56	#per585	#pla5	1	Undirected
57	#org70	#per14	74	Undirected
58	#org145	#org50	2	Undirected
59	#org101	#org82	1	Undirected
60	#org103	#per677	3	Undirected
61	#org8	#per17	2	Undirected
62	#per35	#pla305	1	Undirected
63	#org103	#org88	1	Undirected
64	#org101	#per689	1	Undirected
65	#per481	#per655	1	Undirected
66	#per703	#per706	4	Undirected
67	#org50	#org70	2	Undirected
68	#org24	#per700	1	Undirected
69	#pla304	#pla336	1	Undirected
70	#org122	#pla308	1	Undirected
71	#pla303	#pla4	5	Undirected
72	#org39	#pla2	1	Undirected
73	#per481	#pla5	5	Undirected
