	Source	Target	Via	Weight	Type
33	#per481	#org70	oral	38	Directed
46	#per481	#per522	oral	34	Directed
98	#per35	#per522	oral	22	Directed
109	#per659	#per35	oral	18	Directed
18	#per14	#per481	oral	17	Directed
60	#per522	#org70	oral	15	Directed
99	#per522	#per35	oral	15	Directed
45	#per522	#per481	oral	13	Directed
141	#per35	#org147	oral	11	Directed
67	#per659	#org144	oral	10	Directed
6	#per652	#per14	song	10	Directed
90	#org144	#per522	oral	10	Directed
11	#org4	#per654	oral	10	Directed
12	#per14	#per654	oral	10	Directed
106	#per522	#org144	oral	9	Directed
163	#per709	#per522	oral	8	Directed
147	#per657	#per35	oral	8	Directed
20	#org53	#org53	oral	8	Directed
35	#org70	#per481	oral	8	Directed
158	#per663	#per35	oral	7	Directed
117	#per35	#per659	oral	7	Directed
31	#org142	#org53	oral	7	Directed
157	#per35	#per663	oral	6	Directed
78	#per522	#per659	oral	6	Directed
55	#per14	#per522	oral	6	Directed
13	#org0	#org0	oral	6	Directed
126	#per35	#per703	oral	6	Directed
79	#per659	#per522	oral	6	Directed
3	#per652	#per654	oral	6	Directed
66	#per522	#per522	thought	6	Directed
138	#per14	#per35	oral	6	Directed
16	#per654	#per481	oral	6	Directed
32	#org70	#org70	oral	5	Directed
162	#per522	#per709	oral	5	Directed
137	#per35	#per14	oral	5	Directed
74	#org70	#per522	oral	4	Directed
145	#org131	#per657	oral	4	Directed
135	#per35	#per706	oral	4	Directed
148	#per35	#per657	oral	4	Directed
164	#org140	#per663	oral	4	Directed
92	#per662	#org70	oral	4	Directed
15	#per481	#per654	oral	4	Directed
40	#per522	#org131	oral	3	Directed
37	#org25	#per481	oral	3	Directed
168	#org65	#per35	oral	3	Directed
125	#per703	#per35	oral	3	Directed
14	#per481	#per14	oral	3	Directed
140	#per522	#org149	oral	3	Directed
87	#per481	#per95	oral	3	Directed
139	#org149	#per522	oral	3	Directed
10	#per654	#per655	oral	3	Directed
133	#per703	#per522	oral	3	Directed
132	#per522	#per703	oral	3	Directed
121	#per659	#org144	idea	3	Directed
152	#per35	#per664	oral	3	Directed
102	#per35	#per662	oral	3	Directed
136	#org147	#per35	oral	3	Directed
153	#per35	#per660	oral	3	Directed
42	#org70	#org70	soCalled	3	Directed
143	#org147	#per707	idea	3	Directed
73	#per659	#org70	oral	2	Directed
101	#per662	#per35	oral	2	Directed
71	#per522	#per692	oral	2	Directed
93	#per95	#per35	oral	2	Directed
76	#per522	#per14	prayer	2	Directed
91	#per522	#per95	written	2	Directed
77	#per522	#org25	oral	2	Directed
131	#per704	#per522	oral	2	Directed
107	#org144	#per35	idea	2	Directed
128	#per663	#org131	oral	2	Directed
103	#per522	#per660	oral	2	Directed
0	#per665	#per652	oral	2	Directed
69	#org53	#per659	idea	2	Directed
150	#org147	#per657	oral	2	Directed
22	#org50	#per654	oral	2	Directed
27	#org53	#org140	oral	2	Directed
30	#org53	#org142	oral	2	Directed
38	#per481	#org25	oral	2	Directed
41	#org131	#per522	oral	2	Directed
44	#org122	#org131	oral	2	Directed
7	#org12	#org70	oral	2	Directed
