	Source	Target	Weight	Type
0	#per14	#per504	1	Undirected
1	#per14	#pla18	2	Undirected
2	#per1	#tim2	1	Undirected
3	#org4	#per14	1	Undirected
4	#org37	#per14	1	Undirected
5	#per504	#per527	3	Undirected
6	#org13	#pla2	1	Undirected
7	#per1	#pla200	1	Undirected
8	#org293	#per14	6	Undirected
9	#org293	#tim2	1	Undirected
10	#org293	#per1	6	Undirected
11	#per1	#per17	1	Undirected
12	#per1	#pla472	1	Undirected
13	#org4	#pla18	1	Undirected
14	#org0	#per504	1	Undirected
15	#pla199	#pla472	2	Undirected
16	#org0	#per1	1	Undirected
17	#org293	#per17	1	Undirected
18	#org0	#per14	3	Undirected
19	#per117	#per527	3	Undirected
20	#per117	#per504	3	Undirected
21	#org293	#per117	2	Undirected
22	#org292	#per527	1	Undirected
23	#per14	#pla472	1	Undirected
24	#org18	#pla472	1	Undirected
25	#org8	#per14	1	Undirected
26	#org13	#per14	1	Undirected
27	#org16	#per14	1	Undirected
28	#pla2	#pla200	1	Undirected
29	#org0	#per117	1	Undirected
30	#per14	#pla200	1	Undirected
31	#org13	#org293	1	Undirected
32	#org18	#per1	3	Undirected
33	#org13	#org37	1	Undirected
34	#per1	#per527	3	Undirected
35	#org37	#per1	1	Undirected
36	#per1	#pla18	2	Undirected
37	#per14	#pla2	1	Undirected
38	#per1	#pla2	1	Undirected
39	#org293	#pla200	1	Undirected
40	#org293	#per504	2	Undirected
41	#per14	#per527	2	Undirected
42	#org293	#per527	2	Undirected
43	#per20	#per504	1	Undirected
44	#org293	#pla472	1	Undirected
45	#per14	#pla199	1	Undirected
46	#per14	#pla206	1	Undirected
47	#per1	#per117	2	Undirected
48	#org4	#per1	1	Undirected
49	#per1	#per504	2	Undirected
50	#org0	#per527	1	Undirected
51	#per117	#per14	1	Undirected
52	#org13	#pla200	1	Undirected
53	#org37	#pla200	1	Undirected
54	#org13	#per1	1	Undirected
55	#org293	#org37	1	Undirected
56	#org292	#per504	1	Undirected
57	#org292	#org293	1	Undirected
58	#org18	#per14	4	Undirected
59	#org293	#pla2	1	Undirected
60	#org0	#org18	1	Undirected
61	#org292	#per14	1	Undirected
62	#org18	#org293	3	Undirected
63	#org8	#per1	1	Undirected
64	#org0	#per17	1	Undirected
65	#per1	#pla199	1	Undirected
66	#org292	#per1	1	Undirected
67	#per14	#per17	1	Undirected
68	#org18	#org8	1	Undirected
69	#org293	#pla199	2	Undirected
70	#org18	#pla199	2	Undirected
71	#org292	#per117	1	Undirected
72	#per1	#per14	14	Undirected
73	#org37	#pla2	1	Undirected
