	b.2CO.1.1	b.2CO.1.2	b.2CO.1.3	b.2CO.1.4	b.2CO.1.5	b.2CO.1.6	b.2CO.1.7	b.2CO.1.8	b.2CO.1.9	b.2CO.1.10	b.2CO.1.11	b.2CO.1.12	b.2CO.1.13	b.2CO.1.14	b.2CO.1.15	b.2CO.1.16	b.2CO.1.17	b.2CO.1.18	b.2CO.1.19	b.2CO.1.20	b.2CO.1.21	b.2CO.1.22	b.2CO.1.23	b.2CO.1.24	b.2CO.2.1	b.2CO.2.2	b.2CO.2.3	b.2CO.2.4	b.2CO.2.5	b.2CO.2.6	b.2CO.2.7	b.2CO.2.8	b.2CO.2.9	b.2CO.2.10	b.2CO.2.11	b.2CO.2.12	b.2CO.2.13	b.2CO.2.14	b.2CO.2.15	b.2CO.2.16	b.2CO.2.17	b.2CO.3.1	b.2CO.3.2	b.2CO.3.3	b.2CO.3.4	b.2CO.3.5	b.2CO.3.6	b.2CO.3.7	b.2CO.3.8	b.2CO.3.9	b.2CO.3.10	b.2CO.3.11	b.2CO.3.12	b.2CO.3.13	b.2CO.3.14	b.2CO.3.15	b.2CO.3.16	b.2CO.3.17	b.2CO.3.18	b.2CO.4.1	b.2CO.4.2	b.2CO.4.3	b.2CO.4.4	b.2CO.4.5	b.2CO.4.6	b.2CO.4.7	b.2CO.4.8	b.2CO.4.9	b.2CO.4.10	b.2CO.4.11	b.2CO.4.12	b.2CO.4.13	b.2CO.4.14	b.2CO.4.15	b.2CO.4.16	b.2CO.4.17	b.2CO.4.18	b.2CO.5.1	b.2CO.5.2	b.2CO.5.3	b.2CO.5.4	b.2CO.5.5	b.2CO.5.6	b.2CO.5.7	b.2CO.5.8	b.2CO.5.9	b.2CO.5.10	b.2CO.5.11	b.2CO.5.12	b.2CO.5.13	b.2CO.5.14	b.2CO.5.15	b.2CO.5.16	b.2CO.5.17	b.2CO.5.18	b.2CO.5.19	b.2CO.5.20	b.2CO.5.21	b.2CO.6.1	b.2CO.6.2	b.2CO.6.3	b.2CO.6.4	b.2CO.6.5	b.2CO.6.6	b.2CO.6.7	b.2CO.6.8	b.2CO.6.9	b.2CO.6.10	b.2CO.6.11	b.2CO.6.12	b.2CO.6.13	b.2CO.6.14	b.2CO.6.15	b.2CO.6.16	b.2CO.6.17	b.2CO.6.18	b.2CO.7.1	b.2CO.7.2	b.2CO.7.3	b.2CO.7.4	b.2CO.7.5	b.2CO.7.6	b.2CO.7.7	b.2CO.7.8	b.2CO.7.9	b.2CO.7.10	b.2CO.7.11	b.2CO.7.12	b.2CO.7.13	b.2CO.7.14	b.2CO.7.15	b.2CO.7.16	b.2CO.8.1	b.2CO.8.2	b.2CO.8.3	b.2CO.8.4	b.2CO.8.5	b.2CO.8.6	b.2CO.8.7	b.2CO.8.8	b.2CO.8.9	b.2CO.8.10	b.2CO.8.11	b.2CO.8.12	b.2CO.8.13	b.2CO.8.14	b.2CO.8.15	b.2CO.8.16	b.2CO.8.17	b.2CO.8.18	b.2CO.8.19	b.2CO.8.20	b.2CO.8.21	b.2CO.8.22	b.2CO.8.23	b.2CO.8.24	b.2CO.9.1	b.2CO.9.2	b.2CO.9.3	b.2CO.9.4	b.2CO.9.5	b.2CO.9.6	b.2CO.9.7	b.2CO.9.8	b.2CO.9.9	b.2CO.9.10	b.2CO.9.11	b.2CO.9.12	b.2CO.9.13	b.2CO.9.14	b.2CO.9.15	b.2CO.10.1	b.2CO.10.2	b.2CO.10.3	b.2CO.10.4	b.2CO.10.5	b.2CO.10.6	b.2CO.10.7	b.2CO.10.8	b.2CO.10.9	b.2CO.10.10	b.2CO.10.11	b.2CO.10.12	b.2CO.10.13	b.2CO.10.14	b.2CO.10.15	b.2CO.10.16	b.2CO.10.17	b.2CO.10.18	b.2CO.11.1	b.2CO.11.2	b.2CO.11.3	b.2CO.11.4	b.2CO.11.5	b.2CO.11.6	b.2CO.11.7	b.2CO.11.8	b.2CO.11.9	b.2CO.11.10	b.2CO.11.11	b.2CO.11.12	b.2CO.11.13	b.2CO.11.14	b.2CO.11.15	b.2CO.11.16	b.2CO.11.17	b.2CO.11.18	b.2CO.11.19	b.2CO.11.20	b.2CO.11.21	b.2CO.11.22	b.2CO.11.23	b.2CO.11.24	b.2CO.11.25	b.2CO.11.26	b.2CO.11.27	b.2CO.11.28	b.2CO.11.29	b.2CO.11.30	b.2CO.11.31	b.2CO.11.32	b.2CO.11.33	b.2CO.12.1	b.2CO.12.2	b.2CO.12.3	b.2CO.12.4	b.2CO.12.5	b.2CO.12.6	b.2CO.12.7	b.2CO.12.8	b.2CO.12.9	b.2CO.12.10	b.2CO.12.11	b.2CO.12.12	b.2CO.12.13	b.2CO.12.14	b.2CO.12.15	b.2CO.12.16	b.2CO.12.17	b.2CO.12.18	b.2CO.12.19	b.2CO.12.20	b.2CO.12.21	b.2CO.13.1	b.2CO.13.2	b.2CO.13.3	b.2CO.13.4	b.2CO.13.5	b.2CO.13.6	b.2CO.13.7	b.2CO.13.8	b.2CO.13.9	b.2CO.13.10	b.2CO.13.11	b.2CO.13.12	b.2CO.13.13	b.2CO.13.14
#per1	1	2	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	3	2	0	0	0	1	2	1	0	0	0	2	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	3	1	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2
#pla63	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per504	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
