	id	type
0	b.2KI.1.1	verse
1	b.2KI.1.2	verse
2	b.2KI.1.3	verse
3	b.2KI.1.4	verse
4	b.2KI.1.5	verse
5	b.2KI.1.6	verse
6	b.2KI.1.7	verse
7	b.2KI.1.8	verse
8	b.2KI.1.9	verse
9	b.2KI.1.10	verse
10	b.2KI.1.11	verse
11	b.2KI.1.12	verse
12	b.2KI.1.13	verse
13	b.2KI.1.14	verse
14	b.2KI.1.15	verse
15	b.2KI.1.16	verse
16	b.2KI.1.17	verse
17	b.2KI.1.18	verse
18	b.2KI.2.1	verse
19	b.2KI.2.2	verse
20	b.2KI.2.3	verse
21	b.2KI.2.4	verse
22	b.2KI.2.5	verse
23	b.2KI.2.6	verse
24	b.2KI.2.7	verse
25	b.2KI.2.8	verse
26	b.2KI.2.9	verse
27	b.2KI.2.10	verse
28	b.2KI.2.11	verse
29	b.2KI.2.12	verse
30	b.2KI.2.13	verse
31	b.2KI.2.14	verse
32	b.2KI.2.15	verse
33	b.2KI.2.16	verse
34	b.2KI.2.17	verse
35	b.2KI.2.18	verse
36	b.2KI.2.19	verse
37	b.2KI.2.20	verse
38	b.2KI.2.21	verse
39	b.2KI.2.22	verse
40	b.2KI.2.23	verse
41	b.2KI.2.24	verse
42	b.2KI.2.25	verse
43	b.2KI.3.1	verse
44	b.2KI.3.2	verse
45	b.2KI.3.3	verse
46	b.2KI.3.4	verse
47	b.2KI.3.5	verse
48	b.2KI.3.6	verse
49	b.2KI.3.7	verse
50	b.2KI.3.8	verse
51	b.2KI.3.9	verse
52	b.2KI.3.10	verse
53	b.2KI.3.11	verse
54	b.2KI.3.12	verse
55	b.2KI.3.13	verse
56	b.2KI.3.14	verse
57	b.2KI.3.15	verse
58	b.2KI.3.16	verse
59	b.2KI.3.17	verse
60	b.2KI.3.18	verse
61	b.2KI.3.19	verse
62	b.2KI.3.20	verse
63	b.2KI.3.21	verse
64	b.2KI.3.22	verse
65	b.2KI.3.23	verse
66	b.2KI.3.24	verse
67	b.2KI.3.25	verse
68	b.2KI.3.26	verse
69	b.2KI.3.27	verse
70	b.2KI.4.1	verse
71	b.2KI.4.2	verse
72	b.2KI.4.3	verse
73	b.2KI.4.4	verse
74	b.2KI.4.5	verse
75	b.2KI.4.6	verse
76	b.2KI.4.7	verse
77	b.2KI.4.8	verse
78	b.2KI.4.9	verse
79	b.2KI.4.10	verse
80	b.2KI.4.11	verse
81	b.2KI.4.12	verse
82	b.2KI.4.13	verse
83	b.2KI.4.14	verse
84	b.2KI.4.15	verse
85	b.2KI.4.16	verse
86	b.2KI.4.17	verse
87	b.2KI.4.18	verse
88	b.2KI.4.19	verse
89	b.2KI.4.20	verse
90	b.2KI.4.21	verse
91	b.2KI.4.22	verse
92	b.2KI.4.23	verse
93	b.2KI.4.24	verse
94	b.2KI.4.25	verse
95	b.2KI.4.26	verse
96	b.2KI.4.27	verse
97	b.2KI.4.28	verse
98	b.2KI.4.29	verse
99	b.2KI.4.30	verse
100	b.2KI.4.31	verse
101	b.2KI.4.32	verse
102	b.2KI.4.33	verse
103	b.2KI.4.34	verse
104	b.2KI.4.35	verse
105	b.2KI.4.36	verse
106	b.2KI.4.37	verse
107	b.2KI.4.38	verse
108	b.2KI.4.39	verse
109	b.2KI.4.40	verse
110	b.2KI.4.41	verse
111	b.2KI.4.42	verse
112	b.2KI.4.43	verse
113	b.2KI.4.44	verse
114	b.2KI.5.1	verse
115	b.2KI.5.2	verse
116	b.2KI.5.3	verse
117	b.2KI.5.4	verse
118	b.2KI.5.5	verse
119	b.2KI.5.6	verse
120	b.2KI.5.7	verse
121	b.2KI.5.8	verse
122	b.2KI.5.9	verse
123	b.2KI.5.10	verse
124	b.2KI.5.11	verse
125	b.2KI.5.12	verse
126	b.2KI.5.13	verse
127	b.2KI.5.14	verse
128	b.2KI.5.15	verse
129	b.2KI.5.16	verse
130	b.2KI.5.17	verse
131	b.2KI.5.18	verse
132	b.2KI.5.19	verse
133	b.2KI.5.20	verse
134	b.2KI.5.21	verse
135	b.2KI.5.22	verse
136	b.2KI.5.23	verse
137	b.2KI.5.24	verse
138	b.2KI.5.25	verse
139	b.2KI.5.26	verse
140	b.2KI.5.27	verse
141	b.2KI.6.1	verse
142	b.2KI.6.2	verse
143	b.2KI.6.3	verse
144	b.2KI.6.4	verse
145	b.2KI.6.5	verse
146	b.2KI.6.6	verse
147	b.2KI.6.7	verse
148	b.2KI.6.8	verse
149	b.2KI.6.9	verse
150	b.2KI.6.10	verse
151	b.2KI.6.11	verse
152	b.2KI.6.12	verse
153	b.2KI.6.13	verse
154	b.2KI.6.14	verse
155	b.2KI.6.15	verse
156	b.2KI.6.16	verse
157	b.2KI.6.17	verse
158	b.2KI.6.18	verse
159	b.2KI.6.19	verse
160	b.2KI.6.20	verse
161	b.2KI.6.21	verse
162	b.2KI.6.22	verse
163	b.2KI.6.23	verse
164	b.2KI.6.24	verse
165	b.2KI.6.25	verse
166	b.2KI.6.26	verse
167	b.2KI.6.27	verse
168	b.2KI.6.28	verse
169	b.2KI.6.29	verse
170	b.2KI.6.30	verse
171	b.2KI.6.31	verse
172	b.2KI.6.32	verse
173	b.2KI.6.33	verse
174	b.2KI.7.1	verse
175	b.2KI.7.2	verse
176	b.2KI.7.3	verse
177	b.2KI.7.4	verse
178	b.2KI.7.5	verse
179	b.2KI.7.6	verse
180	b.2KI.7.7	verse
181	b.2KI.7.8	verse
182	b.2KI.7.9	verse
183	b.2KI.7.10	verse
184	b.2KI.7.11	verse
185	b.2KI.7.12	verse
186	b.2KI.7.13	verse
187	b.2KI.7.14	verse
188	b.2KI.7.15	verse
189	b.2KI.7.16	verse
190	b.2KI.7.17	verse
191	b.2KI.7.18	verse
192	b.2KI.7.19	verse
193	b.2KI.7.20	verse
194	b.2KI.8.1	verse
195	b.2KI.8.2	verse
196	b.2KI.8.3	verse
197	b.2KI.8.4	verse
198	b.2KI.8.5	verse
199	b.2KI.8.6	verse
200	b.2KI.8.7	verse
201	b.2KI.8.8	verse
202	b.2KI.8.9	verse
203	b.2KI.8.10	verse
204	b.2KI.8.11	verse
205	b.2KI.8.12	verse
206	b.2KI.8.13	verse
207	b.2KI.8.14	verse
208	b.2KI.8.15	verse
209	b.2KI.8.16	verse
210	b.2KI.8.17	verse
211	b.2KI.8.18	verse
212	b.2KI.8.19	verse
213	b.2KI.8.20	verse
214	b.2KI.8.21	verse
215	b.2KI.8.22	verse
216	b.2KI.8.23	verse
217	b.2KI.8.24	verse
218	b.2KI.8.25	verse
219	b.2KI.8.26	verse
220	b.2KI.8.27	verse
221	b.2KI.8.28	verse
222	b.2KI.8.29	verse
223	b.2KI.9.1	verse
224	b.2KI.9.2	verse
225	b.2KI.9.3	verse
226	b.2KI.9.4	verse
227	b.2KI.9.5	verse
228	b.2KI.9.6	verse
229	b.2KI.9.7	verse
230	b.2KI.9.8	verse
231	b.2KI.9.9	verse
232	b.2KI.9.10	verse
233	b.2KI.9.11	verse
234	b.2KI.9.12	verse
235	b.2KI.9.13	verse
236	b.2KI.9.14	verse
237	b.2KI.9.15	verse
238	b.2KI.9.16	verse
239	b.2KI.9.17	verse
240	b.2KI.9.18	verse
241	b.2KI.9.19	verse
242	b.2KI.9.20	verse
243	b.2KI.9.21	verse
244	b.2KI.9.22	verse
245	b.2KI.9.23	verse
246	b.2KI.9.24	verse
247	b.2KI.9.25	verse
248	b.2KI.9.26	verse
249	b.2KI.9.27	verse
250	b.2KI.9.28	verse
251	b.2KI.9.29	verse
252	b.2KI.9.30	verse
253	b.2KI.9.31	verse
254	b.2KI.9.32	verse
255	b.2KI.9.33	verse
256	b.2KI.9.34	verse
257	b.2KI.9.35	verse
258	b.2KI.9.36	verse
259	b.2KI.9.37	verse
260	b.2KI.10.1	verse
261	b.2KI.10.2	verse
262	b.2KI.10.3	verse
263	b.2KI.10.4	verse
264	b.2KI.10.5	verse
265	b.2KI.10.6	verse
266	b.2KI.10.7	verse
267	b.2KI.10.8	verse
268	b.2KI.10.9	verse
269	b.2KI.10.10	verse
270	b.2KI.10.11	verse
