	id	type
0	b.2PE.1.1	verse
1	b.2PE.1.2	verse
2	b.2PE.1.3	verse
3	b.2PE.1.4	verse
4	b.2PE.1.5	verse
5	b.2PE.1.6	verse
6	b.2PE.1.7	verse
7	b.2PE.1.8	verse
8	b.2PE.1.9	verse
9	b.2PE.1.10	verse
10	b.2PE.1.11	verse
11	b.2PE.1.12	verse
12	b.2PE.1.13	verse
13	b.2PE.1.14	verse
14	b.2PE.1.15	verse
15	b.2PE.1.16	verse
16	b.2PE.1.17	verse
17	b.2PE.1.18	verse
18	b.2PE.1.19	verse
19	b.2PE.1.20	verse
20	b.2PE.1.21	verse
21	b.2PE.2.1	verse
22	b.2PE.2.2	verse
23	b.2PE.2.3	verse
24	b.2PE.2.4	verse
25	b.2PE.2.5	verse
26	b.2PE.2.6	verse
27	b.2PE.2.7	verse
28	b.2PE.2.8	verse
29	b.2PE.2.9	verse
30	b.2PE.2.10	verse
31	b.2PE.2.11	verse
32	b.2PE.2.12	verse
33	b.2PE.2.13	verse
34	b.2PE.2.14	verse
35	b.2PE.2.15	verse
36	b.2PE.2.16	verse
37	b.2PE.2.17	verse
38	b.2PE.2.18	verse
39	b.2PE.2.19	verse
40	b.2PE.2.20	verse
41	b.2PE.2.21	verse
42	b.2PE.2.22	verse
43	b.2PE.3.1	verse
44	b.2PE.3.2	verse
45	b.2PE.3.3	verse
46	b.2PE.3.4	verse
47	b.2PE.3.5	verse
48	b.2PE.3.6	verse
49	b.2PE.3.7	verse
50	b.2PE.3.8	verse
51	b.2PE.3.9	verse
52	b.2PE.3.10	verse
53	b.2PE.3.11	verse
54	b.2PE.3.12	verse
55	b.2PE.3.13	verse
56	b.2PE.3.14	verse
57	b.2PE.3.15	verse
58	b.2PE.3.16	verse
59	b.2PE.3.17	verse
60	b.2PE.3.18	verse
