	id	type
0	b.2SA.1.1	verse
1	b.2SA.1.2	verse
2	b.2SA.1.3	verse
3	b.2SA.1.4	verse
4	b.2SA.1.5	verse
5	b.2SA.1.6	verse
6	b.2SA.1.7	verse
7	b.2SA.1.8	verse
8	b.2SA.1.9	verse
9	b.2SA.1.10	verse
10	b.2SA.1.11	verse
11	b.2SA.1.12	verse
12	b.2SA.1.13	verse
13	b.2SA.1.14	verse
14	b.2SA.1.15	verse
15	b.2SA.1.16	verse
16	b.2SA.1.17	verse
17	b.2SA.1.18	verse
18	b.2SA.1.19	verse
19	b.2SA.1.20	verse
20	b.2SA.1.21	verse
21	b.2SA.1.22	verse
22	b.2SA.1.23	verse
23	b.2SA.1.24	verse
24	b.2SA.1.25	verse
25	b.2SA.1.26	verse
26	b.2SA.1.27	verse
27	b.2SA.2.1	verse
28	b.2SA.2.2	verse
29	b.2SA.2.3	verse
30	b.2SA.2.4	verse
31	b.2SA.2.5	verse
32	b.2SA.2.6	verse
33	b.2SA.2.7	verse
34	b.2SA.2.8	verse
35	b.2SA.2.9	verse
36	b.2SA.2.10	verse
37	b.2SA.2.11	verse
38	b.2SA.2.12	verse
39	b.2SA.2.13	verse
40	b.2SA.2.14	verse
41	b.2SA.2.15	verse
42	b.2SA.2.16	verse
43	b.2SA.2.17	verse
44	b.2SA.2.18	verse
45	b.2SA.2.19	verse
46	b.2SA.2.20	verse
47	b.2SA.2.21	verse
48	b.2SA.2.22	verse
49	b.2SA.2.23	verse
50	b.2SA.2.24	verse
51	b.2SA.2.25	verse
52	b.2SA.2.26	verse
53	b.2SA.2.27	verse
54	b.2SA.2.28	verse
55	b.2SA.2.29	verse
56	b.2SA.2.30	verse
57	b.2SA.2.31	verse
58	b.2SA.2.32	verse
59	b.2SA.3.1	verse
60	b.2SA.3.2	verse
61	b.2SA.3.3	verse
62	b.2SA.3.4	verse
63	b.2SA.3.5	verse
64	b.2SA.3.6	verse
65	b.2SA.3.7	verse
66	b.2SA.3.8	verse
67	b.2SA.3.9	verse
68	b.2SA.3.10	verse
69	b.2SA.3.11	verse
70	b.2SA.3.12	verse
71	b.2SA.3.13	verse
72	b.2SA.3.14	verse
73	b.2SA.3.15	verse
74	b.2SA.3.16	verse
75	b.2SA.3.17	verse
76	b.2SA.3.18	verse
77	b.2SA.3.19	verse
78	b.2SA.3.20	verse
79	b.2SA.3.21	verse
80	b.2SA.3.22	verse
81	b.2SA.3.23	verse
82	b.2SA.3.24	verse
83	b.2SA.3.25	verse
84	b.2SA.3.26	verse
85	b.2SA.3.27	verse
86	b.2SA.3.28	verse
87	b.2SA.3.29	verse
88	b.2SA.3.30	verse
89	b.2SA.3.31	verse
90	b.2SA.3.32	verse
91	b.2SA.3.33	verse
92	b.2SA.3.34	verse
93	b.2SA.3.35	verse
94	b.2SA.3.36	verse
95	b.2SA.3.37	verse
96	b.2SA.3.38	verse
97	b.2SA.3.39	verse
98	b.2SA.4.1	verse
99	b.2SA.4.2	verse
100	b.2SA.4.3	verse
101	b.2SA.4.4	verse
102	b.2SA.4.5	verse
103	b.2SA.4.6	verse
104	b.2SA.4.7	verse
