	b.2TI.1.1	b.2TI.1.2	b.2TI.1.3	b.2TI.1.4	b.2TI.1.5	b.2TI.1.6	b.2TI.1.7	b.2TI.1.8	b.2TI.1.9	b.2TI.1.10	b.2TI.1.11	b.2TI.1.12	b.2TI.1.13	b.2TI.1.14	b.2TI.1.15	b.2TI.1.16	b.2TI.1.17	b.2TI.1.18	b.2TI.2.1	b.2TI.2.2	b.2TI.2.3	b.2TI.2.4	b.2TI.2.5	b.2TI.2.6	b.2TI.2.7	b.2TI.2.8	b.2TI.2.9	b.2TI.2.10	b.2TI.2.11	b.2TI.2.12	b.2TI.2.13	b.2TI.2.14	b.2TI.2.15	b.2TI.2.16	b.2TI.2.17	b.2TI.2.18	b.2TI.2.19	b.2TI.2.20	b.2TI.2.21	b.2TI.2.22	b.2TI.2.23	b.2TI.2.24	b.2TI.2.25	b.2TI.2.26	b.2TI.3.1	b.2TI.3.2	b.2TI.3.3	b.2TI.3.4	b.2TI.3.5	b.2TI.3.6	b.2TI.3.7	b.2TI.3.8	b.2TI.3.9	b.2TI.3.10	b.2TI.3.11	b.2TI.3.12	b.2TI.3.13	b.2TI.3.14	b.2TI.3.15	b.2TI.3.16	b.2TI.3.17	b.2TI.4.1	b.2TI.4.2	b.2TI.4.3	b.2TI.4.4	b.2TI.4.5	b.2TI.4.6	b.2TI.4.7	b.2TI.4.8	b.2TI.4.9	b.2TI.4.10	b.2TI.4.11	b.2TI.4.12	b.2TI.4.13	b.2TI.4.14	b.2TI.4.15	b.2TI.4.16	b.2TI.4.17	b.2TI.4.18	b.2TI.4.19	b.2TI.4.20	b.2TI.4.21	b.2TI.4.22
#per35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
#org0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per504	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
#per482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
#per1418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
