	Source	Target	Weight	Type
0	#org115	#pla3	1	Undirected
1	#per483	#pla19	1	Undirected
2	#org123	#per482	3	Undirected
3	#org24	#per505	1	Undirected
4	#per128	#per504	1	Undirected
5	#per495	#pla5	1	Undirected
6	#per550	#per551	1	Undirected
7	#org0	#org101	1	Undirected
8	#org37	#per532	1	Undirected
9	#per35	#wor6	1	Undirected
10	#org114	#pla2	1	Undirected
11	#per504	#pla19	3	Undirected
12	#org16	#org22	1	Undirected
13	#org0	#per570	1	Undirected
14	#per532	#pla14	1	Undirected
15	#pla230	#pla231	1	Undirected
16	#pla159	#pla176	1	Undirected
17	#per547	#pla63	1	Undirected
18	#per17	#per20	2	Undirected
19	#org13	#pla167	1	Undirected
20	#per30	#per32	1	Undirected
21	#pla188	#pla189	1	Undirected
22	#pla30	#pla62	1	Undirected
23	#org15	#org6	4	Undirected
24	#org4	#per42	1	Undirected
25	#org3	#per48	8	Undirected
26	#org12	#per18	2	Undirected
27	#org110	#org12	1	Undirected
28	#org37	#per1	15	Undirected
29	#org37	#per526	7	Undirected
30	#per495	#per497	1	Undirected
31	#org24	#per42	1	Undirected
32	#per28	#pla171	1	Undirected
33	#org0	#pla176	1	Undirected
34	#pla62	#wor1	1	Undirected
35	#per26	#pla4	1	Undirected
36	#org0	#org37	7	Undirected
37	#per14	#per484	2	Undirected
38	#per563	#wor1	1	Undirected
39	#org37	#per21	23	Undirected
40	#per504	#per565	1	Undirected
41	#per21	#per32	1	Undirected
42	#per14	#pla51	1	Undirected
43	#org18	#pla18	1	Undirected
44	#pla173	#pla3	1	Undirected
45	#per2	#pla134	1	Undirected
46	#per528	#pla61	1	Undirected
47	#org29	#per502	1	Undirected
48	#per21	#per510	2	Undirected
49	#per0	#per26	1	Undirected
50	#org3	#pla80	1	Undirected
51	#org29	#pla84	3	Undirected
52	#per48	#pla30	1	Undirected
53	#per27	#per32	1	Undirected
54	#org8	#org95	1	Undirected
55	#org4	#pla176	2	Undirected
56	#per504	#pla51	1	Undirected
57	#per511	#pla152	2	Undirected
58	#org0	#org5	3	Undirected
59	#per483	#pla186	1	Undirected
60	#org17	#pla51	1	Undirected
61	#per527	#pla210	1	Undirected
62	#per504	#per567	1	Undirected
63	#org8	#pla41	2	Undirected
64	#org50	#per522	1	Undirected
65	#org119	#per1	1	Undirected
66	#per545	#per546	3	Undirected
67	#per110	#per29	1	Undirected
68	#per512	#pla24	2	Undirected
69	#per21	#pla51	1	Undirected
70	#org12	#org70	26	Undirected
71	#org11	#per1	1	Undirected
72	#per504	#pla186	1	Undirected
73	#org100	#org12	2	Undirected
74	#org88	#per133	1	Undirected
75	#per50	#pla4	1	Undirected
76	#org29	#per112	58	Undirected
77	#per14	#per571	1	Undirected
78	#org18	#pla7	1	Undirected
79	#per110	#per27	1	Undirected
80	#per14	#per489	24	Undirected
81	#per524	#pla62	1	Undirected
82	#org8	#pla30	1	Undirected
83	#org110	#per518	1	Undirected
84	#per28	#per505	1	Undirected
85	#per1	#per536	1	Undirected
86	#org3	#per35	1	Undirected
87	#org16	#per503	1	Undirected
88	#org3	#pla215	1	Undirected
89	#pla197	#pla198	2	Undirected
90	#org2	#per14	4	Undirected
91	#per504	#pla215	3	Undirected
92	#org15	#per21	4	Undirected
93	#org29	#org70	20	Undirected
94	#org37	#per540	1	Undirected
95	#org3	#pla170	1	Undirected
96	#per17	#per21	21	Undirected
97	#org8	#per481	2	Undirected
98	#per518	#per519	1	Undirected
99	#org70	#per26	11	Undirected
100	#org37	#per23	10	Undirected
101	#org13	#pla182	1	Undirected
102	#per1	#wor1	5	Undirected
103	#org70	#pla30	2	Undirected
104	#per21	#per511	3	Undirected
105	#org1	#per1	1	Undirected
