	Source	Target	Weight	Type
0	#org3	#per25	1	Undirected
1	#per504	#per521	1	Undirected
2	#org13	#pla8	1	Undirected
3	#per112	#per499	1	Undirected
4	#per28	#per489	1	Undirected
5	#org0	#org25	3	Undirected
6	#per504	#per540	1	Undirected
7	#org12	#org25	5	Undirected
8	#per21	#per28	1	Undirected
9	#pla172	#pla33	1	Undirected
10	#per491	#pla171	1	Undirected
11	#org16	#org70	4	Undirected
12	#org16	#pla51	1	Undirected
13	#per14	#pla62	1	Undirected
14	#org29	#pla82	1	Undirected
15	#per495	#per497	1	Undirected
16	#org104	#per14	2	Undirected
17	#org18	#wor6	1	Undirected
18	#per483	#per571	5	Undirected
19	#per26	#per497	1	Undirected
20	#per483	#per519	1	Undirected
21	#org29	#per3	3	Undirected
22	#org70	#per564	1	Undirected
23	#org113	#pla82	1	Undirected
24	#per112	#pla78	2	Undirected
25	#per23	#per31	1	Undirected
26	#org95	#per504	1	Undirected
27	#per555	#wor1	1	Undirected
28	#org12	#pla30	2	Undirected
29	#org13	#org22	3	Undirected
30	#org25	#per564	1	Undirected
31	#org29	#per556	1	Undirected
32	#org37	#pla153	1	Undirected
33	#per101	#pla164	1	Undirected
34	#pla199	#pla206	1	Undirected
35	#per21	#per484	3	Undirected
36	#per28	#per491	1	Undirected
37	#org4	#per570	1	Undirected
38	#per558	#pla63	1	Undirected
39	#per17	#pla2	2	Undirected
40	#org13	#per563	9	Undirected
41	#pla181	#pla192	1	Undirected
42	#org18	#per489	1	Undirected
43	#per1	#per3	1	Undirected
44	#org24	#per505	1	Undirected
45	#per112	#pla108	1	Undirected
46	#per547	#per550	1	Undirected
47	#org50	#per128	1	Undirected
48	#per14	#pla15	1	Undirected
49	#org0	#org120	1	Undirected
50	#per507	#pla80	1	Undirected
51	#org112	#pla2	1	Undirected
52	#org117	#per14	1	Undirected
53	#per42	#per529	1	Undirected
54	#org22	#per486	2	Undirected
55	#org0	#pla200	4	Undirected
56	#per504	#per555	1	Undirected
57	#per489	#pla108	1	Undirected
58	#org37	#pla182	1	Undirected
59	#pla3	#pla7	1	Undirected
60	#per21	#pla152	7	Undirected
61	#org18	#per35	7	Undirected
62	#per17	#per20	2	Undirected
63	#org65	#per489	3	Undirected
64	#org25	#per19	3	Undirected
65	#per14	#pla30	2	Undirected
66	#org16	#pla84	1	Undirected
67	#org102	#per504	2	Undirected
68	#org70	#pla2	1	Undirected
69	#per491	#per493	1	Undirected
70	#per14	#per26	12	Undirected
71	#org16	#pla2	2	Undirected
72	#pla19	#wor1	1	Undirected
73	#per112	#pla18	4	Undirected
74	#org13	#pla182	1	Undirected
75	#pla212	#pla62	1	Undirected
76	#org37	#per554	1	Undirected
77	#org37	#pla244	1	Undirected
78	#org8	#pla171	2	Undirected
79	#per50	#pla4	1	Undirected
80	#per559	#per561	1	Undirected
81	#per482	#per546	1	Undirected
82	#org18	#pla18	1	Undirected
83	#per551	#pla63	1	Undirected
84	#org25	#per42	1	Undirected
85	#org3	#pla4	3	Undirected
86	#org100	#per21	2	Undirected
87	#per21	#per515	1	Undirected
88	#org110	#pla2	1	Undirected
89	#org3	#per485	1	Undirected
90	#per504	#per546	1	Undirected
91	#org18	#per14	17	Undirected
92	#pla176	#pla4	1	Undirected
93	#per14	#pla199	1	Undirected
94	#org13	#pla33	1	Undirected
95	#per50	#pla3	1	Undirected
96	#org0	#per14	31	Undirected
97	#org37	#pla215	2	Undirected
98	#per10	#pla33	1	Undirected
99	#org114	#pla82	1	Undirected
100	#per533	#pla213	1	Undirected
101	#per489	#per504	1	Undirected
102	#per10	#per483	1	Undirected
103	#org8	#per504	10	Undirected
104	#org18	#org3	5	Undirected
105	#org13	#per512	2	Undirected
106	#pla171	#pla181	1	Undirected
107	#per522	#per523	1	Undirected
108	#org14	#pla62	1	Undirected
109	#org24	#pla213	1	Undirected
110	#per551	#pla209	1	Undirected
111	#per17	#per484	2	Undirected
112	#per546	#per548	1	Undirected
113	#per1	#pla19	3	Undirected
114	#org104	#per35	1	Undirected
115	#per149	#pla134	1	Undirected
116	#org70	#per26	11	Undirected
