	id	type
0	b.ACT.1.1	verse
1	b.ACT.1.2	verse
2	b.ACT.1.3	verse
3	b.ACT.1.4	verse
4	b.ACT.1.5	verse
5	b.ACT.1.6	verse
6	b.ACT.1.7	verse
7	b.ACT.1.8	verse
8	b.ACT.1.9	verse
9	b.ACT.1.10	verse
10	b.ACT.1.11	verse
11	b.ACT.1.12	verse
12	b.ACT.1.13	verse
13	b.ACT.1.14	verse
14	b.ACT.1.15	verse
15	b.ACT.1.16	verse
16	b.ACT.1.17	verse
17	b.ACT.1.18	verse
18	b.ACT.1.19	verse
19	b.ACT.1.20	verse
20	b.ACT.1.21	verse
21	b.ACT.1.22	verse
22	b.ACT.1.23	verse
23	b.ACT.1.24	verse
24	b.ACT.1.25	verse
25	b.ACT.1.26	verse
26	b.ACT.2.1	verse
27	b.ACT.2.2	verse
28	b.ACT.2.3	verse
29	b.ACT.2.4	verse
30	b.ACT.2.5	verse
31	b.ACT.2.6	verse
32	b.ACT.2.7	verse
33	b.ACT.2.8	verse
34	b.ACT.2.9	verse
35	b.ACT.2.10	verse
36	b.ACT.2.11	verse
37	b.ACT.2.12	verse
38	b.ACT.2.13	verse
39	b.ACT.2.14	verse
40	b.ACT.2.15	verse
41	b.ACT.2.16	verse
42	b.ACT.2.17	verse
43	b.ACT.2.18	verse
44	b.ACT.2.19	verse
45	b.ACT.2.20	verse
46	b.ACT.2.21	verse
47	b.ACT.2.22	verse
48	b.ACT.2.23	verse
49	b.ACT.2.24	verse
50	b.ACT.2.25	verse
51	b.ACT.2.26	verse
52	b.ACT.2.27	verse
53	b.ACT.2.28	verse
54	b.ACT.2.29	verse
55	b.ACT.2.30	verse
56	b.ACT.2.31	verse
57	b.ACT.2.32	verse
58	b.ACT.2.33	verse
59	b.ACT.2.34	verse
60	b.ACT.2.35	verse
61	b.ACT.2.36	verse
62	b.ACT.2.37	verse
63	b.ACT.2.38	verse
64	b.ACT.2.39	verse
65	b.ACT.2.40	verse
66	b.ACT.2.41	verse
67	b.ACT.2.42	verse
68	b.ACT.2.43	verse
69	b.ACT.2.44	verse
70	b.ACT.2.45	verse
71	b.ACT.2.46	verse
72	b.ACT.2.47	verse
73	b.ACT.3.1	verse
74	b.ACT.3.2	verse
75	b.ACT.3.3	verse
76	b.ACT.3.4	verse
77	b.ACT.3.5	verse
78	b.ACT.3.6	verse
79	b.ACT.3.7	verse
80	b.ACT.3.8	verse
81	b.ACT.3.9	verse
82	b.ACT.3.10	verse
83	b.ACT.3.11	verse
84	b.ACT.3.12	verse
85	b.ACT.3.13	verse
86	b.ACT.3.14	verse
87	b.ACT.3.15	verse
88	b.ACT.3.16	verse
89	b.ACT.3.17	verse
90	b.ACT.3.18	verse
91	b.ACT.3.19	verse
92	b.ACT.3.20	verse
93	b.ACT.3.21	verse
94	b.ACT.3.22	verse
95	b.ACT.3.23	verse
96	b.ACT.3.24	verse
97	b.ACT.3.25	verse
98	b.ACT.3.26	verse
99	b.ACT.4.1	verse
100	b.ACT.4.2	verse
101	b.ACT.4.3	verse
102	b.ACT.4.4	verse
103	b.ACT.4.5	verse
104	b.ACT.4.6	verse
105	b.ACT.4.7	verse
106	b.ACT.4.8	verse
107	b.ACT.4.9	verse
108	b.ACT.4.10	verse
109	b.ACT.4.11	verse
110	b.ACT.4.12	verse
111	b.ACT.4.13	verse
112	b.ACT.4.14	verse
113	b.ACT.4.15	verse
114	b.ACT.4.16	verse
115	b.ACT.4.17	verse
116	b.ACT.4.18	verse
117	b.ACT.4.19	verse
118	b.ACT.4.20	verse
119	b.ACT.4.21	verse
120	b.ACT.4.22	verse
121	b.ACT.4.23	verse
122	b.ACT.4.24	verse
123	b.ACT.4.25	verse
124	b.ACT.4.26	verse
125	b.ACT.4.27	verse
126	b.ACT.4.28	verse
127	b.ACT.4.29	verse
128	b.ACT.4.30	verse
129	b.ACT.4.31	verse
130	b.ACT.4.32	verse
131	b.ACT.4.33	verse
132	b.ACT.4.34	verse
133	b.ACT.4.35	verse
134	b.ACT.4.36	verse
135	b.ACT.4.37	verse
136	b.ACT.5.1	verse
137	b.ACT.5.2	verse
138	b.ACT.5.3	verse
139	b.ACT.5.4	verse
140	b.ACT.5.5	verse
141	b.ACT.5.6	verse
142	b.ACT.5.7	verse
143	b.ACT.5.8	verse
144	b.ACT.5.9	verse
145	b.ACT.5.10	verse
146	b.ACT.5.11	verse
147	b.ACT.5.12	verse
148	b.ACT.5.13	verse
149	b.ACT.5.14	verse
150	b.ACT.5.15	verse
151	b.ACT.5.16	verse
152	b.ACT.5.17	verse
153	b.ACT.5.18	verse
154	b.ACT.5.19	verse
155	b.ACT.5.20	verse
156	b.ACT.5.21	verse
157	b.ACT.5.22	verse
158	b.ACT.5.23	verse
159	b.ACT.5.24	verse
160	b.ACT.5.25	verse
