	Source	Target	Via	Weight	Type
128	#per489	#per112	oral	53	Directed
50	#per21	#org22	oral	41	Directed
112	#per504	#org12	oral	26	Directed
68	#per504	#per564	oral	23	Directed
57	#per504	#org13	oral	22	Directed
140	#per504	#org110	oral	18	Directed
61	#per1	#per504	oral	16	Directed
138	#per563	#per564	oral	14	Directed
143	#per21	#org37	oral	14	Directed
55	#per504	#per558	oral	12	Directed
70	#per21	#per512	oral	11	Directed
49	#per504	#org24	oral	11	Directed
105	#per504	#org118	oral	10	Directed
63	#per23	#org37	oral	9	Directed
150	#per35	#org0	written	9	Directed
95	#per21	#org18	oral	8	Directed
48	#org4	#per512	oral	8	Directed
35	#per504	#org25	oral	8	Directed
101	#per504	#per566	oral	7	Directed
46	#per504	#per1	oral	7	Directed
15	#org110	#org37	written	7	Directed
139	#per561	#per558	oral	7	Directed
79	#per512	#per21	oral	6	Directed
65	#per21	#per48	oral	6	Directed
28	#org3	#per14	prayer	6	Directed
162	#org123	#org0	oral	6	Directed
56	#per504	#per563	oral	6	Directed
12	#org110	#per504	oral	6	Directed
118	#per14	#per480	oral	6	Directed
37	#per1	#per507	oral	5	Directed
3	#per21	#org2	oral	5	Directed
142	#per21	#per112	oral	5	Directed
44	#per559	#per558	written	5	Directed
74	#per480	#org0	written	5	Directed
40	#per504	#org37	oral	5	Directed
87	#per1	#org3	oral	5	Directed
30	#per486	#org29	oral	5	Directed
137	#per19	#org0	written	4	Directed
1	#per21	#per505	oral	4	Directed
160	#org119	#per28	oral	4	Directed
25	#org3	#org29	oral	4	Directed
73	#per14	#org5	oral	4	Directed
133	#org8	#org0	written	4	Directed
16	#per14	#per2	oral	4	Directed
60	#per14	#per21	oral	4	Directed
131	#org24	#per504	oral	4	Directed
7	#org22	#org22	oral	4	Directed
149	#per507	#per1	oral	3	Directed
107	#org13	#org100	oral	3	Directed
119	#org4	#per21	oral	3	Directed
146	#org24	#org24	oral	3	Directed
117	#org70	#per26	oral	3	Directed
99	#per483	#org120	oral	3	Directed
78	#org3	#per1	oral	3	Directed
106	#org37	#per504	oral	3	Directed
0	#per14	#per1	oral	3	Directed
11	#per14	#per26	oral	3	Directed
8	#org3	#org37	oral	3	Directed
6	#per504	#org29	oral	3	Directed
20	#per543	#org0	oral	3	Directed
23	#per507	#per504	oral	3	Directed
45	#org118	#per504	oral	3	Directed
91	#org118	#org118	oral	2	Directed
141	#per504	#per520	oral	2	Directed
53	#org24	#org29	oral	2	Directed
86	#org12	#org12	oral	2	Directed
33	#per112	#per112	oral	2	Directed
89	#per14	#org8	oral	2	Directed
24	#org37	#per515	oral	2	Directed
92	#org25	#per504	oral	2	Directed
80	#per537	#org13	oral	2	Directed
93	#per558	#per504	oral	2	Directed
94	#per17	#per21	oral	2	Directed
32	#per564	#per563	oral	2	Directed
96	#per556	#org24	oral	2	Directed
97	#per564	#per504	oral	2	Directed
14	#per48	#per48	oral	2	Directed
26	#per21	#per14	oral	2	Directed
135	#org118	#org0	written	2	Directed
144	#org0	#org0	oral	2	Directed
36	#per563	#org13	oral	2	Directed
104	#org29	#org29	oral	2	Directed
152	#per17	#per19	oral	2	Directed
161	#per26	#org22	written	2	Directed
2	#org24	#per526	oral	2	Directed
52	#per21	#per484	oral	2	Directed
21	#per28	#org119	oral	2	Directed
123	#per489	#per1	prayer	2	Directed
156	#per21	#per485	oral	2	Directed
154	#org14	#org100	oral	2	Directed
38	#per505	#per21	oral	2	Directed
125	#org4	#org3	oral	2	Directed
151	#per0	#org29	oral	2	Directed
5	#per25	#per112	oral	2	Directed
127	#org5	#org0	written	2	Directed
75	#per563	#per504	oral	2	Directed
17	#per26	#org70	oral	2	Directed
126	#per14	#per35	oral	1	Directed
124	#per112	#per489	oral	1	Directed
130	#per21	#org0	oral	1	Directed
19	#per17	#org110	oral	1	Directed
129	#per504	#org6	oral	1	Directed
18	#per559	#per504	oral	1	Directed
54	#per483	#org3	oral	1	Directed
132	#org70	#per500	oral	1	Directed
148	#per48	#per482	oral	1	Directed
159	#per566	#per566	oral	1	Directed
158	#org4	#per505	oral	1	Directed
157	#org121	#per504	dream	1	Directed
155	#org2	#org37	oral	1	Directed
153	#per528	#per504	oral	1	Directed
4	#per526	#org24	oral	1	Directed
147	#per35	#per14	written	1	Directed
134	#org29	#per504	oral	1	Directed
145	#per1	#org0	oral	1	Directed
9	#org120	#org0	oral	1	Directed
10	#per21	#org24	oral	1	Directed
121	#org14	#org0	oral	1	Directed
13	#per21	#org70	oral	1	Directed
136	#per14	#org70	oral	1	Directed
122	#per1	#org37	oral	1	Directed
109	#per563	#per563	oral	1	Directed
120	#per25	#org15	oral	1	Directed
82	#org6	#org14	oral	1	Directed
77	#per504	#per560	oral	1	Directed
76	#org24	#per21	oral	1	Directed
39	#org27	#per21	oral	1	Directed
41	#org124	#org124	oral	1	Directed
72	#per17	#per28	oral	1	Directed
71	#org13	#org25	oral	1	Directed
42	#org17	#org17	oral	1	Directed
69	#per21	#per510	oral	1	Directed
43	#org37	#org37	oral	1	Directed
67	#org37	#per21	oral	1	Directed
66	#org4	#per28	oral	1	Directed
64	#org12	#per504	oral	1	Directed
47	#org3	#per14	oral	1	Directed
62	#per512	#org4	oral	1	Directed
51	#org24	#per556	oral	1	Directed
59	#per504	#org15	oral	1	Directed
58	#per48	#org3	oral	1	Directed
34	#per21	#org15	oral	1	Directed
83	#org13	#org37	oral	1	Directed
22	#per504	#per483	oral	1	Directed
84	#per21	#per509	oral	1	Directed
116	#org70	#org24	oral	1	Directed
115	#org12	#per21	oral	1	Directed
114	#per485	#per21	oral	1	Directed
113	#org13	#org24	oral	1	Directed
111	#org5	#org29	oral	1	Directed
110	#per564	#per564	oral	1	Directed
108	#org70	#per570	oral	1	Directed
27	#org22	#per21	oral	1	Directed
103	#per504	#org0	oral	1	Directed
102	#wor1	#org0	written	1	Directed
29	#per112	#per25	oral	1	Directed
