	id	type
0	b.AMO.1.1	verse
1	b.AMO.1.2	verse
2	b.AMO.1.3	verse
3	b.AMO.1.4	verse
4	b.AMO.1.5	verse
5	b.AMO.1.6	verse
6	b.AMO.1.7	verse
7	b.AMO.1.8	verse
8	b.AMO.1.9	verse
9	b.AMO.1.10	verse
10	b.AMO.1.11	verse
11	b.AMO.1.12	verse
12	b.AMO.1.13	verse
13	b.AMO.1.14	verse
14	b.AMO.1.15	verse
15	b.AMO.2.1	verse
16	b.AMO.2.2	verse
17	b.AMO.2.3	verse
18	b.AMO.2.4	verse
19	b.AMO.2.5	verse
20	b.AMO.2.6	verse
21	b.AMO.2.7	verse
22	b.AMO.2.8	verse
23	b.AMO.2.9	verse
24	b.AMO.2.10	verse
25	b.AMO.2.11	verse
26	b.AMO.2.12	verse
27	b.AMO.2.13	verse
28	b.AMO.2.14	verse
29	b.AMO.2.15	verse
30	b.AMO.2.16	verse
31	b.AMO.3.1	verse
32	b.AMO.3.2	verse
33	b.AMO.3.3	verse
34	b.AMO.3.4	verse
35	b.AMO.3.5	verse
36	b.AMO.3.6	verse
37	b.AMO.3.7	verse
38	b.AMO.3.8	verse
39	b.AMO.3.9	verse
40	b.AMO.3.10	verse
41	b.AMO.3.11	verse
42	b.AMO.3.12	verse
43	b.AMO.3.13	verse
44	b.AMO.3.14	verse
45	b.AMO.3.15	verse
46	b.AMO.4.1	verse
47	b.AMO.4.2	verse
48	b.AMO.4.3	verse
49	b.AMO.4.4	verse
50	b.AMO.4.5	verse
51	b.AMO.4.6	verse
52	b.AMO.4.7	verse
53	b.AMO.4.8	verse
54	b.AMO.4.9	verse
55	b.AMO.4.10	verse
56	b.AMO.4.11	verse
57	b.AMO.4.12	verse
58	b.AMO.4.13	verse
59	b.AMO.5.1	verse
60	b.AMO.5.2	verse
61	b.AMO.5.3	verse
62	b.AMO.5.4	verse
63	b.AMO.5.5	verse
64	b.AMO.5.6	verse
65	b.AMO.5.7	verse
66	b.AMO.5.8	verse
67	b.AMO.5.9	verse
68	b.AMO.5.10	verse
69	b.AMO.5.11	verse
70	b.AMO.5.12	verse
71	b.AMO.5.13	verse
72	b.AMO.5.14	verse
73	b.AMO.5.15	verse
74	b.AMO.5.16	verse
75	b.AMO.5.17	verse
76	b.AMO.5.18	verse
77	b.AMO.5.19	verse
78	b.AMO.5.20	verse
79	b.AMO.5.21	verse
80	b.AMO.5.22	verse
81	b.AMO.5.23	verse
82	b.AMO.5.24	verse
83	b.AMO.5.25	verse
84	b.AMO.5.26	verse
85	b.AMO.5.27	verse
86	b.AMO.6.1	verse
87	b.AMO.6.2	verse
88	b.AMO.6.3	verse
89	b.AMO.6.4	verse
90	b.AMO.6.5	verse
91	b.AMO.6.6	verse
92	b.AMO.6.7	verse
93	b.AMO.6.8	verse
94	b.AMO.6.9	verse
95	b.AMO.6.10	verse
96	b.AMO.6.11	verse
97	b.AMO.6.12	verse
98	b.AMO.6.13	verse
99	b.AMO.6.14	verse
100	b.AMO.7.1	verse
101	b.AMO.7.2	verse
102	b.AMO.7.3	verse
103	b.AMO.7.4	verse
104	b.AMO.7.5	verse
105	b.AMO.7.6	verse
106	b.AMO.7.7	verse
107	b.AMO.7.8	verse
108	b.AMO.7.9	verse
109	b.AMO.7.10	verse
110	b.AMO.7.11	verse
111	b.AMO.7.12	verse
112	b.AMO.7.13	verse
113	b.AMO.7.14	verse
114	b.AMO.7.15	verse
115	b.AMO.7.16	verse
116	b.AMO.7.17	verse
117	b.AMO.8.1	verse
118	b.AMO.8.2	verse
119	b.AMO.8.3	verse
120	b.AMO.8.4	verse
121	b.AMO.8.5	verse
122	b.AMO.8.6	verse
123	b.AMO.8.7	verse
124	b.AMO.8.8	verse
125	b.AMO.8.9	verse
126	b.AMO.8.10	verse
127	b.AMO.8.11	verse
128	b.AMO.8.12	verse
129	b.AMO.8.13	verse
130	b.AMO.8.14	verse
131	b.AMO.9.1	verse
132	b.AMO.9.2	verse
133	b.AMO.9.3	verse
134	b.AMO.9.4	verse
135	b.AMO.9.5	verse
136	b.AMO.9.6	verse
137	b.AMO.9.7	verse
138	b.AMO.9.8	verse
139	b.AMO.9.9	verse
140	b.AMO.9.10	verse
141	b.AMO.9.11	verse
142	b.AMO.9.12	verse
143	b.AMO.9.13	verse
144	b.AMO.9.14	verse
145	b.AMO.9.15	verse
