	Source	Target	Weight	Type
0	#per14	#pla41	553	Undirected
1	#per14	#tim3	18	Undirected
2	#pla41	#tim3	7	Undirected
3	#per14	#per17	149	Undirected
4	#per17	#pla41	6	Undirected
5	#org0	#per14	2539	Undirected
6	#org0	#tim3	7	Undirected
7	#org0	#pla41	278	Undirected
8	#per14	#per145	33	Undirected
9	#per14	#per241	18	Undirected
10	#per145	#per241	22	Undirected
11	#per145	#pla41	6	Undirected
12	#per241	#pla41	4	Undirected
13	#per14	#pla39	9	Undirected
14	#per14	#pla77	9	Undirected
15	#per145	#pla39	1	Undirected
16	#per145	#pla77	5	Undirected
17	#pla39	#pla77	1	Undirected
18	#pla41	#pla77	2	Undirected
19	#pla85	#pla86	1	Undirected
20	#pla87	#pla88	1	Undirected
21	#pla39	#pla64	1	Undirected
22	#pla39	#pla89	1	Undirected
23	#pla39	#pla90	1	Undirected
24	#pla64	#pla89	1	Undirected
25	#pla64	#pla90	3	Undirected
26	#pla89	#pla90	1	Undirected
27	#per14	#per20	82	Undirected
28	#per145	#per20	2	Undirected
29	#per20	#per241	7	Undirected
30	#per241	#pla77	1	Undirected
31	#org4	#per145	1	Undirected
32	#org4	#pla77	1	Undirected
33	#org0	#per142	2	Undirected
34	#org0	#per145	5	Undirected
35	#org0	#per241	2	Undirected
36	#per14	#per142	14	Undirected
37	#per142	#per145	2	Undirected
38	#per142	#per241	2	Undirected
39	#per142	#per43	8	Undirected
40	#per14	#per43	6	Undirected
41	#per14	#pla91	1	Undirected
42	#per142	#pla77	1	Undirected
43	#per142	#pla91	1	Undirected
44	#pla77	#pla91	1	Undirected
45	#per142	#per164	1	Undirected
46	#per142	#pla92	1	Undirected
47	#per164	#pla92	1	Undirected
48	#per154	#per164	1	Undirected
49	#per154	#per243	1	Undirected
50	#per154	#per256	1	Undirected
51	#per154	#per283	1	Undirected
52	#per164	#per243	1	Undirected
53	#per164	#per256	1	Undirected
54	#per164	#per283	1	Undirected
55	#per243	#per256	1	Undirected
56	#per243	#per283	1	Undirected
57	#per256	#per283	1	Undirected
58	#per154	#per166	3	Undirected
59	#per154	#per209	3	Undirected
60	#per166	#per209	3	Undirected
61	#per166	#per299	1	Undirected
62	#per209	#per392	1	Undirected
63	#per209	#per428	1	Undirected
64	#per392	#per428	1	Undirected
65	#per142	#per154	1	Undirected
66	#per142	#per166	1	Undirected
67	#per142	#per209	1	Undirected
68	#org0	#per169	1	Undirected
69	#org0	#per43	2	Undirected
70	#per14	#per169	3	Undirected
71	#per142	#per169	1	Undirected
72	#per145	#per169	5	Undirected
73	#per145	#per43	1	Undirected
74	#per169	#per241	1	Undirected
75	#per169	#per43	1	Undirected
76	#per241	#per43	1	Undirected
77	#per14	#per179	2	Undirected
78	#per169	#per179	5	Undirected
79	#per179	#per198	3	Undirected
80	#per183	#per198	4	Undirected
81	#per183	#per194	4	Undirected
82	#per194	#per206	3	Undirected
83	#per190	#per206	4	Undirected
84	#per14	#per190	1	Undirected
85	#per14	#per206	4	Undirected
86	#per190	#per440	2	Undirected
87	#per440	#per47	3	Undirected
88	#org0	#per440	1	Undirected
89	#org0	#per47	5	Undirected
90	#per14	#per440	1	Undirected
91	#per14	#per47	50	Undirected
92	#per440	#pla41	1	Undirected
93	#per47	#pla41	24	Undirected
94	#per144	#per158	35	Undirected
95	#per144	#per162	36	Undirected
96	#per144	#per47	37	Undirected
97	#per158	#per162	34	Undirected
98	#per158	#per47	36	Undirected
99	#per162	#per47	35	Undirected
100	#per14	#tim4	1	Undirected
101	#per47	#tim4	5	Undirected
102	#per14	#per144	21	Undirected
103	#per14	#per158	21	Undirected
104	#per14	#per162	20	Undirected
105	#per14	#per207	3	Undirected
106	#per144	#per207	8	Undirected
107	#per158	#per207	8	Undirected
108	#per162	#per207	8	Undirected
109	#per207	#per47	8	Undirected
