	Source	Target	Via	Weight	Type
227	#per14	#per26	oral	1759	Directed
263	#per14	#org70	oral	1525	Directed
1579	#per14	#per859	oral	998	Directed
685	#per35	#per14	prayer	709	Directed
229	#per26	#org70	idea	705	Directed
1785	#per1	#org3	oral	642	Directed
0	#per14	#org0	oral	589	Directed
1439	#per14	#per15	oral	580	Directed
1271	#per473	#per14	prayer	463	Directed
1327	#per39	#org0	written	455	Directed
1239	#per845	#per846	oral	287	Directed
1111	#per14	#org39	oral	272	Directed
1585	#per859	#org70	idea	264	Directed
1742	#per44	#org0	oral	201	Directed
1783	#per1	#org0	oral	190	Directed
1447	#per15	#org39	idea	178	Directed
248	#per14	#org70	idea	160	Directed
1675	#per46	#org0	written	159	Directed
1227	#per845	#per851	oral	159	Directed
1424	#per14	#org133	oral	154	Directed
1252	#per854	#per845	oral	140	Directed
1695	#per1497	#org70	oral	137	Directed
1441	#per15	#org70	idea	134	Directed
22	#org0	#org0	oral	129	Directed
1255	#per14	#per845	oral	123	Directed
1740	#per14	#per44	oral	119	Directed
1228	#per851	#per845	oral	110	Directed
1587	#per14	#pla4	oral	107	Directed
1586	#per859	#pla4	idea	106	Directed
1801	#per1	#org2	oral	103	Directed
1943	#per1	#org13	oral	103	Directed
1572	#per15	#org133	oral	100	Directed
695	#per35	#org0	oral	99	Directed
220	#per26	#org70	oral	93	Directed
1293	#per474	#org70	oral	90	Directed
1444	#per15	#per14	prayer	85	Directed
1720	#per14	#per635	oral	84	Directed
1719	#per635	#org0	oral	84	Directed
1289	#per474	#per14	prayer	81	Directed
1232	#per845	#per14	oral	81	Directed
303	#per14	#org25	oral	80	Directed
1687	#per978	#org0	oral	75	Directed
1692	#per1045	#org70	oral	72	Directed
1693	#per14	#per1045	oral	72	Directed
23	#per14	#per2	oral	70	Directed
1885	#per1	#per25	oral	68	Directed
1300	#per1327	#per14	prayer	68	Directed
1676	#org4	#per46	oral	68	Directed
1684	#per978	#org70	oral	68	Directed
271	#org0	#org0	soCalled	65	Directed
1350	#per19	#org0	oral	65	Directed
1590	#per859	#org25	idea	64	Directed
1348	#per19	#org70	oral	63	Directed
1129	#per14	#per19	oral	63	Directed
1371	#per14	#org81	oral	62	Directed
1310	#per473	#org70	oral	61	Directed
1784	#per1	#per21	oral	60	Directed
1486	#per15	#org39	oral	53	Directed
1558	#per14	#org65	oral	53	Directed
1732	#per627	#org0	written	53	Directed
1733	#per14	#per627	oral	53	Directed
1613	#per14	#pla22	oral	53	Directed
1612	#per859	#pla22	idea	53	Directed
2033	#per489	#per112	oral	53	Directed
1363	#per19	#per14	prayer	52	Directed
1288	#per473	#org0	oral	51	Directed
298	#per503	#org70	oral	51	Directed
837	#per35	#per14	song	50	Directed
262	#org70	#org70	oral	49	Directed
237	#per14	#per500	oral	49	Directed
1559	#per15	#org81	oral	47	Directed
1794	#org3	#per1	oral	47	Directed
1233	#per846	#per845	oral	47	Directed
1236	#per847	#per845	oral	47	Directed
309	#org70	#per14	prayer	46	Directed
1726	#per14	#per643	oral	46	Directed
1343	#per69	#org70	oral	45	Directed
141	#per104	#org88	oral	45	Directed
674	#per14	#per35	oral	45	Directed
1763	#per14	#per573	oral	44	Directed
1306	#per473	#org0	prayer	43	Directed
342	#per14	#per503	oral	42	Directed
1640	#per14	#per858	oral	41	Directed
250	#per26	#per500	idea	41	Directed
280	#per26	#org12	oral	41	Directed
2005	#per21	#org22	oral	41	Directed
1639	#per859	#per858	idea	41	Directed
1662	#per861	#org0	oral	40	Directed
887	#per39	#per14	prayer	40	Directed
178	#per4	#org88	oral	40	Directed
1807	#per1	#per14	prayer	40	Directed
1416	#per14	#pla3	oral	39	Directed
522	#org46	#org70	oral	39	Directed
1605	#per859	#pla3	idea	38	Directed
574	#per481	#org70	oral	38	Directed
1824	#per1	#per23	oral	38	Directed
1764	#per573	#org70	oral	37	Directed
1564	#per14	#org126	oral	37	Directed
228	#per26	#per14	oral	36	Directed
1698	#per14	#per1497	oral	35	Directed
911	#per14	#org8	oral	35	Directed
1329	#thin0	#org0	oral	34	Directed
291	#org70	#org0	oral	34	Directed
585	#per481	#per522	oral	34	Directed
1681	#per14	#per978	oral	32	Directed
1620	#per859	#org174	idea	32	Directed
1621	#per14	#org174	oral	32	Directed
1788	#per1	#per0	oral	32	Directed
1737	#per14	#per574	oral	31	Directed
1626	#per859	#org65	idea	31	Directed
266	#per26	#org25	oral	31	Directed
412	#per996	#org0	song	30	Directed
1338	#per1873	#per1872	written	30	Directed
1481	#per14	#org12	oral	30	Directed
1334	#per1868	#org0	written	29	Directed
1815	#per21	#per1	oral	29	Directed
1809	#per0	#per0	oral	29	Directed
1286	#per14	#org19	oral	29	Directed
239	#per14	#per585	oral	28	Directed
1797	#per1	#org15	oral	28	Directed
1656	#per46	#per861	oral	28	Directed
1736	#per574	#org70	oral	28	Directed
415	#org4	#org0	oral	27	Directed
314	#per639	#per638	oral	27	Directed
1277	#org106	#per14	prayer	26	Directed
2071	#per504	#org12	oral	26	Directed
9	#per14	#per20	oral	26	Directed
1729	#per14	#per644	oral	26	Directed
1744	#org4	#per44	oral	26	Directed
221	#org70	#per26	oral	26	Directed
233	#per26	#per585	idea	26	Directed
1506	#per15	#org171	written	25	Directed
2180	#org4	#per25	oral	25	Directed
1828	#per1	#org12	oral	24	Directed
1403	#per19	#per1440	oral	23	Directed
106	#per132	#per4	oral	23	Directed
2179	#per14	#per25	oral	23	Directed
2131	#per504	#per564	oral	23	Directed
1449	#per15	#org0	oral	23	Directed
2073	#per504	#org13	oral	22	Directed
634	#per35	#per522	oral	22	Directed
1365	#per14	#org173	oral	22	Directed
1127	#per19	#per71	oral	22	Directed
1816	#per1	#per1	oral	21	Directed
252	#per26	#per585	oral	21	Directed
1122	#per14	#per71	oral	21	Directed
1473	#per15	#per1130	oral	21	Directed
1507	#per14	#org171	oral	21	Directed
1595	#per859	#org14	idea	21	Directed
1349	#org4	#org4	oral	21	Directed
256	#org70	#org70	idea	21	Directed
922	#per14	#per13	oral	20	Directed
1596	#per14	#org14	oral	20	Directed
173	#per133	#per104	oral	20	Directed
1793	#per1	#org5	oral	20	Directed
63	#per14	#org4	oral	20	Directed
1724	#per635	#per14	prayer	20	Directed
142	#org88	#per104	oral	20	Directed
1270	#per473	#org18	oral	20	Directed
1653	#per46	#per14	prayer	20	Directed
673	#per35	#per14	oral	19	Directed
1301	#per14	#per35	dream	19	Directed
1398	#per14	#per1440	oral	19	Directed
75	#org83	#per132	oral	19	Directed
143	#per4	#per104	oral	19	Directed
1623	#per859	#pla5	idea	19	Directed
1730	#per644	#org0	written	19	Directed
1624	#per14	#pla5	oral	19	Directed
1304	#org19	#org0	soCalled	18	Directed
645	#per659	#per35	oral	18	Directed
259	#org70	#org14	singing	18	Directed
1377	#per14	#org108	oral	18	Directed
2106	#per504	#org110	oral	18	Directed
1731	#per644	#per14	song	18	Directed
1825	#org0	#per1	oral	18	Directed
1376	#per19	#org108	oral	18	Directed
1945	#per1	#per103	oral	18	Directed
189	#per5	#per104	oral	18	Directed
912	#org8	#org8	oral	18	Directed
677	#per35	#org147	oral	17	Directed
736	#per725	#per35	oral	17	Directed
1768	#per573	#org12	oral	17	Directed
1249	#per854	#per846	oral	17	Directed
562	#per14	#per481	oral	17	Directed
878	#per14	#per39	oral	17	Directed
1332	#org0	#org0	written	17	Directed
1808	#org2	#per1	oral	17	Directed
2045	#per1	#per504	oral	17	Directed
1616	#per859	#per20	idea	17	Directed
1012	#per1563	#per1700	oral	17	Directed
1346	#per69	#per14	prayer	17	Directed
