	Source	Target	Weight	Type
0	#per1	#per14	11	Undirected
1	#per1	#per504	1	Undirected
2	#per1	#per527	1	Undirected
3	#per14	#per504	2	Undirected
4	#per14	#per527	1	Undirected
5	#per504	#per527	1	Undirected
6	#org385	#per1	2	Undirected
7	#org385	#per14	1	Undirected
8	#org385	#pla973	1	Undirected
9	#per1	#pla973	1	Undirected
10	#per14	#pla973	1	Undirected
11	#org18	#per1	1	Undirected
12	#org0	#per14	2	Undirected
13	#per1	#per1051	2	Undirected
14	#org18	#per14	2	Undirected
15	#pla18	#pla41	2	Undirected
16	#org37	#per1	2	Undirected
17	#per504	#pla18	1	Undirected
18	#org16	#per1	2	Undirected
19	#org16	#per14	1	Undirected
20	#org0	#per1	6	Undirected
21	#org19	#per14	1	Undirected
22	#org100	#org102	3	Undirected
23	#org100	#org118	1	Undirected
24	#org100	#org13	1	Undirected
25	#org100	#org16	1	Undirected
26	#org100	#per1	1	Undirected
27	#org102	#org118	1	Undirected
28	#org102	#org13	1	Undirected
29	#org102	#org16	1	Undirected
30	#org102	#per1	1	Undirected
31	#org118	#org13	1	Undirected
32	#org118	#org16	1	Undirected
33	#org118	#per1	1	Undirected
34	#org13	#org16	1	Undirected
35	#org13	#per1	1	Undirected
36	#org122	#org183	2	Undirected
37	#org122	#per1	1	Undirected
38	#org183	#per1	1	Undirected
39	#org0	#org100	1	Undirected
40	#org0	#org102	1	Undirected
41	#org100	#per14	2	Undirected
42	#org102	#per14	2	Undirected
43	#org100	#pla18	1	Undirected
44	#org102	#pla18	1	Undirected
45	#per14	#pla18	1	Undirected
46	#per1	#per550	1	Undirected
47	#per483	#per546	1	Undirected
48	#per483	#per571	1	Undirected
49	#per546	#per571	1	Undirected
50	#per14	#per535	1	Undirected
51	#per14	#pla19	1	Undirected
52	#per535	#pla19	1	Undirected
53	#per1051	#per14	1	Undirected
54	#pla66	#pla974	1	Undirected
55	#per1052	#per958	1	Undirected
56	#org36	#per1874	1	Undirected
57	#org36	#pla66	2	Undirected
58	#per1874	#pla66	1	Undirected
59	#org385	#per1049	1	Undirected
60	#per1	#per1049	1	Undirected
