	Source	Target	Weight	Type
0	#org24	#org4	7	Undirected
1	#pla246	#pla545	1	Undirected
2	#per5	#pla2	1	Undirected
3	#org0	#per968	6	Undirected
4	#pla739	#pla741	1	Undirected
5	#org221	#per46	1	Undirected
6	#org227	#pla455	1	Undirected
7	#org0	#per961	17	Undirected
8	#org4	#wor4	2	Undirected
9	#org0	#per944	1	Undirected
10	#per130	#pla455	1	Undirected
11	#per1	#pla3	3	Undirected
12	#org0	#pla5	4	Undirected
13	#org100	#pla455	6	Undirected
14	#per968	#pla2	1	Undirected
15	#per46	#per976	9	Undirected
16	#org101	#per861	1	Undirected
17	#org184	#org24	3	Undirected
18	#org25	#pla4	2	Undirected
19	#org224	#pla30	2	Undirected
20	#org0	#pla30	2	Undirected
21	#per46	#pla18	10	Undirected
22	#org25	#per14	3	Undirected
23	#per46	#pla19	7	Undirected
24	#per14	#pla18	7	Undirected
25	#per46	#pla4	3	Undirected
26	#org222	#org64	6	Undirected
27	#org25	#pla3	1	Undirected
28	#org18	#per961	2	Undirected
29	#per5	#per968	1	Undirected
30	#org0	#per969	1	Undirected
31	#org14	#per861	7	Undirected
32	#org0	#per26	2	Undirected
33	#per577	#per969	1	Undirected
34	#org18	#per130	1	Undirected
35	#org2	#per46	1	Undirected
36	#per73	#pla545	1	Undirected
37	#org4	#org5	2	Undirected
38	#org223	#per971	3	Undirected
39	#per1	#per46	6	Undirected
40	#per969	#pla738	1	Undirected
41	#per861	#per975	1	Undirected
42	#pla3	#pla4	1	Undirected
43	#per46	#pla69	12	Undirected
44	#per861	#per977	4	Undirected
45	#org0	#pla4	3	Undirected
46	#org100	#per967	1	Undirected
47	#org0	#org64	6	Undirected
48	#org222	#pla69	8	Undirected
49	#org227	#per46	4	Undirected
50	#org18	#org19	1	Undirected
51	#org100	#per577	11	Undirected
52	#org103	#pla738	1	Undirected
53	#per46	#pla742	1	Undirected
54	#org0	#org122	1	Undirected
55	#org0	#pla18	9	Undirected
56	#per46	#per969	1	Undirected
57	#org223	#org4	1	Undirected
58	#per577	#pla18	1	Undirected
59	#org0	#org82	1	Undirected
60	#org0	#org19	1	Undirected
61	#per14	#per976	5	Undirected
62	#per577	#pla2	1	Undirected
63	#org103	#per975	1	Undirected
64	#per46	#pla739	4	Undirected
65	#org143	#per14	2	Undirected
66	#per976	#per977	2	Undirected
67	#pla246	#pla4	1	Undirected
68	#org222	#per46	9	Undirected
69	#org100	#org227	1	Undirected
70	#per46	#per961	17	Undirected
71	#org122	#pla30	1	Undirected
72	#per14	#per861	19	Undirected
73	#org24	#per976	1	Undirected
74	#per971	#per972	27	Undirected
75	#per46	#per5	4	Undirected
76	#org103	#pla30	2	Undirected
77	#org0	#org100	32	Undirected
78	#org14	#per968	2	Undirected
79	#org82	#pla246	1	Undirected
80	#per861	#per972	19	Undirected
81	#org223	#per976	3	Undirected
82	#org225	#pla217	2	Undirected
83	#org5	#org70	1	Undirected
84	#per861	#per970	4	Undirected
85	#org225	#pla739	2	Undirected
86	#org143	#org25	2	Undirected
87	#org0	#per971	3	Undirected
88	#org103	#per861	12	Undirected
89	#pla19	#pla455	1	Undirected
90	#per967	#per968	3	Undirected
91	#org0	#pla430	1	Undirected
92	#per5	#per972	1	Undirected
93	#org64	#pla69	3	Undirected
94	#per14	#pla72	2	Undirected
95	#org70	#org88	2	Undirected
96	#pla118	#pla739	1	Undirected
97	#org2	#per5	1	Undirected
98	#org103	#per976	6	Undirected
99	#per974	#per976	3	Undirected
100	#org82	#per46	1	Undirected
101	#per46	#pla3	11	Undirected
102	#per46	#per970	4	Undirected
103	#per972	#pla69	3	Undirected
104	#per14	#pla3	8	Undirected
105	#org24	#per46	7	Undirected
106	#per861	#pla18	7	Undirected
107	#org4	#pla430	1	Undirected
108	#pla30	#pla97	1	Undirected
109	#per73	#pla393	1	Undirected
110	#org0	#per15	1	Undirected
111	#org70	#per961	1	Undirected
112	#pla118	#pla741	1	Undirected
113	#pla4	#pla545	1	Undirected
114	#per46	#per967	2	Undirected
115	#org223	#per861	5	Undirected
116	#org103	#pla5	1	Undirected
117	#org122	#per968	1	Undirected
118	#org4	#pla4	1	Undirected
119	#org70	#pla4	1	Undirected
120	#org64	#per967	1	Undirected
121	#org88	#pla4	1	Undirected
122	#org64	#pla421	1	Undirected
123	#org122	#org88	1	Undirected
124	#org100	#org122	1	Undirected
125	#org0	#per577	7	Undirected
126	#org184	#per577	1	Undirected
127	#org103	#per14	7	Undirected
128	#org19	#org4	1	Undirected
129	#org171	#per577	1	Undirected
130	#org82	#per73	1	Undirected
131	#per861	#pla4	1	Undirected
132	#org18	#per1	1	Undirected
133	#org88	#per861	1	Undirected
134	#org100	#org171	1	Undirected
135	#per861	#per974	1	Undirected
136	#org8	#per14	2	Undirected
137	#per5	#per971	1	Undirected
138	#per73	#pla246	1	Undirected
139	#org0	#org223	4	Undirected
140	#org0	#org175	1	Undirected
141	#org103	#pla18	1	Undirected
142	#per961	#pla217	1	Undirected
143	#pla161	#pla5	1	Undirected
144	#org221	#per977	1	Undirected
145	#org225	#pla455	4	Undirected
146	#org64	#per46	2	Undirected
147	#org4	#pla393	1	Undirected
148	#org0	#per130	3	Undirected
149	#per46	#pla41	6	Undirected
150	#org64	#per976	1	Undirected
151	#org64	#per577	1	Undirected
152	#org8	#pla4	1	Undirected
153	#per46	#per577	16	Undirected
154	#per577	#per973	1	Undirected
155	#org103	#per967	1	Undirected
156	#org4	#pla297	1	Undirected
157	#org100	#org18	1	Undirected
158	#org14	#org64	6	Undirected
159	#per1	#per961	5	Undirected
160	#per961	#pla455	1	Undirected
161	#org100	#org24	7	Undirected
162	#org0	#pla393	1	Undirected
163	#per968	#pla3	2	Undirected
164	#per46	#pla217	3	Undirected
165	#org0	#org70	12	Undirected
166	#org25	#per861	1	Undirected
167	#org22	#per972	1	Undirected
168	#per46	#pla430	1	Undirected
169	#org25	#per46	3	Undirected
170	#org122	#org4	1	Undirected
171	#pla18	#pla30	1	Undirected
172	#org221	#org25	1	Undirected
173	#per975	#pla30	1	Undirected
174	#pla3	#pla30	3	Undirected
175	#org0	#org88	4	Undirected
176	#org0	#org101	1	Undirected
177	#org122	#pla18	1	Undirected
178	#org103	#org24	1	Undirected
179	#per14	#per5	2	Undirected
180	#org0	#pla89	1	Undirected
181	#org226	#pla455	1	Undirected
182	#org64	#pla738	1	Undirected
183	#per46	#pla118	1	Undirected
184	#org101	#per46	1	Undirected
185	#per971	#per974	3	Undirected
186	#org100	#org64	2	Undirected
187	#org222	#per968	4	Undirected
188	#org113	#per969	1	Undirected
189	#per5	#pla97	1	Undirected
190	#org4	#per968	2	Undirected
191	#org184	#per861	2	Undirected
192	#org0	#pla161	1	Undirected
193	#org100	#org103	6	Undirected
194	#org0	#per5	1	Undirected
195	#per14	#pla5	1	Undirected
196	#org14	#per46	2	Undirected
197	#per5	#per976	1	Undirected
