	Source	Target	Weight	Type
0	#per14	#pla18	7	Undirected
1	#org0	#per971	3	Undirected
2	#org0	#per5	1	Undirected
3	#per974	#per977	1	Undirected
4	#org0	#pla217	3	Undirected
5	#org226	#per961	1	Undirected
6	#pla246	#pla4	1	Undirected
7	#org103	#per967	1	Undirected
8	#org0	#per861	47	Undirected
9	#org113	#org175	1	Undirected
10	#per46	#pla89	1	Undirected
11	#per14	#per15	1	Undirected
12	#org4	#per73	1	Undirected
13	#org224	#per968	2	Undirected
14	#org0	#org184	1	Undirected
15	#org175	#org4	1	Undirected
16	#org70	#pla4	1	Undirected
17	#per976	#pla69	3	Undirected
18	#org70	#per26	1	Undirected
19	#org225	#org4	4	Undirected
20	#org0	#pla41	8	Undirected
21	#org25	#pla3	1	Undirected
22	#org184	#per861	2	Undirected
23	#org0	#pla89	1	Undirected
24	#org227	#per961	1	Undirected
25	#org0	#org175	1	Undirected
26	#org24	#per976	1	Undirected
27	#per972	#per977	2	Undirected
28	#org103	#per14	7	Undirected
29	#org88	#pla72	1	Undirected
30	#per970	#pla69	2	Undirected
31	#per5	#per971	1	Undirected
32	#per46	#pla2	2	Undirected
33	#org227	#pla455	1	Undirected
34	#org0	#pla4	3	Undirected
35	#per14	#per975	1	Undirected
36	#per5	#per976	1	Undirected
37	#per974	#per976	3	Undirected
38	#org100	#pla3	3	Undirected
39	#org14	#pla69	2	Undirected
40	#org4	#pla72	1	Undirected
41	#org5	#per46	2	Undirected
42	#org0	#org122	1	Undirected
43	#per46	#per977	5	Undirected
44	#per577	#pla421	1	Undirected
45	#per1	#per46	6	Undirected
46	#org225	#pla738	1	Undirected
47	#per5	#pla30	1	Undirected
48	#per968	#pla69	7	Undirected
49	#org4	#pla545	1	Undirected
50	#org0	#org113	2	Undirected
51	#per14	#per977	1	Undirected
52	#pla3	#pla30	3	Undirected
53	#org222	#org64	6	Undirected
54	#org222	#per46	9	Undirected
55	#per14	#pla72	2	Undirected
56	#per1	#per14	1	Undirected
57	#per46	#wor4	2	Undirected
58	#org100	#per972	2	Undirected
59	#per73	#pla545	1	Undirected
60	#per971	#per974	3	Undirected
61	#per46	#pla217	3	Undirected
62	#org0	#pla30	2	Undirected
63	#org82	#per73	1	Undirected
64	#per961	#pla3	3	Undirected
65	#per861	#per971	19	Undirected
66	#org0	#org226	5	Undirected
67	#org222	#pla18	1	Undirected
68	#org13	#org64	1	Undirected
69	#org222	#per14	1	Undirected
70	#org223	#org4	1	Undirected
71	#per46	#pla18	10	Undirected
72	#per14	#per46	60	Undirected
73	#pla4	#pla545	1	Undirected
74	#per46	#pla739	4	Undirected
75	#per5	#pla97	1	Undirected
76	#org70	#wor1	1	Undirected
77	#per577	#per861	1	Undirected
78	#per861	#pla18	7	Undirected
79	#org4	#per14	13	Undirected
80	#org227	#pla41	1	Undirected
81	#org143	#org25	2	Undirected
82	#org103	#per5	1	Undirected
83	#org221	#org64	1	Undirected
84	#org103	#per861	12	Undirected
85	#org0	#org70	12	Undirected
86	#pla19	#pla455	1	Undirected
87	#org0	#pla421	1	Undirected
88	#org226	#pla738	1	Undirected
89	#org4	#per46	85	Undirected
90	#org103	#org184	1	Undirected
91	#per975	#pla30	1	Undirected
92	#per577	#per973	1	Undirected
93	#org0	#per130	3	Undirected
