	Source	Target	Via	Weight	Type
24	#per46	#org0	written	159	Directed
5	#org4	#per46	oral	68	Directed
26	#per861	#org0	oral	40	Directed
12	#per46	#per861	oral	28	Directed
31	#per46	#per14	prayer	20	Directed
7	#per961	#per46	oral	15	Directed
36	#per861	#per46	oral	13	Directed
38	#per46	#per968	oral	10	Directed
10	#org64	#per861	oral	8	Directed
1	#org100	#per577	oral	6	Directed
28	#org4	#org0	oral	5	Directed
14	#per46	#org4	oral	4	Directed
20	#per861	#org64	oral	4	Directed
9	#per968	#per46	oral	4	Directed
25	#per861	#per976	oral	3	Directed
29	#per967	#per968	oral	3	Directed
27	#per976	#per861	oral	3	Directed
0	#org4	#org0	written	3	Directed
13	#per577	#org0	written	3	Directed
4	#org223	#org0	oral	3	Directed
18	#org4	#per861	oral	2	Directed
2	#per46	#per974	oral	2	Directed
32	#org18	#org18	oral	2	Directed
17	#per861	#org223	oral	2	Directed
6	#per577	#per46	oral	2	Directed
23	#per46	#per577	oral	2	Directed
19	#per46	#per970	oral	2	Directed
15	#org100	#org100	oral	1	Directed
11	#per1	#per961	oral	1	Directed
8	#per968	#org222	oral	1	Directed
22	#per861	#per14	prayer	1	Directed
30	#per970	#per861	oral	1	Directed
3	#per977	#per46	oral	1	Directed
21	#per14	#org100	oral	1	Directed
33	#per861	#org14	oral	1	Directed
34	#org223	#per861	oral	1	Directed
35	#org0	#per14	soCalled	1	Directed
16	#org4	#org4	oral	1	Directed
37	#per577	#org100	oral	1	Directed
