	Source	Target	Weight	Type
0	#org70	#per26	912	Undirected
1	#org70	#pla126	2	Undirected
2	#org70	#pla175	4	Undirected
3	#org70	#pla354	5	Undirected
4	#org70	#pla9	22	Undirected
5	#org70	#pla919	1	Undirected
6	#org70	#pla975	1	Undirected
7	#org70	#pla976	1	Undirected
8	#org70	#pla977	1	Undirected
9	#per26	#pla126	2	Undirected
10	#per26	#pla175	4	Undirected
11	#per26	#pla354	5	Undirected
12	#per26	#pla9	24	Undirected
13	#per26	#pla919	1	Undirected
14	#per26	#pla975	1	Undirected
15	#per26	#pla976	1	Undirected
16	#per26	#pla977	1	Undirected
17	#pla126	#pla175	1	Undirected
18	#pla126	#pla354	1	Undirected
19	#pla126	#pla9	1	Undirected
20	#pla126	#pla919	1	Undirected
21	#pla126	#pla975	1	Undirected
22	#pla126	#pla976	1	Undirected
23	#pla126	#pla977	1	Undirected
24	#pla175	#pla354	1	Undirected
25	#pla175	#pla9	1	Undirected
26	#pla175	#pla919	1	Undirected
27	#pla175	#pla975	1	Undirected
28	#pla175	#pla976	1	Undirected
29	#pla175	#pla977	1	Undirected
30	#pla354	#pla9	4	Undirected
31	#pla354	#pla919	1	Undirected
32	#pla354	#pla975	1	Undirected
33	#pla354	#pla976	1	Undirected
34	#pla354	#pla977	1	Undirected
35	#pla9	#pla919	1	Undirected
36	#pla9	#pla975	1	Undirected
37	#pla9	#pla976	1	Undirected
38	#pla9	#pla977	1	Undirected
39	#pla919	#pla975	1	Undirected
40	#pla919	#pla976	1	Undirected
41	#pla919	#pla977	1	Undirected
42	#pla975	#pla976	1	Undirected
43	#pla975	#pla977	1	Undirected
44	#pla976	#pla977	1	Undirected
45	#pla125	#pla159	1	Undirected
46	#pla125	#pla494	1	Undirected
47	#pla159	#pla494	2	Undirected
48	#org70	#per14	502	Undirected
49	#per14	#per26	519	Undirected
50	#org75	#per677	1	Undirected
51	#org75	#per919	5	Undirected
52	#org75	#per924	4	Undirected
53	#org75	#pla154	2	Undirected
54	#org75	#pla488	2	Undirected
55	#org75	#pla511	1	Undirected
56	#per677	#per919	1	Undirected
57	#per677	#per924	1	Undirected
58	#per677	#pla154	1	Undirected
59	#per677	#pla488	1	Undirected
60	#per677	#pla511	1	Undirected
61	#per919	#per924	6	Undirected
62	#per919	#pla154	4	Undirected
63	#per919	#pla488	10	Undirected
64	#per919	#pla511	1	Undirected
65	#per924	#pla154	9	Undirected
66	#per924	#pla488	2	Undirected
67	#per924	#pla511	3	Undirected
68	#pla154	#pla488	4	Undirected
69	#pla154	#pla511	3	Undirected
70	#pla488	#pla511	1	Undirected
71	#org81	#per26	11	Undirected
72	#org81	#pla545	2	Undirected
73	#org81	#pla9	2	Undirected
74	#org81	#pla978	1	Undirected
75	#per26	#pla545	2	Undirected
76	#per26	#pla978	4	Undirected
77	#pla545	#pla9	1	Undirected
78	#pla545	#pla978	1	Undirected
79	#pla9	#pla978	6	Undirected
80	#org70	#pla159	24	Undirected
81	#per14	#pla159	18	Undirected
82	#per26	#pla159	24	Undirected
83	#org55	#org63	4	Undirected
84	#org55	#org70	8	Undirected
85	#org55	#per14	6	Undirected
86	#org55	#per26	8	Undirected
87	#org55	#pla112	1	Undirected
88	#org55	#pla153	1	Undirected
89	#org55	#pla156	1	Undirected
