	id	type
0	b.DEU.1.1	verse
1	b.DEU.1.2	verse
2	b.DEU.1.3	verse
3	b.DEU.1.4	verse
4	b.DEU.1.5	verse
5	b.DEU.1.6	verse
6	b.DEU.1.7	verse
7	b.DEU.1.8	verse
8	b.DEU.1.9	verse
9	b.DEU.1.10	verse
10	b.DEU.1.11	verse
11	b.DEU.1.12	verse
12	b.DEU.1.13	verse
13	b.DEU.1.14	verse
14	b.DEU.1.15	verse
15	b.DEU.1.16	verse
16	b.DEU.1.17	verse
17	b.DEU.1.18	verse
18	b.DEU.1.19	verse
19	b.DEU.1.20	verse
20	b.DEU.1.21	verse
21	b.DEU.1.22	verse
22	b.DEU.1.23	verse
23	b.DEU.1.24	verse
24	b.DEU.1.25	verse
25	b.DEU.1.26	verse
26	b.DEU.1.27	verse
27	b.DEU.1.28	verse
28	b.DEU.1.29	verse
29	b.DEU.1.30	verse
30	b.DEU.1.31	verse
31	b.DEU.1.32	verse
32	b.DEU.1.33	verse
33	b.DEU.1.34	verse
34	b.DEU.1.35	verse
35	b.DEU.1.36	verse
36	b.DEU.1.37	verse
37	b.DEU.1.38	verse
38	b.DEU.1.39	verse
39	b.DEU.1.40	verse
40	b.DEU.1.41	verse
41	b.DEU.1.42	verse
42	b.DEU.1.43	verse
43	b.DEU.1.44	verse
44	b.DEU.1.45	verse
45	b.DEU.1.46	verse
46	b.DEU.2.1	verse
47	b.DEU.2.2	verse
48	b.DEU.2.3	verse
49	b.DEU.2.4	verse
50	b.DEU.2.5	verse
51	b.DEU.2.6	verse
52	b.DEU.2.7	verse
53	b.DEU.2.8	verse
54	b.DEU.2.9	verse
55	b.DEU.2.10	verse
56	b.DEU.2.11	verse
57	b.DEU.2.12	verse
58	b.DEU.2.13	verse
59	b.DEU.2.14	verse
60	b.DEU.2.15	verse
61	b.DEU.2.16	verse
62	b.DEU.2.17	verse
63	b.DEU.2.18	verse
64	b.DEU.2.19	verse
65	b.DEU.2.20	verse
66	b.DEU.2.21	verse
67	b.DEU.2.22	verse
68	b.DEU.2.23	verse
69	b.DEU.2.24	verse
70	b.DEU.2.25	verse
71	b.DEU.2.26	verse
72	b.DEU.2.27	verse
73	b.DEU.2.28	verse
74	b.DEU.2.29	verse
75	b.DEU.2.30	verse
76	b.DEU.2.31	verse
77	b.DEU.2.32	verse
78	b.DEU.2.33	verse
79	b.DEU.2.34	verse
80	b.DEU.2.35	verse
81	b.DEU.2.36	verse
82	b.DEU.2.37	verse
83	b.DEU.3.1	verse
84	b.DEU.3.2	verse
85	b.DEU.3.3	verse
86	b.DEU.3.4	verse
87	b.DEU.3.5	verse
88	b.DEU.3.6	verse
89	b.DEU.3.7	verse
90	b.DEU.3.8	verse
91	b.DEU.3.9	verse
92	b.DEU.3.10	verse
93	b.DEU.3.11	verse
94	b.DEU.3.12	verse
95	b.DEU.3.13	verse
96	b.DEU.3.14	verse
97	b.DEU.3.15	verse
98	b.DEU.3.16	verse
99	b.DEU.3.17	verse
100	b.DEU.3.18	verse
101	b.DEU.3.19	verse
102	b.DEU.3.20	verse
103	b.DEU.3.21	verse
104	b.DEU.3.22	verse
105	b.DEU.3.23	verse
106	b.DEU.3.24	verse
107	b.DEU.3.25	verse
108	b.DEU.3.26	verse
109	b.DEU.3.27	verse
110	b.DEU.3.28	verse
111	b.DEU.3.29	verse
112	b.DEU.4.1	verse
113	b.DEU.4.2	verse
114	b.DEU.4.3	verse
115	b.DEU.4.4	verse
116	b.DEU.4.5	verse
117	b.DEU.4.6	verse
118	b.DEU.4.7	verse
119	b.DEU.4.8	verse
120	b.DEU.4.9	verse
121	b.DEU.4.10	verse
122	b.DEU.4.11	verse
123	b.DEU.4.12	verse
124	b.DEU.4.13	verse
125	b.DEU.4.14	verse
126	b.DEU.4.15	verse
127	b.DEU.4.16	verse
128	b.DEU.4.17	verse
129	b.DEU.4.18	verse
130	b.DEU.4.19	verse
131	b.DEU.4.20	verse
132	b.DEU.4.21	verse
133	b.DEU.4.22	verse
134	b.DEU.4.23	verse
135	b.DEU.4.24	verse
136	b.DEU.4.25	verse
137	b.DEU.4.26	verse
138	b.DEU.4.27	verse
139	b.DEU.4.28	verse
140	b.DEU.4.29	verse
141	b.DEU.4.30	verse
142	b.DEU.4.31	verse
143	b.DEU.4.32	verse
144	b.DEU.4.33	verse
145	b.DEU.4.34	verse
146	b.DEU.4.35	verse
147	b.DEU.4.36	verse
148	b.DEU.4.37	verse
149	b.DEU.4.38	verse
150	b.DEU.4.39	verse
151	b.DEU.4.40	verse
152	b.DEU.4.41	verse
153	b.DEU.4.42	verse
154	b.DEU.4.43	verse
155	b.DEU.4.44	verse
156	b.DEU.4.45	verse
157	b.DEU.4.46	verse
158	b.DEU.4.47	verse
159	b.DEU.4.48	verse
160	b.DEU.4.49	verse
161	b.DEU.5.1	verse
162	b.DEU.5.2	verse
163	b.DEU.5.3	verse
164	b.DEU.5.4	verse
165	b.DEU.5.5	verse
166	b.DEU.5.6	verse
167	b.DEU.5.7	verse
168	b.DEU.5.8	verse
169	b.DEU.5.9	verse
170	b.DEU.5.10	verse
171	b.DEU.5.11	verse
172	b.DEU.5.12	verse
173	b.DEU.5.13	verse
174	b.DEU.5.14	verse
175	b.DEU.5.15	verse
176	b.DEU.5.16	verse
177	b.DEU.5.17	verse
178	b.DEU.5.18	verse
179	b.DEU.5.19	verse
180	b.DEU.5.20	verse
181	b.DEU.5.21	verse
182	b.DEU.5.22	verse
183	b.DEU.5.23	verse
184	b.DEU.5.24	verse
185	b.DEU.5.25	verse
186	b.DEU.5.26	verse
187	b.DEU.5.27	verse
188	b.DEU.5.28	verse
189	b.DEU.5.29	verse
190	b.DEU.5.30	verse
191	b.DEU.5.31	verse
192	b.DEU.5.32	verse
193	b.DEU.5.33	verse
194	b.DEU.6.1	verse
195	b.DEU.6.2	verse
196	b.DEU.6.3	verse
197	b.DEU.6.4	verse
198	b.DEU.6.5	verse
199	b.DEU.6.6	verse
200	b.DEU.6.7	verse
201	b.DEU.6.8	verse
202	b.DEU.6.9	verse
203	b.DEU.6.10	verse
204	b.DEU.6.11	verse
205	b.DEU.6.12	verse
206	b.DEU.6.13	verse
207	b.DEU.6.14	verse
208	b.DEU.6.15	verse
209	b.DEU.6.16	verse
210	b.DEU.6.17	verse
211	b.DEU.6.18	verse
212	b.DEU.6.19	verse
213	b.DEU.6.20	verse
214	b.DEU.6.21	verse
215	b.DEU.6.22	verse
216	b.DEU.6.23	verse
217	b.DEU.6.24	verse
218	b.DEU.6.25	verse
219	b.DEU.7.1	verse
220	b.DEU.7.2	verse
221	b.DEU.7.3	verse
222	b.DEU.7.4	verse
223	b.DEU.7.5	verse
224	b.DEU.7.6	verse
225	b.DEU.7.7	verse
226	b.DEU.7.8	verse
227	b.DEU.7.9	verse
228	b.DEU.7.10	verse
229	b.DEU.7.11	verse
230	b.DEU.7.12	verse
231	b.DEU.7.13	verse
232	b.DEU.7.14	verse
233	b.DEU.7.15	verse
234	b.DEU.7.16	verse
235	b.DEU.7.17	verse
236	b.DEU.7.18	verse
237	b.DEU.7.19	verse
238	b.DEU.7.20	verse
239	b.DEU.7.21	verse
240	b.DEU.7.22	verse
241	b.DEU.7.23	verse
242	b.DEU.7.24	verse
243	b.DEU.7.25	verse
244	b.DEU.7.26	verse
245	b.DEU.8.1	verse
246	b.DEU.8.2	verse
247	b.DEU.8.3	verse
248	b.DEU.8.4	verse
249	b.DEU.8.5	verse
250	b.DEU.8.6	verse
251	b.DEU.8.7	verse
252	b.DEU.8.8	verse
253	b.DEU.8.9	verse
254	b.DEU.8.10	verse
255	b.DEU.8.11	verse
256	b.DEU.8.12	verse
257	b.DEU.8.13	verse
258	b.DEU.8.14	verse
259	b.DEU.8.15	verse
260	b.DEU.8.16	verse
261	b.DEU.8.17	verse
262	b.DEU.8.18	verse
263	b.DEU.8.19	verse
264	b.DEU.8.20	verse
265	b.DEU.9.1	verse
266	b.DEU.9.2	verse
267	b.DEU.9.3	verse
268	b.DEU.9.4	verse
269	b.DEU.9.5	verse
270	b.DEU.9.6	verse
271	b.DEU.9.7	verse
272	b.DEU.9.8	verse
273	b.DEU.9.9	verse
274	b.DEU.9.10	verse
275	b.DEU.9.11	verse
276	b.DEU.9.12	verse
277	b.DEU.9.13	verse
278	b.DEU.9.14	verse
279	b.DEU.9.15	verse
280	b.DEU.9.16	verse
281	b.DEU.9.17	verse
282	b.DEU.9.18	verse
283	b.DEU.9.19	verse
284	b.DEU.9.20	verse
285	b.DEU.9.21	verse
286	b.DEU.9.22	verse
287	b.DEU.9.23	verse
288	b.DEU.9.24	verse
289	b.DEU.9.25	verse
290	b.DEU.9.26	verse
291	b.DEU.9.27	verse
292	b.DEU.9.28	verse
293	b.DEU.9.29	verse
294	b.DEU.10.1	verse
295	b.DEU.10.2	verse
296	b.DEU.10.3	verse
297	b.DEU.10.4	verse
298	b.DEU.10.5	verse
299	b.DEU.10.6	verse
300	b.DEU.10.7	verse
301	b.DEU.10.8	verse
302	b.DEU.10.9	verse
303	b.DEU.10.10	verse
304	b.DEU.10.11	verse
305	b.DEU.10.12	verse
306	b.DEU.10.13	verse
307	b.DEU.10.14	verse
308	b.DEU.10.15	verse
309	b.DEU.10.16	verse
310	b.DEU.10.17	verse
311	b.DEU.10.18	verse
312	b.DEU.10.19	verse
313	b.DEU.10.20	verse
314	b.DEU.10.21	verse
315	b.DEU.10.22	verse
316	b.DEU.11.1	verse
317	b.DEU.11.2	verse
318	b.DEU.11.3	verse
319	b.DEU.11.4	verse
320	b.DEU.11.5	verse
321	b.DEU.11.6	verse
322	b.DEU.11.7	verse
323	b.DEU.11.8	verse
324	b.DEU.11.9	verse
325	b.DEU.11.10	verse
326	b.DEU.11.11	verse
327	b.DEU.11.12	verse
328	b.DEU.11.13	verse
329	b.DEU.11.14	verse
330	b.DEU.11.15	verse
331	b.DEU.11.16	verse
332	b.DEU.11.17	verse
333	b.DEU.11.18	verse
334	b.DEU.11.19	verse
335	b.DEU.11.20	verse
336	b.DEU.11.21	verse
337	b.DEU.11.22	verse
338	b.DEU.11.23	verse
339	b.DEU.11.24	verse
340	b.DEU.11.25	verse
341	b.DEU.11.26	verse
342	b.DEU.11.27	verse
343	b.DEU.11.28	verse
344	b.DEU.11.29	verse
345	b.DEU.11.30	verse
346	b.DEU.11.31	verse
347	b.DEU.11.32	verse
348	b.DEU.12.1	verse
349	b.DEU.12.2	verse
350	b.DEU.12.3	verse
351	b.DEU.12.4	verse
352	b.DEU.12.5	verse
353	b.DEU.12.6	verse
354	b.DEU.12.7	verse
355	b.DEU.12.8	verse
356	b.DEU.12.9	verse
357	b.DEU.12.10	verse
358	b.DEU.12.11	verse
359	b.DEU.12.12	verse
360	b.DEU.12.13	verse
361	b.DEU.12.14	verse
362	b.DEU.12.15	verse
363	b.DEU.12.16	verse
364	b.DEU.12.17	verse
365	b.DEU.12.18	verse
366	b.DEU.12.19	verse
367	b.DEU.12.20	verse
368	b.DEU.12.21	verse
369	b.DEU.12.22	verse
370	b.DEU.12.23	verse
371	b.DEU.12.24	verse
372	b.DEU.12.25	verse
373	b.DEU.12.26	verse
374	b.DEU.12.27	verse
375	b.DEU.12.28	verse
376	b.DEU.12.29	verse
377	b.DEU.12.30	verse
378	b.DEU.12.31	verse
379	b.DEU.12.32	verse
380	b.DEU.13.1	verse
381	b.DEU.13.2	verse
382	b.DEU.13.3	verse
383	b.DEU.13.4	verse
384	b.DEU.13.5	verse
385	b.DEU.13.6	verse
386	b.DEU.13.7	verse
387	b.DEU.13.8	verse
388	b.DEU.13.9	verse
389	b.DEU.13.10	verse
390	b.DEU.13.11	verse
391	b.DEU.13.12	verse
392	b.DEU.13.13	verse
393	b.DEU.13.14	verse
394	b.DEU.13.15	verse
395	b.DEU.13.16	verse
396	b.DEU.13.17	verse
397	b.DEU.13.18	verse
398	b.DEU.14.1	verse
399	b.DEU.14.2	verse
400	b.DEU.14.3	verse
401	b.DEU.14.4	verse
402	b.DEU.14.5	verse
403	b.DEU.14.6	verse
404	b.DEU.14.7	verse
405	b.DEU.14.8	verse
406	b.DEU.14.9	verse
407	b.DEU.14.10	verse
408	b.DEU.14.11	verse
409	b.DEU.14.12	verse
410	b.DEU.14.13	verse
411	b.DEU.14.14	verse
412	b.DEU.14.15	verse
413	b.DEU.14.16	verse
414	b.DEU.14.17	verse
415	b.DEU.14.18	verse
416	b.DEU.14.19	verse
417	b.DEU.14.20	verse
418	b.DEU.14.21	verse
419	b.DEU.14.22	verse
420	b.DEU.14.23	verse
421	b.DEU.14.24	verse
422	b.DEU.14.25	verse
423	b.DEU.14.26	verse
424	b.DEU.14.27	verse
425	b.DEU.14.28	verse
426	b.DEU.14.29	verse
427	b.DEU.15.1	verse
428	b.DEU.15.2	verse
429	b.DEU.15.3	verse
430	b.DEU.15.4	verse
431	b.DEU.15.5	verse
432	b.DEU.15.6	verse
433	b.DEU.15.7	verse
434	b.DEU.15.8	verse
435	b.DEU.15.9	verse
436	b.DEU.15.10	verse
437	b.DEU.15.11	verse
438	b.DEU.15.12	verse
439	b.DEU.15.13	verse
440	b.DEU.15.14	verse
441	b.DEU.15.15	verse
442	b.DEU.15.16	verse
443	b.DEU.15.17	verse
444	b.DEU.15.18	verse
445	b.DEU.15.19	verse
446	b.DEU.15.20	verse
447	b.DEU.15.21	verse
448	b.DEU.15.22	verse
449	b.DEU.15.23	verse
450	b.DEU.16.1	verse
451	b.DEU.16.2	verse
452	b.DEU.16.3	verse
453	b.DEU.16.4	verse
454	b.DEU.16.5	verse
455	b.DEU.16.6	verse
456	b.DEU.16.7	verse
457	b.DEU.16.8	verse
458	b.DEU.16.9	verse
459	b.DEU.16.10	verse
460	b.DEU.16.11	verse
461	b.DEU.16.12	verse
462	b.DEU.16.13	verse
463	b.DEU.16.14	verse
464	b.DEU.16.15	verse
465	b.DEU.16.16	verse
466	b.DEU.16.17	verse
467	b.DEU.16.18	verse
468	b.DEU.16.19	verse
469	b.DEU.16.20	verse
470	b.DEU.16.21	verse
471	b.DEU.16.22	verse
472	b.DEU.17.1	verse
473	b.DEU.17.2	verse
474	b.DEU.17.3	verse
475	b.DEU.17.4	verse
476	b.DEU.17.5	verse
477	b.DEU.17.6	verse
478	b.DEU.17.7	verse
479	b.DEU.17.8	verse
480	b.DEU.17.9	verse
481	b.DEU.17.10	verse
482	b.DEU.17.11	verse
483	b.DEU.17.12	verse
484	b.DEU.17.13	verse
485	b.DEU.17.14	verse
486	b.DEU.17.15	verse
487	b.DEU.17.16	verse
488	b.DEU.17.17	verse
489	b.DEU.17.18	verse
490	b.DEU.17.19	verse
491	b.DEU.17.20	verse
492	b.DEU.18.1	verse
493	b.DEU.18.2	verse
494	b.DEU.18.3	verse
495	b.DEU.18.4	verse
496	b.DEU.18.5	verse
497	b.DEU.18.6	verse
498	b.DEU.18.7	verse
499	b.DEU.18.8	verse
500	b.DEU.18.9	verse
501	b.DEU.18.10	verse
502	b.DEU.18.11	verse
503	b.DEU.18.12	verse
504	b.DEU.18.13	verse
505	b.DEU.18.14	verse
506	b.DEU.18.15	verse
507	b.DEU.18.16	verse
508	b.DEU.18.17	verse
509	b.DEU.18.18	verse
510	b.DEU.18.19	verse
511	b.DEU.18.20	verse
512	b.DEU.18.21	verse
513	b.DEU.18.22	verse
514	b.DEU.19.1	verse
515	b.DEU.19.2	verse
516	b.DEU.19.3	verse
517	b.DEU.19.4	verse
518	b.DEU.19.5	verse
519	b.DEU.19.6	verse
520	b.DEU.19.7	verse
521	b.DEU.19.8	verse
522	b.DEU.19.9	verse
523	b.DEU.19.10	verse
524	b.DEU.19.11	verse
525	b.DEU.19.12	verse
526	b.DEU.19.13	verse
527	b.DEU.19.14	verse
528	b.DEU.19.15	verse
529	b.DEU.19.16	verse
530	b.DEU.19.17	verse
531	b.DEU.19.18	verse
532	b.DEU.19.19	verse
533	b.DEU.19.20	verse
534	b.DEU.19.21	verse
535	b.DEU.20.1	verse
536	b.DEU.20.2	verse
537	b.DEU.20.3	verse
538	b.DEU.20.4	verse
539	b.DEU.20.5	verse
540	b.DEU.20.6	verse
541	b.DEU.20.7	verse
542	b.DEU.20.8	verse
543	b.DEU.20.9	verse
544	b.DEU.20.10	verse
545	b.DEU.20.11	verse
546	b.DEU.20.12	verse
547	b.DEU.20.13	verse
548	b.DEU.20.14	verse
549	b.DEU.20.15	verse
550	b.DEU.20.16	verse
551	b.DEU.20.17	verse
