	id	type
0	b.EPH.1.1	verse
1	b.EPH.1.2	verse
2	b.EPH.1.3	verse
3	b.EPH.1.4	verse
4	b.EPH.1.5	verse
5	b.EPH.1.6	verse
6	b.EPH.1.7	verse
7	b.EPH.1.8	verse
8	b.EPH.1.9	verse
9	b.EPH.1.10	verse
10	b.EPH.1.11	verse
11	b.EPH.1.12	verse
12	b.EPH.1.13	verse
13	b.EPH.1.14	verse
14	b.EPH.1.15	verse
15	b.EPH.1.16	verse
16	b.EPH.1.17	verse
17	b.EPH.1.18	verse
18	b.EPH.1.19	verse
19	b.EPH.1.20	verse
20	b.EPH.1.21	verse
21	b.EPH.1.22	verse
22	b.EPH.1.23	verse
23	b.EPH.2.1	verse
24	b.EPH.2.2	verse
25	b.EPH.2.3	verse
26	b.EPH.2.4	verse
27	b.EPH.2.5	verse
28	b.EPH.2.6	verse
29	b.EPH.2.7	verse
30	b.EPH.2.8	verse
31	b.EPH.2.9	verse
32	b.EPH.2.10	verse
33	b.EPH.2.11	verse
34	b.EPH.2.12	verse
35	b.EPH.2.13	verse
36	b.EPH.2.14	verse
37	b.EPH.2.15	verse
38	b.EPH.2.16	verse
39	b.EPH.2.17	verse
40	b.EPH.2.18	verse
41	b.EPH.2.19	verse
42	b.EPH.2.20	verse
43	b.EPH.2.21	verse
44	b.EPH.2.22	verse
45	b.EPH.3.1	verse
46	b.EPH.3.2	verse
47	b.EPH.3.3	verse
48	b.EPH.3.4	verse
49	b.EPH.3.5	verse
50	b.EPH.3.6	verse
51	b.EPH.3.7	verse
52	b.EPH.3.8	verse
53	b.EPH.3.9	verse
54	b.EPH.3.10	verse
55	b.EPH.3.11	verse
56	b.EPH.3.12	verse
57	b.EPH.3.13	verse
58	b.EPH.3.14	verse
59	b.EPH.3.15	verse
60	b.EPH.3.16	verse
61	b.EPH.3.17	verse
62	b.EPH.3.18	verse
63	b.EPH.3.19	verse
64	b.EPH.3.20	verse
65	b.EPH.3.21	verse
66	b.EPH.4.1	verse
67	b.EPH.4.2	verse
68	b.EPH.4.3	verse
69	b.EPH.4.4	verse
70	b.EPH.4.5	verse
71	b.EPH.4.6	verse
72	b.EPH.4.7	verse
73	b.EPH.4.8	verse
74	b.EPH.4.9	verse
75	b.EPH.4.10	verse
76	b.EPH.4.11	verse
77	b.EPH.4.12	verse
78	b.EPH.4.13	verse
79	b.EPH.4.14	verse
80	b.EPH.4.15	verse
81	b.EPH.4.16	verse
82	b.EPH.4.17	verse
83	b.EPH.4.18	verse
84	b.EPH.4.19	verse
85	b.EPH.4.20	verse
86	b.EPH.4.21	verse
87	b.EPH.4.22	verse
88	b.EPH.4.23	verse
89	b.EPH.4.24	verse
90	b.EPH.4.25	verse
91	b.EPH.4.26	verse
92	b.EPH.4.27	verse
93	b.EPH.4.28	verse
94	b.EPH.4.29	verse
95	b.EPH.4.30	verse
96	b.EPH.4.31	verse
97	b.EPH.4.32	verse
98	b.EPH.5.1	verse
99	b.EPH.5.2	verse
100	b.EPH.5.3	verse
101	b.EPH.5.4	verse
102	b.EPH.5.5	verse
103	b.EPH.5.6	verse
104	b.EPH.5.7	verse
105	b.EPH.5.8	verse
106	b.EPH.5.9	verse
107	b.EPH.5.10	verse
108	b.EPH.5.11	verse
109	b.EPH.5.12	verse
110	b.EPH.5.13	verse
111	b.EPH.5.14	verse
112	b.EPH.5.15	verse
113	b.EPH.5.16	verse
114	b.EPH.5.17	verse
115	b.EPH.5.18	verse
116	b.EPH.5.19	verse
117	b.EPH.5.20	verse
118	b.EPH.5.21	verse
119	b.EPH.5.22	verse
120	b.EPH.5.23	verse
121	b.EPH.5.24	verse
122	b.EPH.5.25	verse
123	b.EPH.5.26	verse
124	b.EPH.5.27	verse
125	b.EPH.5.28	verse
126	b.EPH.5.29	verse
127	b.EPH.5.30	verse
128	b.EPH.5.31	verse
129	b.EPH.5.32	verse
130	b.EPH.5.33	verse
131	b.EPH.6.1	verse
132	b.EPH.6.2	verse
133	b.EPH.6.3	verse
134	b.EPH.6.4	verse
135	b.EPH.6.5	verse
136	b.EPH.6.6	verse
137	b.EPH.6.7	verse
138	b.EPH.6.8	verse
139	b.EPH.6.9	verse
140	b.EPH.6.10	verse
141	b.EPH.6.11	verse
142	b.EPH.6.12	verse
143	b.EPH.6.13	verse
144	b.EPH.6.14	verse
145	b.EPH.6.15	verse
146	b.EPH.6.16	verse
147	b.EPH.6.17	verse
148	b.EPH.6.18	verse
149	b.EPH.6.19	verse
150	b.EPH.6.20	verse
151	b.EPH.6.21	verse
152	b.EPH.6.22	verse
153	b.EPH.6.23	verse
154	b.EPH.6.24	verse
