	Source	Target	Weight	Type
0	#per969	#pla161	2	Undirected
1	#per969	#pla455	35	Undirected
2	#per969	#pla916	2	Undirected
3	#pla161	#pla455	2	Undirected
4	#pla161	#pla916	2	Undirected
5	#pla455	#pla916	2	Undirected
6	#per969	#pla741	15	Undirected
7	#pla455	#pla741	7	Undirected
8	#org307	#pla455	10	Undirected
9	#org307	#pla738	3	Undirected
10	#pla455	#pla738	5	Undirected
11	#org308	#per969	5	Undirected
12	#org308	#pla455	3	Undirected
13	#org308	#pla741	2	Undirected
14	#org308	#pla917	1	Undirected
15	#per969	#pla917	8	Undirected
16	#pla455	#pla917	1	Undirected
17	#pla741	#pla917	1	Undirected
18	#org262	#per969	15	Undirected
19	#org122	#per1729	5	Undirected
20	#org122	#per969	16	Undirected
21	#org122	#pla917	2	Undirected
22	#per1729	#per969	11	Undirected
23	#per1729	#pla917	1	Undirected
24	#per1738	#per1751	3	Undirected
25	#per1738	#per1752	3	Undirected
26	#per1738	#per1753	3	Undirected
27	#per1738	#per1754	3	Undirected
28	#per1738	#per1756	3	Undirected
29	#per1738	#per1757	3	Undirected
30	#per1738	#per969	3	Undirected
31	#per1751	#per1752	3	Undirected
32	#per1751	#per1753	3	Undirected
33	#per1751	#per1754	3	Undirected
34	#per1751	#per1756	3	Undirected
35	#per1751	#per1757	3	Undirected
36	#per1751	#per969	3	Undirected
37	#per1752	#per1753	3	Undirected
38	#per1752	#per1754	3	Undirected
39	#per1752	#per1756	3	Undirected
40	#per1752	#per1757	3	Undirected
41	#per1752	#per969	3	Undirected
42	#per1753	#per1754	3	Undirected
43	#per1753	#per1756	3	Undirected
44	#per1753	#per1757	3	Undirected
45	#per1753	#per969	4	Undirected
46	#per1754	#per1756	3	Undirected
47	#per1754	#per1757	3	Undirected
48	#per1754	#per969	3	Undirected
49	#per1756	#per1757	3	Undirected
50	#per1756	#per969	3	Undirected
51	#per1757	#per969	3	Undirected
52	#org0	#org307	5	Undirected
53	#org0	#per1729	2	Undirected
54	#org0	#per969	11	Undirected
55	#org307	#per1729	6	Undirected
56	#org307	#per969	18	Undirected
57	#per1729	#per1738	2	Undirected
58	#per1729	#per1751	2	Undirected
59	#per1729	#per1752	2	Undirected
60	#per1729	#per1753	2	Undirected
61	#per1729	#per1754	2	Undirected
62	#per1729	#per1756	2	Undirected
63	#per1729	#per1757	2	Undirected
64	#org262	#per1735	1	Undirected
