	id	type
0	b.EST.1.1	verse
1	b.EST.1.2	verse
2	b.EST.1.3	verse
3	b.EST.1.4	verse
4	b.EST.1.5	verse
5	b.EST.1.6	verse
6	b.EST.1.7	verse
7	b.EST.1.8	verse
8	b.EST.1.9	verse
9	b.EST.1.10	verse
10	b.EST.1.11	verse
11	b.EST.1.12	verse
12	b.EST.1.13	verse
13	b.EST.1.14	verse
14	b.EST.1.15	verse
15	b.EST.1.16	verse
16	b.EST.1.17	verse
17	b.EST.1.18	verse
18	b.EST.1.19	verse
19	b.EST.1.20	verse
20	b.EST.1.21	verse
21	b.EST.1.22	verse
22	b.EST.2.1	verse
23	b.EST.2.2	verse
24	b.EST.2.3	verse
25	b.EST.2.4	verse
26	b.EST.2.5	verse
27	b.EST.2.6	verse
28	b.EST.2.7	verse
29	b.EST.2.8	verse
30	b.EST.2.9	verse
31	b.EST.2.10	verse
32	b.EST.2.11	verse
33	b.EST.2.12	verse
34	b.EST.2.13	verse
35	b.EST.2.14	verse
36	b.EST.2.15	verse
37	b.EST.2.16	verse
38	b.EST.2.17	verse
39	b.EST.2.18	verse
40	b.EST.2.19	verse
41	b.EST.2.20	verse
42	b.EST.2.21	verse
43	b.EST.2.22	verse
44	b.EST.2.23	verse
45	b.EST.3.1	verse
46	b.EST.3.2	verse
47	b.EST.3.3	verse
48	b.EST.3.4	verse
49	b.EST.3.5	verse
50	b.EST.3.6	verse
51	b.EST.3.7	verse
52	b.EST.3.8	verse
53	b.EST.3.9	verse
54	b.EST.3.10	verse
55	b.EST.3.11	verse
56	b.EST.3.12	verse
57	b.EST.3.13	verse
58	b.EST.3.14	verse
59	b.EST.3.15	verse
60	b.EST.4.1	verse
61	b.EST.4.2	verse
62	b.EST.4.3	verse
63	b.EST.4.4	verse
64	b.EST.4.5	verse
65	b.EST.4.6	verse
66	b.EST.4.7	verse
67	b.EST.4.8	verse
68	b.EST.4.9	verse
69	b.EST.4.10	verse
70	b.EST.4.11	verse
71	b.EST.4.12	verse
72	b.EST.4.13	verse
73	b.EST.4.14	verse
74	b.EST.4.15	verse
75	b.EST.4.16	verse
76	b.EST.4.17	verse
77	b.EST.5.1	verse
78	b.EST.5.2	verse
79	b.EST.5.3	verse
80	b.EST.5.4	verse
81	b.EST.5.5	verse
82	b.EST.5.6	verse
83	b.EST.5.7	verse
84	b.EST.5.8	verse
85	b.EST.5.9	verse
86	b.EST.5.10	verse
87	b.EST.5.11	verse
88	b.EST.5.12	verse
89	b.EST.5.13	verse
90	b.EST.5.14	verse
91	b.EST.6.1	verse
92	b.EST.6.2	verse
93	b.EST.6.3	verse
94	b.EST.6.4	verse
95	b.EST.6.5	verse
96	b.EST.6.6	verse
97	b.EST.6.7	verse
98	b.EST.6.8	verse
99	b.EST.6.9	verse
100	b.EST.6.10	verse
101	b.EST.6.11	verse
102	b.EST.6.12	verse
103	b.EST.6.13	verse
104	b.EST.6.14	verse
105	b.EST.7.1	verse
106	b.EST.7.2	verse
107	b.EST.7.3	verse
108	b.EST.7.4	verse
109	b.EST.7.5	verse
110	b.EST.7.6	verse
111	b.EST.7.7	verse
112	b.EST.7.8	verse
113	b.EST.7.9	verse
114	b.EST.7.10	verse
115	b.EST.8.1	verse
116	b.EST.8.2	verse
117	b.EST.8.3	verse
118	b.EST.8.4	verse
119	b.EST.8.5	verse
120	b.EST.8.6	verse
121	b.EST.8.7	verse
122	b.EST.8.8	verse
123	b.EST.8.9	verse
124	b.EST.8.10	verse
125	b.EST.8.11	verse
126	b.EST.8.12	verse
127	b.EST.8.13	verse
128	b.EST.8.14	verse
129	b.EST.8.15	verse
130	b.EST.8.16	verse
131	b.EST.8.17	verse
132	b.EST.9.1	verse
133	b.EST.9.2	verse
134	b.EST.9.3	verse
135	b.EST.9.4	verse
136	b.EST.9.5	verse
137	b.EST.9.6	verse
138	b.EST.9.7	verse
139	b.EST.9.8	verse
140	b.EST.9.9	verse
141	b.EST.9.10	verse
142	b.EST.9.11	verse
143	b.EST.9.12	verse
144	b.EST.9.13	verse
145	b.EST.9.14	verse
146	b.EST.9.15	verse
147	b.EST.9.16	verse
148	b.EST.9.17	verse
149	b.EST.9.18	verse
150	b.EST.9.19	verse
151	b.EST.9.20	verse
152	b.EST.9.21	verse
153	b.EST.9.22	verse
154	b.EST.9.23	verse
155	b.EST.9.24	verse
156	b.EST.9.25	verse
157	b.EST.9.26	verse
158	b.EST.9.27	verse
159	b.EST.9.28	verse
160	b.EST.9.29	verse
161	b.EST.9.30	verse
162	b.EST.9.31	verse
163	b.EST.9.32	verse
164	b.EST.10.1	verse
165	b.EST.10.2	verse
166	b.EST.10.3	verse
