	Source	Target	Via	Weight	Type
11	#per969	#per1727	oral	9	Directed
12	#per1727	#per969	oral	7	Directed
5	#per1728	#per969	oral	5	Directed
1	#per1735	#per969	oral	5	Directed
13	#per969	#org262	oral	4	Directed
6	#per969	#per1728	oral	4	Directed
3	#org307	#per969	oral	3	Directed
10	#per1734	#per1727	idea	2	Directed
14	#per1728	#org310	oral	2	Directed
8	#per1734	#per1726	idea	2	Directed
9	#per1726	#per1734	oral	2	Directed
7	#per1727	#per1734	oral	2	Directed
16	#org262	#per969	oral	2	Directed
18	#org262	#org0	idea	1	Directed
20	#per1732	#per1728	oral	1	Directed
21	#per1753	#per969	oral	1	Directed
19	#per1728	#org0	oral	1	Directed
0	#per969	#per1750	oral	1	Directed
17	#per1728	#per1728	thought	1	Directed
15	#org310	#per1728	oral	1	Directed
4	#org262	#per1726	oral	1	Directed
2	#org122	#org122	soCalled	1	Directed
22	#per969	#per1753	oral	1	Directed
