	id	type
0	b.EXO.1.1	verse
1	b.EXO.1.2	verse
2	b.EXO.1.3	verse
3	b.EXO.1.4	verse
4	b.EXO.1.5	verse
5	b.EXO.1.6	verse
6	b.EXO.1.7	verse
7	b.EXO.1.8	verse
8	b.EXO.1.9	verse
9	b.EXO.1.10	verse
10	b.EXO.1.11	verse
11	b.EXO.1.12	verse
12	b.EXO.1.13	verse
13	b.EXO.1.14	verse
14	b.EXO.1.15	verse
15	b.EXO.1.16	verse
16	b.EXO.1.17	verse
17	b.EXO.1.18	verse
18	b.EXO.1.19	verse
19	b.EXO.1.20	verse
20	b.EXO.1.21	verse
21	b.EXO.1.22	verse
22	b.EXO.2.1	verse
23	b.EXO.2.2	verse
24	b.EXO.2.3	verse
25	b.EXO.2.4	verse
26	b.EXO.2.5	verse
27	b.EXO.2.6	verse
28	b.EXO.2.7	verse
29	b.EXO.2.8	verse
30	b.EXO.2.9	verse
31	b.EXO.2.10	verse
32	b.EXO.2.11	verse
33	b.EXO.2.12	verse
34	b.EXO.2.13	verse
35	b.EXO.2.14	verse
36	b.EXO.2.15	verse
37	b.EXO.2.16	verse
38	b.EXO.2.17	verse
39	b.EXO.2.18	verse
40	b.EXO.2.19	verse
41	b.EXO.2.20	verse
42	b.EXO.2.21	verse
43	b.EXO.2.22	verse
44	b.EXO.2.23	verse
45	b.EXO.2.24	verse
46	b.EXO.2.25	verse
47	b.EXO.3.1	verse
48	b.EXO.3.2	verse
49	b.EXO.3.3	verse
50	b.EXO.3.4	verse
51	b.EXO.3.5	verse
52	b.EXO.3.6	verse
53	b.EXO.3.7	verse
54	b.EXO.3.8	verse
55	b.EXO.3.9	verse
56	b.EXO.3.10	verse
57	b.EXO.3.11	verse
58	b.EXO.3.12	verse
59	b.EXO.3.13	verse
60	b.EXO.3.14	verse
61	b.EXO.3.15	verse
62	b.EXO.3.16	verse
63	b.EXO.3.17	verse
64	b.EXO.3.18	verse
65	b.EXO.3.19	verse
66	b.EXO.3.20	verse
67	b.EXO.3.21	verse
68	b.EXO.3.22	verse
69	b.EXO.4.1	verse
70	b.EXO.4.2	verse
71	b.EXO.4.3	verse
72	b.EXO.4.4	verse
73	b.EXO.4.5	verse
74	b.EXO.4.6	verse
75	b.EXO.4.7	verse
76	b.EXO.4.8	verse
77	b.EXO.4.9	verse
78	b.EXO.4.10	verse
79	b.EXO.4.11	verse
80	b.EXO.4.12	verse
81	b.EXO.4.13	verse
82	b.EXO.4.14	verse
