	Source	Target	Weight	Type
0	#per26	#pla84	22	Undirected
1	#org69	#org70	3	Undirected
2	#per305	#per423	1	Undirected
3	#per109	#per305	1	Undirected
4	#per26	#pla5	84	Undirected
5	#org129	#per608	1	Undirected
6	#pla5	#tim6	2	Undirected
7	#org54	#org63	6	Undirected
8	#per124	#per317	1	Undirected
9	#org22	#org70	1	Undirected
10	#org70	#per5	1	Undirected
11	#org130	#per26	6	Undirected
12	#org57	#org88	1	Undirected
13	#per104	#per14	1	Undirected
14	#per495	#per578	3	Undirected
15	#org63	#org74	7	Undirected
16	#org25	#org88	1	Undirected
17	#per585	#pla84	1	Undirected
18	#per14	#pla176	13	Undirected
19	#per125	#per426	1	Undirected
20	#per109	#per423	1	Undirected
21	#org22	#wor1	1	Undirected
22	#per26	#per613	6	Undirected
23	#per14	#pla159	27	Undirected
24	#per14	#wor1	2	Undirected
25	#per606	#per608	1	Undirected
26	#org91	#per26	2	Undirected
27	#org25	#pla84	1	Undirected
28	#pla140	#pla251	1	Undirected
29	#pla159	#pla259	1	Undirected
30	#org65	#per579	1	Undirected
31	#org63	#tim5	1	Undirected
32	#org103	#per500	3	Undirected
33	#per585	#per614	1	Undirected
34	#per26	#tim17	2	Undirected
35	#per583	#pla249	4	Undirected
36	#org39	#per615	3	Undirected
37	#per496	#per614	1	Undirected
38	#per613	#per615	3	Undirected
39	#per14	#pla18	2	Undirected
40	#per26	#per604	1	Undirected
41	#org55	#per14	6	Undirected
42	#org25	#per500	6	Undirected
43	#per500	#pla263	10	Undirected
44	#per605	#pla73	1	Undirected
45	#org65	#pla176	1	Undirected
46	#per120	#per122	1	Undirected
47	#org101	#per26	6	Undirected
48	#per584	#pla176	1	Undirected
49	#org95	#per14	6	Undirected
50	#org39	#per613	3	Undirected
51	#org130	#per585	1	Undirected
52	#org101	#per578	1	Undirected
53	#per500	#per503	1	Undirected
54	#org122	#org95	1	Undirected
55	#org132	#per14	29	Undirected
56	#per583	#pla159	2	Undirected
57	#org70	#per604	1	Undirected
58	#per104	#per26	1	Undirected
59	#per607	#per608	1	Undirected
60	#per426	#per496	1	Undirected
61	#org101	#org4	1	Undirected
62	#org40	#per109	1	Undirected
63	#per499	#per614	5	Undirected
64	#org70	#per3	4	Undirected
65	#per4	#per423	1	Undirected
66	#per14	#pla253	1	Undirected
67	#org100	#org14	1	Undirected
68	#org65	#per580	1	Undirected
69	#pla5	#tim19	1	Undirected
70	#per14	#pla258	3	Undirected
71	#per613	#per616	3	Undirected
72	#per121	#per122	1	Undirected
73	#per14	#per585	116	Undirected
74	#org131	#org16	2	Undirected
75	#org70	#pla254	1	Undirected
76	#org25	#per26	16	Undirected
77	#per500	#per601	1	Undirected
78	#per26	#pla147	1	Undirected
79	#org19	#per14	3	Undirected
80	#org103	#pla159	1	Undirected
81	#org45	#per447	1	Undirected
82	#org70	#per14	376	Undirected
83	#tim20	#tim6	2	Undirected
84	#per593	#per595	1	Undirected
85	#per583	#per584	4	Undirected
86	#per26	#tim3	1	Undirected
87	#per441	#per586	1	Undirected
88	#org14	#org24	1	Undirected
89	#per617	#per618	3	Undirected
90	#org70	#wor1	2	Undirected
91	#per600	#per602	1	Undirected
92	#org22	#per14	1	Undirected
93	#org103	#per26	17	Undirected
94	#per181	#per26	2	Undirected
95	#org70	#per272	1	Undirected
96	#per604	#per609	1	Undirected
97	#per26	#per605	2	Undirected
98	#per181	#per618	3	Undirected
99	#per124	#per447	1	Undirected
100	#per4	#pla5	4	Undirected
101	#org22	#per4	1	Undirected
102	#per125	#per14	1	Undirected
103	#pla175	#pla253	2	Undirected
104	#org101	#per500	1	Undirected
105	#org66	#pla84	3	Undirected
106	#org65	#tim5	1	Undirected
107	#org46	#per349	2	Undirected
108	#org88	#tim20	1	Undirected
109	#org91	#per617	3	Undirected
110	#pla176	#pla5	7	Undirected
111	#org63	#pla5	2	Undirected
112	#per317	#per441	1	Undirected
113	#pla253	#pla255	2	Undirected
114	#per26	#pla175	10	Undirected
115	#per124	#per441	1	Undirected
116	#org132	#per604	1	Undirected
117	#org45	#per586	1	Undirected
118	#per14	#wor7	8	Undirected
119	#per591	#per592	1	Undirected
120	#per2	#pla5	2	Undirected
121	#per585	#pla253	1	Undirected
122	#per125	#per215	1	Undirected
123	#per14	#per580	3	Undirected
124	#org74	#tim20	1	Undirected
125	#org18	#org19	2	Undirected
126	#org65	#pla255	1	Undirected
127	#org88	#per4	17	Undirected
128	#org25	#per4	1	Undirected
129	#org88	#per104	3	Undirected
130	#org69	#per500	1	Undirected
131	#per583	#pla84	1	Undirected
132	#org81	#pla84	1	Undirected
133	#org14	#pla5	3	Undirected
134	#org45	#per342	1	Undirected
135	#per14	#pla64	1	Undirected
136	#org63	#tim20	1	Undirected
137	#org14	#org81	1	Undirected
138	#pla176	#pla259	1	Undirected
139	#per500	#pla5	22	Undirected
140	#org69	#per26	5	Undirected
141	#org88	#tim5	1	Undirected
142	#org88	#per26	17	Undirected
143	#per496	#per582	2	Undirected
144	#org39	#org70	1	Undirected
145	#per500	#per611	1	Undirected
146	#org65	#per578	5	Undirected
147	#per26	#pla18	2	Undirected
148	#per109	#per4	1	Undirected
149	#per497	#per581	2	Undirected
150	#per341	#per441	1	Undirected
151	#per109	#per448	1	Undirected
152	#org103	#org70	12	Undirected
153	#org53	#pla5	1	Undirected
