	Source	Target	Weight	Type
0	#pla448	#pla5	2	Undirected
1	#pla424	#pla90	1	Undirected
2	#per858	#pla41	4	Undirected
3	#org174	#org70	4	Undirected
4	#pla22	#pla435	2	Undirected
5	#pla4	#pla41	9	Undirected
6	#pla448	#pla449	1	Undirected
7	#org0	#org172	4	Undirected
8	#per859	#pla423	1	Undirected
9	#per859	#wor1	2	Undirected
10	#pla39	#pla468	1	Undirected
11	#org24	#pla5	2	Undirected
12	#org45	#org70	1	Undirected
13	#pla435	#pla436	1	Undirected
14	#org174	#org24	3	Undirected
15	#pla3	#pla371	1	Undirected
16	#pla151	#pla428	1	Undirected
17	#org178	#pla5	1	Undirected
18	#pla22	#pla428	2	Undirected
19	#org0	#pla76	2	Undirected
20	#org15	#org70	1	Undirected
21	#pla2	#pla371	1	Undirected
22	#org18	#pla41	1	Undirected
23	#per864	#pla30	1	Undirected
24	#per866	#per871	2	Undirected
25	#org17	#per14	5	Undirected
26	#per867	#pla69	1	Undirected
27	#pla154	#pla22	1	Undirected
28	#org171	#pla16	1	Undirected
29	#per859	#pla454	1	Undirected
30	#pla161	#pla447	1	Undirected
31	#pla3	#pla84	1	Undirected
32	#pla4	#pla419	1	Undirected
33	#pla296	#pla445	1	Undirected
34	#per14	#pla464	2	Undirected
35	#org88	#per859	11	Undirected
36	#pla14	#pla4	1	Undirected
37	#org70	#per871	2	Undirected
38	#per859	#pla80	5	Undirected
39	#org111	#per859	3	Undirected
40	#per859	#pla432	2	Undirected
41	#org65	#per14	44	Undirected
42	#org0	#pla456	1	Undirected
43	#org102	#org122	1	Undirected
44	#org40	#org46	1	Undirected
45	#org103	#pla22	1	Undirected
46	#org135	#org63	1	Undirected
47	#org43	#per859	1	Undirected
48	#per14	#pla444	1	Undirected
49	#per859	#pla393	1	Undirected
50	#org70	#per4	3	Undirected
51	#pla3	#pla4	16	Undirected
52	#per859	#wor10	2	Undirected
53	#org82	#pla30	1	Undirected
54	#org40	#pla4	1	Undirected
55	#ani0	#per14	5	Undirected
56	#per859	#pla420	1	Undirected
57	#pla162	#pla443	1	Undirected
58	#per14	#pla329	2	Undirected
59	#org102	#per859	10	Undirected
60	#per149	#per859	1	Undirected
61	#org8	#wor1	1	Undirected
62	#org49	#org91	1	Undirected
63	#pla416	#pla69	1	Undirected
64	#org0	#pla41	23	Undirected
65	#pla153	#pla329	2	Undirected
66	#org19	#pla41	3	Undirected
67	#per272	#pla425	1	Undirected
68	#org0	#org173	2	Undirected
69	#per4	#pla23	1	Undirected
70	#org180	#org70	1	Undirected
71	#org17	#org79	1	Undirected
72	#per859	#pla464	2	Undirected
73	#org100	#per14	22	Undirected
74	#org126	#pla428	1	Undirected
75	#pla39	#pla467	2	Undirected
76	#per14	#per864	1	Undirected
77	#pla422	#pla423	1	Undirected
78	#org131	#per14	1	Undirected
79	#per14	#per871	2	Undirected
80	#pla246	#pla428	1	Undirected
81	#org0	#org101	3	Undirected
82	#pla156	#pla446	1	Undirected
83	#per73	#per859	7	Undirected
84	#per859	#pla441	1	Undirected
85	#per1	#per859	1	Undirected
86	#org39	#per272	1	Undirected
87	#pla153	#pla22	13	Undirected
88	#per858	#pla438	1	Undirected
89	#pla3	#pla416	1	Undirected
90	#pla41	#pla437	1	Undirected
91	#org65	#pla424	1	Undirected
92	#pla13	#pla39	1	Undirected
93	#org105	#per859	1	Undirected
94	#per125	#per81	1	Undirected
95	#org122	#pla30	1	Undirected
96	#org19	#org70	15	Undirected
97	#org65	#pla246	1	Undirected
98	#org179	#pla4	1	Undirected
99	#org131	#pla22	1	Undirected
100	#per14	#pla437	5	Undirected
101	#per859	#pla436	5	Undirected
102	#org0	#pla118	1	Undirected
103	#org22	#pla465	1	Undirected
104	#org18	#pla4	2	Undirected
105	#org19	#pla246	1	Undirected
106	#org0	#pla246	1	Undirected
107	#org70	#pla2	5	Undirected
108	#per859	#pla453	1	Undirected
109	#org108	#pla22	5	Undirected
110	#pla22	#pla445	1	Undirected
111	#per859	#pla162	3	Undirected
112	#org46	#pla30	1	Undirected
113	#org133	#per14	1	Undirected
114	#org174	#pla4	3	Undirected
115	#pla22	#pla432	2	Undirected
116	#org49	#pla57	1	Undirected
117	#per859	#pla449	1	Undirected
118	#org70	#pla80	4	Undirected
119	#org0	#org166	1	Undirected
120	#org0	#org114	1	Undirected
121	#pla4	#pla464	1	Undirected
122	#pla161	#pla297	1	Undirected
123	#pla295	#pla449	1	Undirected
124	#per859	#pla154	2	Undirected
125	#pla174	#pla444	1	Undirected
126	#pla263	#pla30	3	Undirected
127	#org175	#org60	1	Undirected
128	#pla254	#pla447	2	Undirected
129	#org150	#org70	1	Undirected
130	#org15	#per859	1	Undirected
131	#per14	#per272	3	Undirected
132	#per14	#pla436	5	Undirected
133	#per14	#pla18	1	Undirected
134	#pla425	#pla426	1	Undirected
135	#org70	#tim5	1	Undirected
136	#org102	#org12	2	Undirected
137	#org42	#org70	1	Undirected
138	#org65	#pla436	1	Undirected
139	#pla153	#pla459	1	Undirected
140	#org114	#pla118	1	Undirected
141	#per859	#pla72	2	Undirected
142	#pla162	#pla174	1	Undirected
143	#per14	#pla422	1	Undirected
144	#org176	#pla432	1	Undirected
145	#org12	#org70	45	Undirected
146	#pla22	#pla444	1	Undirected
147	#org122	#pla453	1	Undirected
148	#org46	#pla321	1	Undirected
149	#org53	#org65	1	Undirected
150	#pla423	#pla69	1	Undirected
151	#per14	#pla22	58	Undirected
152	#org14	#per14	26	Undirected
153	#pla295	#pla5	3	Undirected
154	#org100	#org24	1	Undirected
155	#org70	#pla460	2	Undirected
156	#pla131	#pla4	1	Undirected
157	#per14	#pla443	1	Undirected
158	#org100	#org65	6	Undirected
159	#per272	#pla427	1	Undirected
160	#org65	#pla422	1	Undirected
161	#org51	#pla416	2	Undirected
162	#org4	#pla3	5	Undirected
163	#pla460	#pla461	1	Undirected
164	#per272	#per859	3	Undirected
165	#org137	#per14	1	Undirected
166	#per14	#pla438	2	Undirected
167	#per14	#pla426	1	Undirected
168	#pla22	#pla431	1	Undirected
169	#per14	#pla433	1	Undirected
170	#pla452	#pla453	1	Undirected
171	#org143	#per14	34	Undirected
172	#per14	#pla161	4	Undirected
173	#per859	#pla13	2	Undirected
174	#pla22	#pla4	1	Undirected
175	#per859	#pla451	2	Undirected
176	#org17	#pla16	1	Undirected
177	#org41	#org70	1	Undirected
178	#per17	#pla30	2	Undirected
179	#pla23	#pla4	2	Undirected
180	#per14	#pla428	4	Undirected
181	#org16	#org65	1	Undirected
182	#per73	#pla3	1	Undirected
183	#per14	#per81	4	Undirected
