	Source	Target	Weight	Type
0	#pla153	#pla355	1	Undirected
1	#org174	#org24	3	Undirected
2	#pla444	#pla446	1	Undirected
3	#per859	#pla468	2	Undirected
4	#org143	#org25	4	Undirected
5	#pla266	#pla463	1	Undirected
6	#org100	#org12	1	Undirected
7	#pla131	#pla254	1	Undirected
8	#org16	#org19	1	Undirected
9	#org19	#org25	1	Undirected
10	#pla2	#pla22	1	Undirected
11	#org47	#per14	1	Undirected
12	#org25	#pla41	2	Undirected
13	#org180	#per859	2	Undirected
14	#per864	#pla39	1	Undirected
15	#org40	#org70	1	Undirected
16	#per14	#wor1	2	Undirected
17	#per859	#pla455	1	Undirected
18	#per14	#pla23	7	Undirected
19	#pla153	#pla470	2	Undirected
20	#per14	#pla435	2	Undirected
21	#org45	#org47	1	Undirected
22	#org8	#per859	4	Undirected
23	#pla151	#pla162	1	Undirected
24	#per2	#pla4	1	Undirected
25	#per14	#pla18	1	Undirected
26	#per14	#pla448	2	Undirected
27	#pla22	#pla437	1	Undirected
28	#org4	#per859	11	Undirected
29	#org0	#org172	4	Undirected
30	#org79	#per14	5	Undirected
31	#pla452	#pla5	1	Undirected
32	#org46	#pla321	1	Undirected
33	#org100	#pla41	4	Undirected
34	#org0	#org81	2	Undirected
35	#pla3	#pla371	1	Undirected
36	#org100	#pla433	1	Undirected
37	#org175	#org60	1	Undirected
38	#org70	#pla321	2	Undirected
39	#org64	#pla424	1	Undirected
40	#org174	#pla451	1	Undirected
41	#org101	#pla4	2	Undirected
42	#org171	#org64	1	Undirected
43	#per5	#per73	1	Undirected
44	#per14	#per870	1	Undirected
45	#org70	#pla462	1	Undirected
46	#org70	#pla70	1	Undirected
47	#pla13	#pla39	1	Undirected
48	#per14	#pla459	1	Undirected
49	#pla22	#pla439	1	Undirected
50	#org0	#per272	1	Undirected
51	#org70	#pla39	4	Undirected
52	#pla355	#pla459	1	Undirected
53	#org70	#pla466	2	Undirected
54	#pla298	#pla428	1	Undirected
55	#per14	#pla461	1	Undirected
56	#org137	#per859	1	Undirected
57	#org0	#pla456	1	Undirected
58	#org70	#pla461	1	Undirected
59	#pla151	#pla428	1	Undirected
60	#org70	#per14	446	Undirected
61	#per870	#pla39	1	Undirected
62	#pla266	#pla465	2	Undirected
63	#pla460	#pla461	1	Undirected
64	#per14	#per47	4	Undirected
65	#pla153	#pla459	1	Undirected
66	#org24	#org60	1	Undirected
67	#org70	#wor1	1	Undirected
68	#org22	#per14	19	Undirected
69	#per14	#pla70	1	Undirected
70	#pla2	#pla439	1	Undirected
71	#per4	#pla5	1	Undirected
72	#org22	#per4	1	Undirected
73	#per14	#per272	3	Undirected
74	#per14	#pla458	1	Undirected
75	#org100	#pla162	1	Undirected
76	#org111	#pla41	1	Undirected
77	#pla15	#pla156	1	Undirected
78	#pla4	#pla51	7	Undirected
79	#org179	#per14	2	Undirected
80	#per14	#pla428	4	Undirected
81	#per864	#pla30	1	Undirected
82	#org24	#pla41	1	Undirected
83	#per859	#pla5	61	Undirected
84	#org133	#per859	1	Undirected
85	#org12	#org16	1	Undirected
86	#pla151	#pla153	1	Undirected
87	#per14	#pla467	2	Undirected
88	#org18	#org19	6	Undirected
89	#org12	#org180	2	Undirected
90	#per14	#pla442	1	Undirected
91	#org88	#per4	1	Undirected
92	#pla470	#pla471	1	Undirected
93	#org40	#pla4	1	Undirected
94	#org0	#org19	6	Undirected
95	#org70	#pla4	157	Undirected
96	#pla4	#wor10	1	Undirected
97	#per859	#pla3	88	Undirected
98	#per859	#pla428	4	Undirected
99	#per35	#per859	4	Undirected
100	#org46	#per859	6	Undirected
101	#pla22	#pla80	1	Undirected
102	#pla444	#pla90	1	Undirected
103	#org64	#pla423	1	Undirected
104	#org122	#pla452	1	Undirected
105	#org12	#org143	1	Undirected
106	#per859	#pla295	3	Undirected
107	#org100	#org108	1	Undirected
108	#pla153	#pla22	13	Undirected
109	#per14	#pla15	4	Undirected
110	#org70	#per864	1	Undirected
111	#pla4	#wor1	1	Undirected
112	#org0	#per73	4	Undirected
113	#per14	#pla469	2	Undirected
114	#org111	#per14	3	Undirected
115	#org70	#pla3	29	Undirected
116	#pla311	#pla80	1	Undirected
117	#per14	#pla9	1	Undirected
118	#org175	#per859	2	Undirected
119	#org42	#per14	1	Undirected
120	#org16	#org22	2	Undirected
121	#per859	#pla88	1	Undirected
122	#org174	#pla446	3	Undirected
123	#pla431	#pla5	1	Undirected
124	#per46	#per845	4	Undirected
125	#pla3	#pla321	1	Undirected
126	#org16	#pla5	1	Undirected
127	#per14	#per35	4	Undirected
128	#org16	#pla4	4	Undirected
129	#per859	#pla463	1	Undirected
130	#org172	#per859	9	Undirected
131	#org46	#per125	1	Undirected
132	#org111	#per859	3	Undirected
133	#org12	#org4	4	Undirected
134	#org0	#org133	1	Undirected
135	#per858	#pla436	3	Undirected
136	#org70	#tim5	1	Undirected
137	#per272	#pla125	1	Undirected
138	#org135	#per14	10	Undirected
139	#per859	#pla433	1	Undirected
140	#pla176	#pla4	2	Undirected
141	#pla22	#pla432	2	Undirected
142	#org0	#pla76	2	Undirected
143	#org0	#pla3	28	Undirected
144	#org70	#per17	7	Undirected
145	#per859	#pla90	3	Undirected
146	#org22	#pla311	1	Undirected
147	#org8	#per858	1	Undirected
148	#org174	#per859	58	Undirected
149	#per859	#pla263	5	Undirected
150	#per858	#pla428	1	Undirected
151	#org100	#pla153	3	Undirected
