	Source	Target	Weight	Type
0	#org258	#org260	1	Undirected
1	#org143	#per1328	1	Undirected
2	#org13	#org95	1	Undirected
3	#org225	#per1125	1	Undirected
4	#org252	#per14	1	Undirected
5	#org171	#per1266	1	Undirected
6	#per1097	#per1103	1	Undirected
7	#per1066	#per13	1	Undirected
8	#org70	#per1077	1	Undirected
9	#per1075	#per1339	1	Undirected
10	#per574	#pla3	1	Undirected
11	#per1081	#pla9	1	Undirected
12	#per1097	#per1295	1	Undirected
13	#per1386	#per973	1	Undirected
14	#org258	#per1083	1	Undirected
15	#org131	#pla30	1	Undirected
16	#org13	#per1088	3	Undirected
17	#per1053	#pla4	10	Undirected
18	#per1125	#pla3	9	Undirected
19	#org12	#per1076	1	Undirected
20	#per1055	#per1330	2	Undirected
21	#org16	#org55	1	Undirected
22	#per1344	#per1407	1	Undirected
23	#org262	#pla741	1	Undirected
24	#org16	#per1313	1	Undirected
25	#per1056	#per1082	1	Undirected
26	#pla3	#wor1	1	Undirected
27	#per1256	#per1341	1	Undirected
28	#per1090	#per1389	1	Undirected
29	#per1057	#per1390	1	Undirected
30	#org12	#pla823	1	Undirected
31	#per1098	#per1191	1	Undirected
32	#org16	#pla41	1	Undirected
33	#pla153	#pla455	1	Undirected
34	#org0	#pla69	1	Undirected
35	#org100	#per1053	2	Undirected
36	#per1129	#per1302	1	Undirected
37	#per1088	#pla30	10	Undirected
38	#pla4	#tim6	1	Undirected
39	#per1109	#per1196	1	Undirected
40	#per14	#pla90	2	Undirected
41	#per1187	#per14	3	Undirected
42	#org55	#org63	1	Undirected
43	#org70	#per1079	1	Undirected
44	#per1053	#pla69	2	Undirected
45	#pla2	#pla3	9	Undirected
46	#per1329	#per1386	1	Undirected
47	#per1071	#per1108	1	Undirected
48	#org256	#per1122	1	Undirected
49	#per969	#pla2	1	Undirected
50	#per1088	#pla4	6	Undirected
51	#per1331	#per1357	1	Undirected
52	#org16	#pla84	1	Undirected
53	#org46	#pla455	1	Undirected
54	#per1114	#per1168	1	Undirected
55	#per1329	#pla3	4	Undirected
56	#per1067	#per1081	1	Undirected
57	#org171	#per1351	1	Undirected
58	#per1361	#pla18	1	Undirected
59	#per1244	#per1271	1	Undirected
60	#org95	#per1125	3	Undirected
61	#per1366	#per1396	1	Undirected
62	#org39	#pla69	1	Undirected
63	#org171	#per1332	1	Undirected
64	#per14	#pla3	32	Undirected
65	#per1155	#per1254	1	Undirected
66	#per1361	#pla820	1	Undirected
67	#org171	#per1059	1	Undirected
68	#per1077	#per1105	1	Undirected
69	#pla30	#pla69	5	Undirected
70	#per1077	#per1271	1	Undirected
71	#org252	#per1056	1	Undirected
72	#per1302	#per1407	1	Undirected
73	#org16	#pla4	6	Undirected
74	#per1089	#per1202	1	Undirected
75	#per1243	#per1397	1	Undirected
76	#org24	#per1088	1	Undirected
77	#per1395	#per1409	1	Undirected
78	#per1081	#per1125	1	Undirected
79	#per1252	#pla30	1	Undirected
80	#per1113	#per35	1	Undirected
81	#per1149	#per1374	1	Undirected
82	#per1110	#per1346	1	Undirected
83	#org70	#per1302	1	Undirected
84	#per1079	#per1160	1	Undirected
85	#pla30	#tim6	1	Undirected
86	#org25	#org50	1	Undirected
87	#per1075	#per1313	1	Undirected
88	#per1330	#pla4	1	Undirected
89	#org46	#per1383	1	Undirected
90	#per1271	#per1345	1	Undirected
91	#per1059	#per1349	1	Undirected
92	#per1059	#per1336	1	Undirected
93	#per1328	#pla3	9	Undirected
94	#per1056	#per1397	1	Undirected
95	#org25	#per14	14	Undirected
96	#per1079	#per1410	1	Undirected
97	#per1394	#per1408	1	Undirected
98	#per1187	#pla3	2	Undirected
99	#org0	#pla815	1	Undirected
100	#per1060	#pla4	1	Undirected
101	#per1057	#per1070	1	Undirected
102	#org70	#per1125	1	Undirected
103	#org66	#per1053	1	Undirected
104	#per1253	#per1266	1	Undirected
105	#org12	#per1241	1	Undirected
106	#per1328	#pla741	1	Undirected
107	#org70	#pla18	1	Undirected
108	#per861	#pla820	1	Undirected
109	#org171	#pla18	1	Undirected
110	#org257	#per26	1	Undirected
111	#per1110	#per1411	1	Undirected
112	#org25	#org55	1	Undirected
113	#per1160	#per1345	1	Undirected
114	#per1271	#per1323	1	Undirected
115	#org111	#per1053	1	Undirected
116	#per1092	#per1256	1	Undirected
117	#org171	#per1231	2	Undirected
118	#per1067	#per1389	1	Undirected
119	#org252	#org70	1	Undirected
120	#per1056	#per1072	1	Undirected
121	#org12	#org25	4	Undirected
122	#per1330	#pla69	3	Undirected
123	#per1053	#pla41	1	Undirected
124	#org50	#pla30	1	Undirected
125	#org171	#per1139	1	Undirected
126	#per1090	#per1202	1	Undirected
127	#org171	#per1368	1	Undirected
128	#per1081	#per1202	1	Undirected
129	#per1141	#per1375	1	Undirected
130	#org259	#pla30	1	Undirected
131	#per1411	#per1412	1	Undirected
132	#org181	#pla30	7	Undirected
133	#per1271	#per1331	1	Undirected
134	#org25	#pla90	1	Undirected
135	#org252	#pla3	1	Undirected
136	#org46	#per1406	1	Undirected
137	#org262	#per861	1	Undirected
138	#org55	#pla4	1	Undirected
139	#per14	#pla321	2	Undirected
140	#org16	#org74	1	Undirected
141	#per1198	#per1246	1	Undirected
142	#per1338	#per1349	1	Undirected
143	#per1063	#per1138	1	Undirected
144	#per1055	#per973	1	Undirected
145	#org101	#org24	1	Undirected
146	#org100	#per1125	5	Undirected
147	#per1409	#per1410	1	Undirected
148	#org262	#per973	2	Undirected
149	#org171	#per1330	1	Undirected
150	#per1349	#per1397	1	Undirected
151	#org256	#per1191	1	Undirected
152	#org16	#org46	1	Undirected
153	#org39	#per969	1	Undirected
154	#per1060	#per1383	1	Undirected
155	#per1083	#pla30	1	Undirected
156	#org171	#per1283	1	Undirected
157	#org100	#per1328	5	Undirected
158	#org171	#per1141	2	Undirected
159	#per1367	#pla557	1	Undirected
160	#org181	#per39	2	Undirected
161	#per1081	#wor1	1	Undirected
162	#org171	#per1118	2	Undirected
163	#per1252	#pla455	1	Undirected
164	#per1207	#per1338	1	Undirected
165	#per1160	#per1344	1	Undirected
166	#per14	#pla820	1	Undirected
167	#per1383	#per14	1	Undirected
168	#per1271	#per1365	1	Undirected
169	#org100	#pla4	1	Undirected
170	#org161	#per1252	1	Undirected
171	#pla152	#pla156	1	Undirected
172	#org263	#pla30	1	Undirected
173	#per1174	#per1372	1	Undirected
174	#per1082	#per1105	1	Undirected
175	#pla274	#pla6	1	Undirected
176	#org225	#org70	1	Undirected
177	#per1207	#per1341	1	Undirected
178	#per1119	#per1391	1	Undirected
179	#per1053	#pla30	11	Undirected
180	#per577	#pla69	4	Undirected
181	#org70	#per1072	1	Undirected
182	#org12	#org66	1	Undirected
183	#org171	#per1129	2	Undirected
184	#per1053	#per1334	1	Undirected
185	#org257	#per1081	1	Undirected
186	#org70	#per1390	1	Undirected
187	#per1329	#per14	3	Undirected
188	#org100	#org143	1	Undirected
189	#per1057	#per1408	1	Undirected
190	#org16	#per1331	1	Undirected
191	#per1075	#per1413	1	Undirected
192	#org171	#per1388	1	Undirected
193	#per1195	#per1340	1	Undirected
194	#per1067	#per1125	1	Undirected
195	#org0	#per1350	1	Undirected
196	#per1125	#pla741	1	Undirected
197	#per1088	#per1328	14	Undirected
198	#per1338	#per1393	1	Undirected
199	#per1055	#per26	1	Undirected
200	#per1077	#per14	1	Undirected
201	#per1320	#per1346	1	Undirected
202	#org171	#per1115	2	Undirected
203	#per861	#pla3	4	Undirected
204	#org260	#per1055	1	Undirected
205	#per1357	#per1391	1	Undirected
206	#pla815	#pla818	1	Undirected
207	#org171	#per1160	1	Undirected
208	#per1089	#pla4	1	Undirected
209	#org70	#per1346	1	Undirected
210	#per969	#pla3	1	Undirected
211	#per1204	#per1243	1	Undirected
212	#org0	#pla2	1	Undirected
213	#org81	#pla4	1	Undirected
214	#org55	#org74	1	Undirected
215	#per1104	#per1156	1	Undirected
216	#per1070	#per1336	1	Undirected
217	#per1053	#per1072	1	Undirected
218	#per1220	#pla486	1	Undirected
219	#org101	#pla2	1	Undirected
220	#per1340	#per1397	1	Undirected
221	#org171	#per1223	1	Undirected
222	#org181	#per1223	1	Undirected
223	#per1075	#per1397	1	Undirected
224	#org12	#org181	3	Undirected
225	#org46	#org82	1	Undirected
226	#org70	#pla84	1	Undirected
227	#per1166	#per1215	1	Undirected
