	Source	Target	Weight	Type
0	#per1103	#per1114	1	Undirected
1	#org171	#per1118	2	Undirected
2	#per1130	#per1405	1	Undirected
3	#per1057	#per1382	1	Undirected
4	#org16	#per1055	1	Undirected
5	#per1312	#per973	1	Undirected
6	#org16	#per1334	1	Undirected
7	#per14	#per15	1	Undirected
8	#per1055	#per1390	1	Undirected
9	#org25	#per35	1	Undirected
10	#org95	#pla455	1	Undirected
11	#org263	#per14	1	Undirected
12	#org258	#pla30	1	Undirected
13	#per1409	#per1410	1	Undirected
14	#per1110	#per1346	1	Undirected
15	#per1329	#per861	1	Undirected
16	#per1331	#per1396	1	Undirected
17	#per1256	#per1341	1	Undirected
18	#per1141	#per1312	1	Undirected
19	#org70	#per1399	1	Undirected
20	#org70	#per1187	1	Undirected
21	#per1059	#per1391	1	Undirected
22	#org70	#pla4	14	Undirected
23	#org25	#pla3	5	Undirected
24	#per1066	#per1331	1	Undirected
25	#per1302	#per1339	1	Undirected
26	#org171	#per1364	1	Undirected
27	#per1160	#per1323	1	Undirected
28	#per1066	#per1366	1	Undirected
29	#per1067	#per1279	1	Undirected
30	#per973	#pla18	1	Undirected
31	#org171	#per1295	1	Undirected
32	#org171	#org46	3	Undirected
33	#org171	#per1115	2	Undirected
34	#org171	#per1346	1	Undirected
35	#org262	#org95	2	Undirected
36	#per1411	#per1412	1	Undirected
37	#per1330	#per14	13	Undirected
38	#org225	#per1328	1	Undirected
39	#per1160	#per1337	1	Undirected
40	#per1153	#per1333	1	Undirected
41	#per1358	#per1370	1	Undirected
42	#pla4	#wor1	2	Undirected
43	#org100	#pla3	5	Undirected
44	#org55	#org81	1	Undirected
45	#per1394	#per1408	1	Undirected
46	#org70	#per1392	1	Undirected
47	#org70	#per1315	1	Undirected
48	#org13	#pla41	1	Undirected
49	#org13	#org262	2	Undirected
50	#per1333	#per14	1	Undirected
51	#org12	#org46	16	Undirected
52	#org100	#org262	1	Undirected
53	#per1103	#per1379	1	Undirected
54	#org13	#per39	1	Undirected
55	#per574	#pla455	1	Undirected
56	#per1078	#pla809	1	Undirected
57	#per1256	#per1312	1	Undirected
58	#org70	#per1072	1	Undirected
59	#org171	#per1114	1	Undirected
60	#per1130	#per1160	1	Undirected
61	#pla741	#pla94	1	Undirected
62	#org0	#per1361	1	Undirected
63	#per1218	#per1374	1	Undirected
64	#per1361	#per39	1	Undirected
65	#per1085	#per1374	1	Undirected
66	#org46	#per1187	1	Undirected
67	#org143	#org25	1	Undirected
68	#per1361	#pla41	1	Undirected
69	#per1331	#per1365	1	Undirected
70	#org81	#per1053	1	Undirected
71	#per1055	#per1389	1	Undirected
72	#per1187	#per14	3	Undirected
73	#org0	#org70	1	Undirected
74	#org171	#per1337	1	Undirected
75	#per1059	#per1092	1	Undirected
76	#per1332	#pla4	1	Undirected
77	#per1387	#per500	1	Undirected
78	#per1103	#per1295	1	Undirected
79	#per1302	#per1380	1	Undirected
80	#per1067	#pla4	1	Undirected
81	#per1056	#per1402	1	Undirected
82	#org0	#pla2	1	Undirected
83	#org13	#pla455	1	Undirected
84	#per1328	#pla3	9	Undirected
85	#org16	#org82	1	Undirected
86	#per1055	#per1244	1	Undirected
87	#org12	#per1098	1	Undirected
88	#per1065	#per1077	1	Undirected
89	#org171	#per1080	2	Undirected
90	#per1103	#per1147	1	Undirected
91	#pla2	#pla455	2	Undirected
92	#org12	#org171	4	Undirected
93	#per1354	#per1360	1	Undirected
94	#org12	#per1122	1	Undirected
95	#pla18	#pla2	1	Undirected
96	#org101	#per1053	1	Undirected
97	#org70	#per1406	1	Undirected
98	#org12	#per1332	2	Undirected
99	#org12	#per14	12	Undirected
100	#per1256	#per1257	1	Undirected
101	#org16	#org54	1	Undirected
102	#org12	#org54	1	Undirected
103	#pla30	#pla455	5	Undirected
104	#per1257	#per1338	1	Undirected
105	#org114	#org262	1	Undirected
106	#per1313	#per1331	1	Undirected
107	#org262	#per14	8	Undirected
