	Source	Target	Weight	Type
0	#per14	#per143	1	Undirected
1	#per14	#per2	5	Undirected
2	#per14	#per17	1	Undirected
3	#per143	#wor1	1	Undirected
4	#org12	#per14	1	Undirected
5	#org282	#pla198	1	Undirected
6	#org16	#per17	1	Undirected
7	#org282	#per1	3	Undirected
8	#per140	#per143	2	Undirected
9	#org3	#per98	1	Undirected
10	#org122	#per1	1	Undirected
11	#per3	#wor1	1	Undirected
12	#org70	#per143	1	Undirected
13	#org0	#org16	1	Undirected
14	#per1	#pla2	1	Undirected
15	#per2	#per3	1	Undirected
16	#per25	#per98	1	Undirected
17	#per134	#per140	2	Undirected
18	#per143	#pla3	1	Undirected
19	#per1506	#pla4	1	Undirected
20	#org4	#pla18	1	Undirected
21	#org4	#per2	1	Undirected
22	#org16	#per483	1	Undirected
23	#per25	#per483	1	Undirected
24	#per11	#per14	1	Undirected
25	#per21	#pla171	1	Undirected
26	#org18	#per14	3	Undirected
27	#org13	#org131	1	Undirected
28	#pla3	#pla80	1	Undirected
29	#org183	#per1	1	Undirected
30	#org100	#org183	1	Undirected
31	#per14	#per3	1	Undirected
32	#org131	#per1	1	Undirected
33	#org100	#org13	1	Undirected
34	#org16	#org183	1	Undirected
35	#per903	#per98	1	Undirected
36	#org122	#org183	1	Undirected
37	#per1506	#per1507	1	Undirected
38	#org70	#per14	1	Undirected
39	#per14	#pla4	1	Undirected
40	#org100	#org122	1	Undirected
41	#per14	#per503	1	Undirected
42	#org122	#org16	1	Undirected
43	#org0	#per143	1	Undirected
44	#org0	#per504	2	Undirected
45	#per1	#wor1	7	Undirected
46	#org39	#per1506	1	Undirected
47	#org100	#org131	1	Undirected
48	#per140	#wor1	1	Undirected
49	#per140	#per2	1	Undirected
50	#per21	#pla3	1	Undirected
51	#org16	#per98	2	Undirected
52	#per2	#wor1	3	Undirected
53	#org18	#org282	2	Undirected
54	#per143	#per2	1	Undirected
55	#org18	#per17	1	Undirected
56	#org4	#wor1	1	Undirected
57	#org122	#org131	1	Undirected
58	#org18	#wor1	3	Undirected
59	#org37	#per1	1	Undirected
60	#org0	#pla159	1	Undirected
61	#per907	#pla3	1	Undirected
62	#per25	#per903	1	Undirected
63	#org16	#per903	1	Undirected
64	#org3	#pla3	1	Undirected
65	#org16	#wor1	1	Undirected
66	#per14	#per1506	1	Undirected
67	#org100	#per1	1	Undirected
68	#per483	#pla3	1	Undirected
69	#per14	#per504	2	Undirected
70	#per14	#wor1	10	Undirected
71	#org18	#per143	1	Undirected
72	#per14	#pla19	1	Undirected
73	#org16	#per14	2	Undirected
74	#per143	#pla445	1	Undirected
75	#per1	#per98	1	Undirected
76	#org70	#pla445	1	Undirected
77	#org16	#per25	1	Undirected
78	#per143	#per3	2	Undirected
79	#org16	#per2	2	Undirected
80	#org18	#per1	6	Undirected
81	#per140	#per3	2	Undirected
82	#org0	#wor1	4	Undirected
83	#per134	#per143	5	Undirected
84	#org18	#per2	3	Undirected
85	#org13	#org16	2	Undirected
86	#org16	#org70	1	Undirected
87	#org16	#per504	2	Undirected
88	#pla445	#pla80	1	Undirected
89	#org131	#org16	1	Undirected
90	#org18	#org70	1	Undirected
91	#org37	#pla2	1	Undirected
92	#org103	#per14	1	Undirected
93	#org0	#per1	5	Undirected
94	#org70	#per1	1	Undirected
95	#per1	#per17	2	Undirected
96	#per1	#per14	11	Undirected
97	#per11	#wor1	1	Undirected
98	#pla3	#pla445	2	Undirected
99	#per134	#per14	1	Undirected
100	#org39	#pla4	1	Undirected
101	#org282	#per134	1	Undirected
102	#org13	#per1	1	Undirected
103	#wor1	#wor4	1	Undirected
104	#org0	#org282	1	Undirected
105	#per483	#per907	1	Undirected
106	#per14	#wor4	1	Undirected
107	#org122	#org13	1	Undirected
108	#org13	#per483	1	Undirected
109	#org18	#org4	1	Undirected
110	#per134	#per2	1	Undirected
111	#org3	#pla80	1	Undirected
112	#per483	#per98	1	Undirected
113	#org70	#per2	2	Undirected
114	#per134	#wor1	1	Undirected
115	#per17	#wor1	3	Undirected
116	#per1	#per2	3	Undirected
117	#org19	#per1	1	Undirected
118	#org3	#per1	1	Undirected
119	#per134	#pla159	1	Undirected
120	#org39	#per1507	1	Undirected
121	#org13	#org183	1	Undirected
122	#org18	#per134	1	Undirected
123	#org0	#per134	1	Undirected
124	#org16	#per21	2	Undirected
125	#per14	#per140	1	Undirected
126	#per483	#per903	1	Undirected
127	#org37	#per14	1	Undirected
128	#per1	#per11	1	Undirected
129	#org282	#per143	1	Undirected
130	#org16	#per1	4	Undirected
131	#per17	#per2	1	Undirected
132	#org16	#org18	1	Undirected
133	#org0	#org70	1	Undirected
134	#pla14	#pla173	1	Undirected
135	#per134	#per3	2	Undirected
136	#org3	#pla445	1	Undirected
137	#org13	#per504	1	Undirected
138	#org131	#org183	1	Undirected
139	#per143	#pla159	1	Undirected
140	#per21	#per504	1	Undirected
141	#per1507	#pla4	1	Undirected
142	#org0	#per2	1	Undirected
143	#per1	#per504	3	Undirected
144	#org70	#pla3	1	Undirected
145	#org100	#org16	1	Undirected
146	#org0	#per14	6	Undirected
