	id	type
0	b.GAL.1.1	verse
1	b.GAL.1.2	verse
2	b.GAL.1.3	verse
3	b.GAL.1.4	verse
4	b.GAL.1.5	verse
5	b.GAL.1.6	verse
6	b.GAL.1.7	verse
7	b.GAL.1.8	verse
8	b.GAL.1.9	verse
9	b.GAL.1.10	verse
10	b.GAL.1.11	verse
11	b.GAL.1.12	verse
12	b.GAL.1.13	verse
13	b.GAL.1.14	verse
14	b.GAL.1.15	verse
15	b.GAL.1.16	verse
16	b.GAL.1.17	verse
17	b.GAL.1.18	verse
18	b.GAL.1.19	verse
19	b.GAL.1.20	verse
20	b.GAL.1.21	verse
21	b.GAL.1.22	verse
22	b.GAL.1.23	verse
23	b.GAL.1.24	verse
24	b.GAL.2.1	verse
25	b.GAL.2.2	verse
26	b.GAL.2.3	verse
27	b.GAL.2.4	verse
28	b.GAL.2.5	verse
29	b.GAL.2.6	verse
30	b.GAL.2.7	verse
31	b.GAL.2.8	verse
32	b.GAL.2.9	verse
33	b.GAL.2.10	verse
34	b.GAL.2.11	verse
35	b.GAL.2.12	verse
36	b.GAL.2.13	verse
37	b.GAL.2.14	verse
38	b.GAL.2.15	verse
39	b.GAL.2.16	verse
40	b.GAL.2.17	verse
41	b.GAL.2.18	verse
42	b.GAL.2.19	verse
43	b.GAL.2.20	verse
44	b.GAL.2.21	verse
45	b.GAL.3.1	verse
46	b.GAL.3.2	verse
47	b.GAL.3.3	verse
48	b.GAL.3.4	verse
49	b.GAL.3.5	verse
50	b.GAL.3.6	verse
51	b.GAL.3.7	verse
52	b.GAL.3.8	verse
53	b.GAL.3.9	verse
54	b.GAL.3.10	verse
55	b.GAL.3.11	verse
56	b.GAL.3.12	verse
57	b.GAL.3.13	verse
58	b.GAL.3.14	verse
59	b.GAL.3.15	verse
60	b.GAL.3.16	verse
61	b.GAL.3.17	verse
62	b.GAL.3.18	verse
63	b.GAL.3.19	verse
64	b.GAL.3.20	verse
65	b.GAL.3.21	verse
66	b.GAL.3.22	verse
67	b.GAL.3.23	verse
68	b.GAL.3.24	verse
69	b.GAL.3.25	verse
70	b.GAL.3.26	verse
71	b.GAL.3.27	verse
72	b.GAL.3.28	verse
73	b.GAL.3.29	verse
74	b.GAL.4.1	verse
75	b.GAL.4.2	verse
76	b.GAL.4.3	verse
77	b.GAL.4.4	verse
78	b.GAL.4.5	verse
79	b.GAL.4.6	verse
80	b.GAL.4.7	verse
81	b.GAL.4.8	verse
82	b.GAL.4.9	verse
83	b.GAL.4.10	verse
84	b.GAL.4.11	verse
85	b.GAL.4.12	verse
86	b.GAL.4.13	verse
87	b.GAL.4.14	verse
88	b.GAL.4.15	verse
89	b.GAL.4.16	verse
90	b.GAL.4.17	verse
91	b.GAL.4.18	verse
92	b.GAL.4.19	verse
93	b.GAL.4.20	verse
94	b.GAL.4.21	verse
95	b.GAL.4.22	verse
96	b.GAL.4.23	verse
97	b.GAL.4.24	verse
98	b.GAL.4.25	verse
99	b.GAL.4.26	verse
100	b.GAL.4.27	verse
101	b.GAL.4.28	verse
102	b.GAL.4.29	verse
103	b.GAL.4.30	verse
104	b.GAL.4.31	verse
105	b.GAL.5.1	verse
106	b.GAL.5.2	verse
107	b.GAL.5.3	verse
108	b.GAL.5.4	verse
109	b.GAL.5.5	verse
110	b.GAL.5.6	verse
111	b.GAL.5.7	verse
112	b.GAL.5.8	verse
113	b.GAL.5.9	verse
114	b.GAL.5.10	verse
115	b.GAL.5.11	verse
116	b.GAL.5.12	verse
117	b.GAL.5.13	verse
118	b.GAL.5.14	verse
119	b.GAL.5.15	verse
120	b.GAL.5.16	verse
121	b.GAL.5.17	verse
122	b.GAL.5.18	verse
123	b.GAL.5.19	verse
124	b.GAL.5.20	verse
125	b.GAL.5.21	verse
126	b.GAL.5.22	verse
127	b.GAL.5.23	verse
128	b.GAL.5.24	verse
129	b.GAL.5.25	verse
130	b.GAL.5.26	verse
131	b.GAL.6.1	verse
132	b.GAL.6.2	verse
133	b.GAL.6.3	verse
134	b.GAL.6.4	verse
135	b.GAL.6.5	verse
136	b.GAL.6.6	verse
137	b.GAL.6.7	verse
138	b.GAL.6.8	verse
139	b.GAL.6.9	verse
140	b.GAL.6.10	verse
141	b.GAL.6.11	verse
142	b.GAL.6.12	verse
143	b.GAL.6.13	verse
144	b.GAL.6.14	verse
145	b.GAL.6.15	verse
146	b.GAL.6.16	verse
147	b.GAL.6.17	verse
148	b.GAL.6.18	verse
