	Source	Target	Weight	Type
0	#per135	#per136	1	Undirected
1	#per208	#per78	1	Undirected
2	#per234	#per443	1	Undirected
3	#per197	#per226	2	Undirected
4	#org88	#per124	7	Undirected
5	#per3	#pla101	9	Undirected
6	#per300	#per412	1	Undirected
7	#per132	#per171	1	Undirected
8	#per146	#per2	8	Undirected
9	#per109	#pla136	1	Undirected
10	#per260	#per262	4	Undirected
11	#per300	#per377	1	Undirected
12	#pla64	#pla90	1	Undirected
13	#per160	#per216	1	Undirected
14	#per179	#per198	2	Undirected
15	#per272	#pla144	1	Undirected
16	#org0	#per171	1	Undirected
17	#pla107	#pla84	3	Undirected
18	#org0	#per121	1	Undirected
19	#per125	#per349	1	Undirected
20	#per296	#per371	1	Undirected
21	#per7	#pla84	1	Undirected
22	#per317	#per447	1	Undirected
23	#per300	#per322	1	Undirected
24	#per316	#per361	1	Undirected
25	#per274	#per276	1	Undirected
26	#per257	#pla41	1	Undirected
27	#pla134	#pla135	2	Undirected
28	#per232	#per252	2	Undirected
29	#per262	#pla124	2	Undirected
30	#pla121	#pla17	2	Undirected
31	#per269	#per393	1	Undirected
32	#per322	#per377	1	Undirected
33	#per174	#pla84	1	Undirected
34	#per321	#per387	3	Undirected
35	#per156	#pla107	3	Undirected
36	#per133	#per235	1	Undirected
37	#per231	#per271	1	Undirected
38	#org66	#per4	1	Undirected
39	#pla136	#pla84	4	Undirected
40	#per135	#pla84	3	Undirected
41	#per227	#per3	3	Undirected
42	#per374	#per413	1	Undirected
43	#per159	#per41	1	Undirected
44	#per160	#per180	1	Undirected
45	#per136	#pla78	3	Undirected
46	#per212	#per253	1	Undirected
47	#org4	#pla77	1	Undirected
48	#per142	#per169	1	Undirected
49	#per285	#pla122	1	Undirected
50	#per324	#per458	1	Undirected
51	#per214	#pla84	2	Undirected
52	#per377	#per417	1	Undirected
53	#per391	#per413	1	Undirected
54	#per4	#pla110	11	Undirected
55	#pla117	#pla97	2	Undirected
56	#per5	#pla15	2	Undirected
57	#org0	#per142	2	Undirected
58	#org94	#per133	9	Undirected
59	#per149	#pla135	1	Undirected
60	#per395	#pla17	3	Undirected
61	#per435	#per436	1	Undirected
62	#per124	#pla136	1	Undirected
63	#org70	#per195	1	Undirected
64	#per140	#pla133	1	Undirected
65	#org53	#per363	1	Undirected
66	#pla113	#pla41	1	Undirected
67	#per109	#per305	1	Undirected
68	#per120	#pla136	1	Undirected
69	#per195	#pla5	2	Undirected
70	#org41	#per355	1	Undirected
71	#org83	#pla84	3	Undirected
72	#per14	#pla115	1	Undirected
73	#per145	#per43	1	Undirected
74	#per295	#per427	1	Undirected
75	#per219	#per437	1	Undirected
76	#per228	#per238	1	Undirected
77	#per254	#per279	1	Undirected
78	#org87	#pla101	1	Undirected
79	#per322	#per417	1	Undirected
80	#per329	#per461	2	Undirected
81	#per218	#per424	2	Undirected
82	#per160	#per229	2	Undirected
83	#per47	#pla84	2	Undirected
84	#per394	#per439	1	Undirected
85	#pla103	#pla113	2	Undirected
86	#per377	#per438	1	Undirected
87	#per334	#per442	2	Undirected
88	#org41	#per120	2	Undirected
89	#pla103	#pla120	2	Undirected
90	#org63	#per174	1	Undirected
91	#per113	#per366	1	Undirected
92	#org65	#per14	1	Undirected
93	#per237	#per406	1	Undirected
94	#per162	#per47	32	Undirected
95	#org0	#per158	1	Undirected
96	#pla120	#pla17	2	Undirected
97	#per136	#pla110	1	Undirected
98	#per186	#per245	1	Undirected
99	#per297	#per405	1	Undirected
100	#per127	#per14	1	Undirected
101	#per143	#per2	12	Undirected
102	#pla103	#pla16	3	Undirected
103	#per164	#per283	1	Undirected
104	#per232	#per254	2	Undirected
105	#per14	#per181	1	Undirected
106	#per160	#per460	1	Undirected
107	#org0	#per134	5	Undirected
108	#per113	#pla119	1	Undirected
109	#per300	#per438	1	Undirected
110	#pla95	#pla97	1	Undirected
111	#per131	#per174	2	Undirected
112	#org86	#per104	3	Undirected
113	#org49	#per14	2	Undirected
114	#per358	#per387	1	Undirected
115	#org88	#pla155	1	Undirected
116	#per4	#pla136	9	Undirected
117	#per174	#per203	2	Undirected
118	#per133	#per3	1	Undirected
119	#per162	#pla84	2	Undirected
120	#per253	#per320	1	Undirected
121	#per360	#pla117	1	Undirected
122	#org53	#per227	1	Undirected
123	#org84	#org88	1	Undirected
124	#per144	#per333	1	Undirected
125	#pla94	#pla95	1	Undirected
126	#org45	#per155	1	Undirected
127	#per153	#per2	6	Undirected
128	#per135	#per157	5	Undirected
129	#per342	#per447	1	Undirected
130	#per146	#per354	1	Undirected
131	#per292	#per458	1	Undirected
132	#pla147	#pla5	3	Undirected
133	#per191	#pla123	1	Undirected
134	#org0	#per162	1	Undirected
135	#per135	#per14	15	Undirected
136	#org92	#per104	2	Undirected
137	#per249	#per270	1	Undirected
138	#per296	#per350	1	Undirected
139	#per325	#per377	1	Undirected
140	#per104	#pla1	1	Undirected
