	Source	Target	Weight	Type
0	#pla120	#pla17	2	Undirected
1	#org63	#org66	2	Undirected
2	#per137	#pla84	3	Undirected
3	#per245	#per5	6	Undirected
4	#per277	#per334	3	Undirected
5	#org81	#per272	1	Undirected
6	#per132	#per181	1	Undirected
7	#org94	#pla84	2	Undirected
8	#per137	#per2	13	Undirected
9	#per277	#per321	3	Undirected
10	#org88	#per161	9	Undirected
11	#org4	#per170	2	Undirected
12	#per380	#per387	3	Undirected
13	#per336	#per365	1	Undirected
14	#org50	#per104	1	Undirected
15	#per212	#per264	2	Undirected
16	#per218	#per293	2	Undirected
17	#per162	#per242	2	Undirected
18	#org0	#per169	1	Undirected
19	#per369	#per416	1	Undirected
20	#org84	#per4	1	Undirected
21	#per318	#per442	1	Undirected
22	#per218	#per442	2	Undirected
23	#per109	#per157	1	Undirected
24	#per273	#per452	1	Undirected
25	#org0	#per152	2	Undirected
26	#pla17	#pla84	1	Undirected
27	#per242	#per420	1	Undirected
28	#per277	#per442	2	Undirected
29	#per140	#per321	2	Undirected
30	#per337	#per383	1	Undirected
31	#org4	#per2	13	Undirected
32	#org63	#pla84	10	Undirected
33	#per264	#per315	1	Undirected
34	#per156	#per159	2	Undirected
35	#per5	#pla147	1	Undirected
36	#per382	#per383	1	Undirected
37	#per232	#per259	2	Undirected
38	#per131	#per202	1	Undirected
39	#org47	#per221	1	Undirected
40	#org0	#pla79	1	Undirected
41	#per231	#per273	1	Undirected
42	#per2	#per72	3	Undirected
43	#per155	#per447	1	Undirected
44	#per321	#per424	2	Undirected
45	#per215	#per426	1	Undirected
46	#per203	#per450	1	Undirected
47	#org43	#per400	1	Undirected
48	#per242	#per291	1	Undirected
49	#per334	#per387	3	Undirected
50	#per133	#per17	1	Undirected
51	#per14	#per178	1	Undirected
52	#per254	#per279	1	Undirected
53	#per305	#per423	1	Undirected
54	#per144	#per333	1	Undirected
55	#org63	#per14	2	Undirected
56	#per272	#pla144	1	Undirected
57	#per290	#per367	1	Undirected
58	#per157	#per181	4	Undirected
59	#per104	#per133	72	Undirected
60	#org78	#per3	6	Undirected
61	#per144	#per330	4	Undirected
62	#org90	#per147	1	Undirected
63	#per128	#pla84	2	Undirected
64	#per162	#per420	1	Undirected
65	#org70	#pla84	1	Undirected
66	#per161	#pla136	1	Undirected
67	#per104	#per128	38	Undirected
68	#per289	#per291	1	Undirected
69	#pla23	#pla81	1	Undirected
70	#org65	#org70	1	Undirected
71	#per461	#pla121	1	Undirected
72	#per154	#per164	1	Undirected
73	#pla117	#pla119	2	Undirected
74	#per109	#per204	1	Undirected
75	#per137	#pla107	3	Undirected
76	#per375	#per422	1	Undirected
77	#per323	#per336	1	Undirected
78	#per185	#pla145	1	Undirected
79	#per424	#per442	2	Undirected
80	#per6	#pla145	2	Undirected
81	#org44	#per72	1	Undirected
82	#per4	#pla133	3	Undirected
83	#per183	#per194	2	Undirected
84	#per131	#per180	8	Undirected
85	#org55	#org88	1	Undirected
86	#org44	#per104	1	Undirected
87	#pla95	#pla97	1	Undirected
88	#per134	#per14	24	Undirected
89	#per113	#pla117	1	Undirected
90	#per109	#per72	1	Undirected
91	#org0	#per145	2	Undirected
92	#per260	#pla122	1	Undirected
93	#per180	#per202	2	Undirected
94	#per331	#per450	1	Undirected
95	#per205	#per214	5	Undirected
96	#per104	#pla5	53	Undirected
97	#per377	#per417	1	Undirected
98	#org44	#org93	1	Undirected
99	#per313	#per377	1	Undirected
100	#per126	#per5	1	Undirected
101	#per281	#pla148	2	Undirected
102	#per431	#pla41	1	Undirected
103	#org91	#per181	3	Undirected
104	#pla105	#pla41	1	Undirected
105	#per333	#per47	1	Undirected
106	#org66	#per2	1	Undirected
107	#per171	#per353	1	Undirected
108	#per312	#per313	1	Undirected
109	#per329	#per461	2	Undirected
110	#per14	#per153	2	Undirected
111	#org55	#per104	1	Undirected
112	#per203	#per229	2	Undirected
113	#org66	#per4	1	Undirected
114	#org0	#per72	2	Undirected
115	#per154	#per256	1	Undirected
116	#per160	#per180	1	Undirected
117	#per2	#pla82	1	Undirected
118	#org42	#per316	1	Undirected
119	#per162	#per315	1	Undirected
120	#pla39	#pla64	1	Undirected
121	#per109	#per448	1	Undirected
122	#per377	#per438	1	Undirected
123	#per72	#pla4	1	Undirected
124	#per280	#per356	1	Undirected
125	#per160	#per197	1	Undirected
126	#per260	#per262	4	Undirected
127	#per136	#per159	21	Undirected
128	#per237	#per406	1	Undirected
129	#pla77	#pla91	1	Undirected
130	#per175	#per358	1	Undirected
131	#org88	#per146	1	Undirected
132	#per162	#per207	6	Undirected
133	#per125	#pla108	1	Undirected
134	#org78	#per443	1	Undirected
135	#per131	#per163	1	Undirected
136	#per173	#per4	10	Undirected
137	#per2	#pla83	5	Undirected
138	#per124	#per127	2	Undirected
139	#per160	#per203	2	Undirected
140	#pla39	#pla89	1	Undirected
141	#org4	#per159	1	Undirected
142	#per444	#per458	1	Undirected
143	#per133	#per196	7	Undirected
144	#pla119	#pla97	2	Undirected
145	#per14	#pla130	1	Undirected
