	Source	Target	Via	Weight	Type
23	#per14	#per2	oral	54	Directed
141	#per104	#org88	oral	44	Directed
178	#per4	#org88	oral	40	Directed
106	#per132	#per4	oral	23	Directed
142	#org88	#per104	oral	20	Directed
173	#per133	#per104	oral	20	Directed
75	#org83	#per132	oral	19	Directed
143	#per4	#per104	oral	19	Directed
189	#per5	#per104	oral	18	Directed
107	#per4	#per132	oral	16	Directed
16	#per14	#per47	oral	16	Directed
18	#per14	#per144	oral	15	Directed
0	#per14	#org0	oral	15	Directed
174	#per104	#per133	oral	14	Directed
32	#per2	#per14	oral	14	Directed
98	#per3	#per4	oral	12	Directed
123	#per14	#per4	oral	11	Directed
59	#per2	#org83	oral	11	Directed
1	#per14	#per145	oral	11	Directed
95	#per136	#per4	oral	11	Directed
80	#per4	#per131	oral	11	Directed
93	#per3	#per131	oral	10	Directed
111	#per4	#per16	oral	10	Directed
179	#org88	#per4	oral	10	Directed
2	#per14	#per14	oral	9	Directed
72	#per136	#org83	oral	9	Directed
145	#org88	#org88	oral	8	Directed
34	#org4	#per143	oral	8	Directed
44	#org4	#per137	oral	7	Directed
71	#org83	#per136	oral	7	Directed
70	#org83	#per14	prayer	7	Directed
54	#per138	#per2	oral	7	Directed
182	#per5	#per4	oral	7	Directed
79	#per131	#per4	oral	7	Directed
11	#per14	#per142	oral	7	Directed
94	#per131	#per3	oral	7	Directed
74	#per132	#org83	oral	6	Directed
52	#per2	#per138	oral	6	Directed
185	#org88	#per189	oral	6	Directed
168	#per104	#per195	oral	6	Directed
24	#per2	#per134	oral	6	Directed
81	#per14	#per3	oral	5	Directed
83	#per138	#per3	oral	5	Directed
130	#per4	#org0	oral	5	Directed
144	#per104	#per4	oral	5	Directed
126	#org4	#per4	oral	5	Directed
147	#per109	#org88	oral	5	Directed
97	#per4	#per3	oral	5	Directed
110	#per16	#per4	oral	5	Directed
184	#per104	#per189	oral	5	Directed
172	#per195	#per133	oral	5	Directed
183	#per4	#per5	oral	5	Directed
38	#org4	#per2	oral	5	Directed
37	#per2	#org4	oral	5	Directed
193	#per104	#org88	idea	4	Directed
187	#per104	#org94	oral	4	Directed
22	#org0	#org0	oral	4	Directed
201	#org65	#per104	oral	4	Directed
43	#per137	#org4	oral	4	Directed
132	#per4	#per14	prayer	4	Directed
151	#per5	#per6	oral	4	Directed
133	#per4	#org4	oral	4	Directed
63	#per14	#org4	oral	4	Directed
5	#per14	#per241	oral	4	Directed
169	#per195	#per104	oral	4	Directed
137	#org88	#per139	oral	4	Directed
138	#per150	#org63	oral	3	Directed
50	#per14	#per138	dream	3	Directed
202	#per104	#org65	oral	3	Directed
99	#per3	#per4	vow	3	Directed
84	#per3	#per138	oral	3	Directed
121	#per3	#per132	oral	3	Directed
135	#per150	#org88	oral	3	Directed
13	#per142	#per14	oral	3	Directed
191	#per104	#per4	idea	3	Directed
109	#per109	#org0	vow	3	Directed
167	#per178	#per267	oral	3	Directed
102	#per14	#per4	dream	3	Directed
65	#per2	#org84	oral	3	Directed
159	#org0	#per5	oral	3	Directed
4	#per20	#per241	oral	3	Directed
154	#per6	#per5	oral	3	Directed
62	#org4	#per14	oral	3	Directed
45	#org79	#per137	oral	3	Directed
64	#org0	#per2	oral	3	Directed
48	#org80	#org80	oral	3	Directed
33	#per134	#per2	oral	3	Directed
31	#per2	#per395	oral	3	Directed
113	#per135	#org0	vow	2	Directed
115	#per16	#per135	oral	2	Directed
112	#per16	#org0	vow	2	Directed
194	#per104	#per133	idea	2	Directed
198	#org88	#per133	oral	2	Directed
124	#org4	#per4	dream	2	Directed
204	#per104	#per4	vow	2	Directed
166	#per178	#org0	oral	2	Directed
127	#per14	#per132	oral	2	Directed
188	#per189	#org88	idea	2	Directed
131	#per4	#per4	thought	2	Directed
136	#per139	#per4	oral	2	Directed
186	#per189	#org88	oral	2	Directed
177	#per104	#per14	vow	2	Directed
176	#per133	#org65	oral	2	Directed
171	#per104	#per196	oral	2	Directed
170	#per196	#per104	oral	2	Directed
148	#per5	#org88	oral	2	Directed
156	#org0	#per245	oral	2	Directed
160	#per5	#org0	oral	2	Directed
164	#per178	#per104	oral	2	Directed
165	#per104	#per178	oral	2	Directed
161	#per6	#org0	oral	2	Directed
105	#per4	#per14	oral	2	Directed
17	#per14	#per14	thought	2	Directed
29	#per431	#per14	prayer	2	Directed
69	#org83	#per2	oral	2	Directed
73	#per136	#per132	oral	2	Directed
76	#per132	#per136	oral	2	Directed
26	#per251	#per2	oral	2	Directed
46	#per137	#org79	oral	2	Directed
14	#per154	#per166	oral	2	Directed
82	#per3	#org53	oral	2	Directed
61	#per2	#per3	oral	2	Directed
10	#per241	#org0	oral	2	Directed
9	#per14	#per20	oral	2	Directed
60	#per3	#per2	oral	2	Directed
28	#per2	#per137	oral	2	Directed
67	#per149	#per2	oral	2	Directed
58	#per134	#org0	oral	2	Directed
30	#per395	#per2	oral	2	Directed
6	#per241	#per20	oral	2	Directed
103	#per4	#per4	oral	2	Directed
51	#per138	#per14	dream	2	Directed
35	#per143	#per143	oral	2	Directed
104	#per4	#org0	vow	2	Directed
100	#per3	#per131	vow	2	Directed
96	#per4	#per136	oral	2	Directed
7	#per145	#per14	oral	2	Directed
27	#per2	#per251	oral	1	Directed
180	#per109	#per4	oral	1	Directed
175	#per133	#org94	oral	1	Directed
36	#per2	#per14	thought	1	Directed
181	#per4	#per109	oral	1	Directed
39	#per134	#per134	thought	1	Directed
40	#per134	#per134	oral	1	Directed
41	#per134	#per14	oral	1	Directed
25	#org65	#org0	oral	1	Directed
108	#per109	#per14	oral	1	Directed
21	#per47	#per14	prayer	1	Directed
199	#per133	#per4	oral	1	Directed
209	#per4	#org88	soCalled	1	Directed
208	#org63	#org63	oral	1	Directed
207	#org65	#per133	idea	1	Directed
206	#org0	#org0	idea	1	Directed
205	#per4	#per152	vow	1	Directed
3	#per145	#per241	oral	1	Directed
203	#org0	#per104	oral	1	Directed
200	#per4	#per133	oral	1	Directed
8	#per241	#per14	oral	1	Directed
20	#per47	#per14	vow	1	Directed
197	#per133	#org88	oral	1	Directed
196	#org88	#per133	idea	1	Directed
195	#per133	#org88	idea	1	Directed
192	#org94	#org94	oral	1	Directed
12	#per142	#per43	oral	1	Directed
190	#per104	#per5	oral	1	Directed
15	#per440	#org0	oral	1	Directed
19	#per47	#org0	vow	1	Directed
42	#per14	#per134	oral	1	Directed
55	#per2	#per2	thought	1	Directed
47	#per137	#org80	oral	1	Directed
92	#org87	#per3	oral	1	Directed
134	#per139	#per150	oral	1	Directed
87	#org53	#org87	oral	1	Directed
88	#per3	#org0	oral	1	Directed
89	#per138	#per138	oral	1	Directed
90	#per385	#per385	oral	1	Directed
129	#per32	#per4	oral	1	Directed
128	#per16	#per132	oral	1	Directed
